,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
24,339144,1000.0,1020.6190000000004,3.0,BTCUSDT,0.07,43132.3,44570.043333333335,42790.6,57418.014285714286,20.619000000000323,0,SHORT_EXIT,0,0,2024-02-06 16:00:00,2024-02-07 03:00:00,upper,0
25,339145,1000.0,1244.8516000000002,3.0,BTCUSDT,0.069,43488.7,42039.07666666666,47085.1,28995.946376811593,244.85160000000013,1,LONG_EXIT,0,0,2024-02-07 17:00:00,2024-02-10 08:00:00,upper,0
26,339146,1000.0,1007.3973999999996,3.0,BTCUSDT,0.063,47865.8,46270.27333333334,48035.6,31992.78412698413,7.3973999999995605,1,LONG_EXIT,0,0,2024-02-10 20:00:00,2024-02-11 20:00:00,upper,0
27,339147,1000.0,968.0436000000002,3.0,BTCUSDT,0.062,48635.0,47013.833333333336,48172.8,32505.967741935485,-31.95639999999985,1,LONG_EXIT,0,0,2024-02-12 00:00:00,2024-02-12 02:00:00,upper,0
28,339148,1000.0,972.2679999999998,3.0,BTCUSDT,0.06,49960.4,48295.05333333334,49553.2,33293.73333333334,-27.732000000000244,1,LONG_EXIT,0,0,2024-02-12 15:00:00,2024-02-13 13:00:00,upper,0
29,339149,1000.0,1124.8601999999998,3.0,BTCUSDT,0.062,48749.0,47124.03333333333,50816.1,32619.967741935485,124.86019999999981,1,LONG_EXIT,0,0,2024-02-13 15:00:00,2024-02-14 08:00:00,lower,0
30,339150,1000.0,975.5937999999999,3.0,BTCUSDT,0.058,51336.1,53047.30333333333,51700.0,68577.47931034482,-24.406200000000172,0,SHORT_EXIT,0,0,2024-02-14 10:00:00,2024-02-15 20:00:00,upper,0
31,339151,1000.0,1027.5560000000003,3.0,BTCUSDT,0.058,51666.1,49943.89666666667,52198.1,34424.72068965517,27.55600000000022,1,LONG_EXIT,0,0,2024-02-15 22:00:00,2024-02-16 02:00:00,lower,0
32,339152,1000.0,1010.6779999999997,3.0,BTCUSDT,0.058,51766.0,50040.46666666667,52007.0,34524.620689655174,10.67799999999961,1,LONG_EXIT,0,0,2024-02-17 10:00:00,2024-02-18 09:00:00,lower,0
33,339153,1000.0,1017.9667000000002,3.0,BTCUSDT,0.057,52174.9,53914.06333333333,51801.8,69718.7596491228,17.966700000000127,0,SHORT_EXIT,0,0,2024-02-18 23:00:00,2024-02-19 16:00:00,upper,0
