,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,entrytime,exittime,direction,startup_flag
14,29621,988.2453881169602,988.2453881169602,3.0,ETHUSDT,1.32,2240.57,2262.9757,0.0,2989.2407485734548,0.0,0,SHORT_CANCEL,0,0,2024-01-03 13:30:00,2024-01-03 14:00:00,upper,0
15,29622,988.2453881169602,955.3444503361741,3.0,ETHUSDT,1.34,2211.92,2234.0392,2234.0392,2949.4165582962387,-32.90093778078607,0,SHORT_EXIT,0,losscut,2024-01-03 14:30:00,2024-01-03 15:30:00,upper,0
16,29623,955.3444503361741,952.2308136500644,3.0,ETHUSDT,1.3,2210.65,2188.5435,2210.68,1475.7696535875584,-3.113636686109615,1,LONG_EXIT,0,0,2024-01-03 23:00:00,2024-01-03 23:30:00,upper,0
17,29624,952.2308136500644,952.2308136500644,3.0,ETHUSDT,1.28,2224.41,2202.1659,0.0,1480.479676835887,0.0,1,LONG_CANCEL,0,0,2024-01-04 03:00:00,2024-01-04 03:30:00,upper,0
18,29625,952.2308136500644,942.1710519650194,3.0,ETHUSDT,1.26,2269.41,2246.7158999999997,2263.92,1513.6712590078853,-10.059761685045029,1,LONG_EXIT,0,0,2024-01-04 15:30:00,2024-01-04 16:00:00,upper,0
19,29626,942.1710519650194,936.3780874935351,3.0,ETHUSDT,1.26,2246.66,2269.1266,2248.79,2994.4148031468408,-5.792964471484356,0,SHORT_EXIT,0,0,2024-01-05 11:30:00,2024-01-05 12:00:00,upper,0
20,29627,936.3780874935351,936.3780874935351,3.0,ETHUSDT,1.26,2234.45,2212.1054999999997,0.0,1491.2927877035436,0.0,1,LONG_CANCEL,0,0,2024-01-05 20:00:00,2024-01-05 20:30:00,upper,0
21,29628,936.3780874935351,936.3780874935351,3.0,ETHUSDT,1.24,2259.99,2237.3900999999996,0.0,1504.8463810536005,0.0,1,LONG_CANCEL,0,0,2024-01-05 23:30:00,2024-01-06 00:00:00,upper,0
22,29629,936.3780874935351,936.3780874935351,3.0,ETHUSDT,1.26,2235.75,2258.1075,0.0,2978.9072122964562,0.0,0,SHORT_CANCEL,0,0,2024-01-06 06:00:00,2024-01-06 06:30:00,upper,0
23,29630,936.3780874935351,936.3780874935351,3.0,ETHUSDT,1.26,2238.32,2260.7032000000004,0.0,2981.4772122964564,0.0,0,SHORT_CANCEL,0,0,2024-01-06 22:30:00,2024-01-06 23:00:00,upper,0
