,serial,date,cash_in,cash_out,amount,startup_flag
97,8397,2024-03-12 03:00:00,1012.6683999999998,0.0,1654.0948458546532,0
98,8398,2024-03-12 17:00:00,0.0,1000.0,654.0948458546532,0
99,8399,2024-03-13 01:00:00,1035.4702,0.0,1689.5650458546531,0
100,8400,2024-03-14 07:00:00,0.0,1000.0,689.5650458546531,0
101,8401,2024-03-14 10:00:00,986.9624999999999,0.0,1676.527545854653,0
102,8402,2024-03-14 14:00:00,0.0,1000.0,676.527545854653,0
103,8403,2024-03-15 00:00:00,1005.0831999999998,0.0,1681.6107458546528,0
104,8404,2024-03-15 04:00:00,0.0,1000.0,681.6107458546528,0
105,8405,2024-03-15 18:00:00,1119.5832000000003,0.0,1801.193945854653,0
106,8406,2024-03-17 00:00:00,0.0,1000.0,801.1939458546531,0
107,8407,2024-03-17 10:00:00,1086.6944000000005,0.0,1887.8883458546536,0
108,8408,2024-03-18 15:00:00,0.0,1000.0,887.8883458546536,0
109,8409,2024-03-18 21:00:00,1002.7412000000006,0.0,1890.6295458546542,0
110,8410,2024-03-19 02:00:00,0.0,1000.0,890.6295458546542,0
111,8411,2024-03-19 16:00:00,955.9807999999996,0.0,1846.6103458546538,0
112,8412,2024-03-19 23:00:00,0.0,1000.0,846.6103458546538,0
113,8413,2024-03-20 09:00:00,1057.9912000000002,0.0,1904.601545854654,0
114,8414,2024-03-20 21:00:00,0.0,1000.0,904.601545854654,0
115,8415,2024-03-21 15:00:00,947.6443999999999,0.0,1852.2459458546539,0
116,8416,2024-03-21 19:00:00,0.0,1000.0,852.2459458546539,0
117,8417,2024-03-22 03:00:00,1031.4438000000002,0.0,1883.6897458546541,0
118,8418,2024-03-22 11:00:00,0.0,1000.0,883.6897458546541,0
119,8419,2024-03-23 01:00:00,992.0235,0.0,1875.7132458546541,0
120,8420,2024-03-25 14:00:00,0.0,1000.0,875.7132458546541,0
121,8421,2024-03-26 16:00:00,1012.4895999999997,0.0,1888.2028458546538,0
122,8422,2024-03-27 16:00:00,0.0,1000.0,888.2028458546538,0
123,8423,2024-03-27 23:00:00,1007.0673000000004,0.0,1895.2701458546542,0
124,8424,2024-03-29 16:00:00,0.0,1000.0,895.2701458546542,0
125,8425,2024-03-30 00:00:00,1029.3198,0.0,1924.5899458546542,0
126,8426,2024-03-31 06:00:00,0.0,1000.0,924.5899458546542,0
127,8427,2024-04-01 03:00:00,1012.9754999999998,0.0,1937.565445854654,0
128,8428,2024-04-01 06:00:00,0.0,1000.0,937.565445854654,0
129,8429,2024-04-01 19:00:00,998.3469000000002,0.0,1935.9123458546542,0
130,8430,2024-04-02 03:00:00,0.0,1000.0,935.9123458546542,0
131,8431,2024-04-03 03:00:00,975.28,0.0,1911.1923458546541,0
132,8432,2024-04-04 14:00:00,0.0,1000.0,911.1923458546541,0
133,8433,2024-04-05 05:00:00,961.6055999999996,0.0,1872.7979458546538,0
134,8434,2024-04-06 18:00:00,0.0,1000.0,872.7979458546538,0
135,8435,2024-04-07 19:00:00,1030.2587999999998,0.0,1903.0567458546536,0
136,8436,2024-04-08 08:00:00,0.0,1000.0,903.0567458546536,0
137,8437,2024-04-09 01:00:00,968.6902000000007,0.0,1871.7469458546543,0
138,8438,2024-04-09 15:00:00,0.0,1000.0,871.7469458546543,0
139,8439,2024-04-10 16:00:00,1006.3320000000001,0.0,1878.0789458546544,0
140,8440,2024-04-12 15:00:00,0.0,1000.0,878.0789458546544,0
141,8441,2024-04-13 15:00:00,922.9163000000001,0.0,1800.9952458546545,0
142,8442,2024-04-13 20:00:00,0.0,1000.0,800.9952458546545,0
143,8443,2024-04-14 22:00:00,1169.8219000000001,0.0,1970.8171458546547,0
144,8444,2024-04-15 00:00:00,0.0,1000.0,970.8171458546547,0
145,8445,2024-04-15 14:00:00,938.9423999999997,0.0,1909.7595458546543,0
146,8446,2024-04-16 14:00:00,0.0,1000.0,909.7595458546543,0
147,8447,2024-04-16 18:00:00,1041.5031999999999,0.0,1951.2627458546542,0
148,8448,2024-04-17 15:00:00,0.0,1000.0,951.2627458546542,0
149,8449,2024-04-18 03:00:00,1081.4850000000004,0.0,2032.7477458546546,0
150,8450,2024-04-18 15:00:00,0.0,1000.0,1032.7477458546546,0
151,8451,2024-04-19 00:00:00,960.1904000000002,0.0,1992.9381458546547,0
152,8452,2024-04-19 07:00:00,0.0,1000.0,992.9381458546547,0
153,8453,2024-04-19 22:00:00,971.4597999999999,0.0,1964.3979458546546,0
154,8454,2024-04-20 16:00:00,0.0,1000.0,964.3979458546546,0
155,8455,2024-04-21 13:00:00,1002.8594,0.0,1967.2573458546547,0
156,8456,2024-04-22 04:00:00,0.0,1000.0,967.2573458546547,0
157,8457,2024-04-23 04:00:00,1019.3365999999999,0.0,1986.5939458546545,0
158,8458,2024-04-24 14:00:00,0.0,1000.0,986.5939458546545,0
159,8459,2024-04-25 15:00:00,945.7825999999998,0.0,1932.3765458546543,0
160,8460,2024-04-26 15:00:00,0.0,1000.0,932.3765458546543,0
161,8461,2024-04-27 17:00:00,992.8037000000002,0.0,1925.1802458546545,0
162,8462,2024-04-28 23:00:00,0.0,1000.0,925.1802458546545,0
163,8463,2024-04-29 14:00:00,983.3655999999999,0.0,1908.5458458546543,0
164,8464,2024-04-29 23:00:00,0.0,1000.0,908.5458458546543,0
165,8465,2024-04-30 05:00:00,971.4233999999999,0.0,1879.9692458546542,0
166,8466,2024-04-30 09:00:00,0.0,1000.0,879.9692458546542,0
167,8467,2024-05-01 18:00:00,861.5678,0.0,1741.5370458546543,0
168,8468,2024-05-03 13:00:00,0.0,1000.0,741.5370458546543,0
169,8469,2024-05-05 01:00:00,1077.5451,0.0,1819.0821458546543,0
170,8470,2024-05-05 16:00:00,0.0,1000.0,819.0821458546543,0
171,8471,2024-05-05 20:00:00,968.876,0.0,1787.9581458546543,0
172,8472,2024-05-06 08:00:00,0.0,1000.0,787.9581458546543,0
173,8473,2024-05-06 10:00:00,945.1661999999999,0.0,1733.1243458546542,0
174,8474,2024-05-07 09:00:00,0.0,1000.0,733.1243458546542,0
175,8475,2024-05-07 11:00:00,967.2733000000005,0.0,1700.3976458546547,0
176,8476,2024-05-08 00:00:00,0.0,1000.0,700.3976458546547,0
