close,volume,turnover,rsi,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,exit_price,up_ratio,dw_ratio,rsi_up_ratio
28919,20681.89,598092793.7,28.06,4609.222000000002,1285.21,-43.43,75.75,-19.61,55.900000000001455,28863.1,0.43,0.5700000000000001,0.3667
29054.1,11604.097,337151086.5,37.04,2894.900785714287,757.78,-7.28,22.25,-18.09,-30.7,29084.8,0.43,0.5700000000000001,0.3469
29006.1,1216.241,35294828.69,40.76,754.5415714,55.76,-9.21,10.81,-12.9,-71,29077.1,0.27,0.73,0.375
28852.2,14287.22,412641681.9,31.65,2841.227214285716,855.27,-36.19,98.3,-22.7,-227.4,29079.6,0.43,0.5700000000000001,0.3469
29507,11999.319,355356452.7,41.44,5798.038714285715,443.44,-16.34,17.37,-19.18,-63,29570,0.43,0.5700000000000001,0.375
29420,5856.481,172269111.1,40.96,3908.5162142857157,334.9,-20.78,-94.79,-7.86,18.700000000000728,29401.3,0.27,0.73,0.375
29378.3,1302.763,38286600.9,40.64,1287.028929,-44.06,-17.62,-147.81,-2.45,-78.6,29456.9,0.44,0.56,0.375
29350.7,9160.031,268508335.3,40.45,3354.790000000002,494.08,-7.44,-44.61,-5.32,-71,29421.7,0.27,0.73,0.375
29381.6,751.909,22096541.83,41.91,629.1800714,-29.92,-0.77,5.87,-8.45,15.69999999999709,29365.9,0.43,0.5700000000000001,0.375
29312.5,4752.579,139334780.1,35.05,1214.897357142859,317.78,-6.44,2.43,-11.15,-75.5,29388,0.44,0.56,0.3469
29320.3,6505.158,191101814.7,42.14,1813.1202857142873,354.03,-8.71,-164.18,10.55,71.39999999999782,29248.9,0.43,0.5700000000000001,0.375
29081.6,3668.403,106815978.5,32.93,2305.5788571428584,190.19,-30.17,-147.62,-6.66,505.6999999999971,28575.9,0.44,0.56,0.3469
28973.5,16408.369,475077741.1,32.77,5091.012785714287,983.43,-27.95,22.61,-1.31,341.5,28632,0.44,0.56,0.3469
27928.5,48398.178,1362264370,13.85,7726.114642857145,3060.03,-153.01,-106.24,-14.25,1460.7999999999993,26467.7,0.44,0.56,0.5714
26230.8,85042.204,2210264837,5.86,17180.896571428573,5923.26,-371.02,1131.03,-34.65,-342.7,26573.5,0.44,0.56,0.01
25885.5,13594.062,352880242.1,23.88,7785.469714285717,681.08,-268.91,-1951.04,-1.39,-66.2,25951.7,0.27,0.73,0.3667
25822.9,2630.764,68035041.4,27.93,5312.692071428573,-783.09,-109.84,-326.14,-2.11,-380.7,26203.6,0.27,0.73,0.3667
25822,13182.492,340543111.2,34.04,4094.739714285716,876.23,-37.95,47.5,-13.74,-222,26044,0.43,0.5700000000000001,0.3469
26105.1,19503.806,510403035.9,38.59,4082.092142857145,1187.87,-24.65,-178.92,-18.29,-27.3,26132.4,0.24,0.76,0.3469
25826,31395.872,817066329.6,31.87,4919.796142857144,2121.37,-31.97,-90.9,-4.54,-213.9,26039.9,0.27,0.73,0.3469
25987.5,750.042,19503085.27,42.42,797.1972142857164,9.68,-6.25,-11.36,-7.27,-32.4,26019.9,0.27,0.73,0.375
27133.8,6382.874,173165556.1,44.33,3562.061000000002,378.02,-12.29,-90.89,9.78,1095.5999999999985,26038.2,0.24,0.76,0.375
25990.4,7939.534,205937024.8,33.03,2672.1887857142874,342.55,-67.34,-1446.79,5.95,214.3000000000029,25776.1,0.44,0.56,0.3469
25664.7,9154.756,235359715.6,30.32,3447.461285714288,586.95,-28.83,83.56,-18.82,-33,25697.7,0.43,0.5700000000000001,0.3469
25666,1163.364,29912466.43,40.2,3063.1008571428597,-30.83,-12.59,-104.71,2,-89.6,25755.6,0.27,0.73,0.375
25607.4,10997.331,281726308.2,36.12,2001.2645000000018,715.82,-19.45,30.16,-16.4,-238.9,25846.3,0.27,0.73,0.3469
25812,1830.07,47257407.17,40.63,674.0999285714307,79.02,-14.56,-31.43,-7.55,-68.3,25880.3,0.24,0.76,0.375
25793,971.188,25061960.14,37.8,937.3543571428593,31.81,-10.3,6.86,-8.32,-13.2,25806.2,0.27,0.73,0.3469
25686.9,3391.864,87187915.98,27.87,1735.4755714285734,176.96,-27.63,66.29,-6,-119.3,25806.2,0.27,0.73,0.3667
25674.6,2582.219,66360093.15,36.79,3683.430500000002,122.33,-15.65,33.32,1.94,-207.6,25882.2,0.27,0.73,0.3469
25586,3858.411,98894582.54,34.15,3467.0859285714314,63.49,-32.86,82.47,-7.93,447.90000000000146,25138.1,0.27,0.73,0.3469
26415.5,9862.373,261191748,44.3,2574.2057142857166,444.41,10.97,-107.86,-14.49,-34.4,26449.9,0.43,0.5700000000000001,0.375
26456.5,3748.934,99224489.51,43.66,1327.333285714288,40.21,0.69,-120.63,-11.98,-84.6,26541.1,0.43,0.5700000000000001,0.375
26422.8,1839.294,48655857.77,38.09,1315.4803571428595,102.57,-21.88,19.86,-11.84,-91.8,26514.6,0.27,0.73,0.3469
26911.9,18096.345,486813983.1,40.22,6286.4135000000015,1012.36,-6.47,44.73,-16.36,-198.7,27110.6,0.43,0.5700000000000001,0.375
26736.1,21117.42,565503307.9,33.01,4765.700285714287,215.79,-53.12,140.95,-16.04,157.59999999999854,26578.5,0.27,0.73,0.3469
26576.5,2778.12,73885962.06,41.62,2286.569642857144,-46.42,-9.16,-244.48,-0.94,-88.4,26664.9,0.44,0.56,0.375
26524,1712.865,45517576.22,40.24,2626.202429,24.88,-24.04,10.46,0.13,-68.4,26592.4,0.27,0.73,0.375
26438.5,9234.85,244089702.9,34.19,2114.2703571428588,623.31,-5.95,89.82,-15.61,314.09999999999854,26124.4,0.43,0.5700000000000001,0.3469
26149.9,6872.743,180452549.4,22.29,4948.935714285716,446.89,-95.5,373.66,-41.99,56.900000000001455,26093,0.44,0.56,0.3667
26113.8,3563.637,93100724.46,33.17,2868.0780000000013,150.01,-35.34,9.5,-9.28,-120.7,26234.5,0.44,0.56,0.3469
27330.4,9645.223,263485687.7,38.22,4292.033429,429.89,-80.2,-604,-7.26,-69.6,27400,0.24,0.76,0.3469
27231.4,25134.244,689444505.9,35.71,4570.103785714287,1583.11,6.54,-183.38,-14.73,-424.1,27655.5,0.43,0.5700000000000001,0.3469
27732.3,6969.704,193484680.4,37.13,2204.3407857142874,263.98,-27.29,43.67,-15.36,127.39999999999782,27604.9,0.43,0.5700000000000001,0.3469
27411,5899.723,162043621,34.47,2409.6585000000014,318.37,-29.07,-39.52,-11.14,33,27378,0.44,0.56,0.3469
27102.7,18542.228,503535336.8,28.07,6114.305000000001,903.03,-45.33,21.05,-22.77,-171,27273.7,0.44,0.56,0.3667
26770.9,26880.373,721639673.5,27.81,7876.457357142858,1858.19,-76.81,58.76,-9.99,-118.9,26889.8,0.27,0.73,0.3667
26690.2,5857.286,156280387.8,37.92,3446.9390000000017,282.43,-26.52,-281.26,-2.47,-128.3,26818.5,0.27,0.73,0.3469
34111.6,9979.292,340569339.3,39.73,4959.911500000002,407.63,-79.64,-44.69,-14.64,-140.1,34251.7,0.24,0.76,0.3469
33613.6,15575.168,523736772.6,35.85,5114.644000000002,1001.45,-97.68,158.52,-18.63,-329.9,33943.5,0.27,0.73,0.3469
34192.5,18957.876,651526531.3,41.26,6334.318785714287,1037.9,15.36,105.53,10.87,-283,34475.5,0.43,0.5700000000000001,0.375
34656.8,16529.68,573669991.8,37.33,4747.816571428573,1015.16,-27.04,9.11,-15.81,-332.6,34989.4,0.43,0.5700000000000001,0.3469
34665.9,11920.047,413527804.7,35.42,3114.1427142857165,672.33,-53.81,-54.23,-12.02,-210,34875.9,0.27,0.73,0.3469
