close,volume,turnover,rsi,upper,middle,lower,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,bb_diff,up_ratio,dw_ratio,rsi_up_ratio
28011.7,4903.507,137267792.8,58.03,28006.35,27915.24,27824.12,-6.31,-21.91,15.6,24.92,14.67,13.01,15.7,1826.3361428571438,149.74,9.03,-82.37,11.28,-42.3,0.3,0.7,0.3714
28127,10561.138,297261677.3,68.43,28097.17,27943.88,27790.59,5.78,-12.49,18.27,35.59,17.28,20.02,17.85,3349.1232857142863,664.46,22.42,50.62,30.14,126.5,0.44,0.56,0.3898
28419.2,15208.238,432518143,66.59,28383.54,28242.99,28102.44,67.5,70.59,-3.08,35.54,16,27.67,29.1,3766.2812857142862,826.8,27.4,-344.58,6.03,1660.5,0.48,0.52,0.3898
30224.2,4167.137,125838279.4,67.65,30194.88,29924.84,29654.79,302.6,350.28,-47.67,24.09,11.26,51.8,54.24,5400.4125,-5.93,126.34,-998.81,-9.74,-314.9,0.48,0.52,0.3898
30429.9,14193.354,431194311.8,66.09,30421.98,30119.47,29816.96,82.92,54.56,28.36,30.73,9.05,24.82,19.93,4954.548857142858,674.29,68.71,254.31,12.97,354.1999999999971,0.44,0.56,0.3898
30739.9,20258.618,620952274.8,70.41,30615.8,30292.39,29968.97,110.7,90.84,19.85,36.99,10.73,33.39,26.5,7144.0755714285715,1258.57,69.63,110.21,14.73,51.39999999999782,0.48,0.52,0.4048
30495.9,3340.262,101490666.2,63.8,30432.13,30318.61,30205.09,6.62,-12.92,19.54,26.01,19.37,16.51,17.63,2147.3201428571433,153.92,25.52,77.18,15.17,-189.1,0.3,0.7,0.3898
30386.9,20506.097,619050573.9,74.99,30199.91,29716.41,29232.91,58.71,-48.29,107.01,36.43,17.96,37.48,43.53,5857.233214285715,1296.85,136.02,454.84,35.29,-21.5,0.45,0.55,0.4048
27795.2,9798.47,270989827.8,62.67,27746.36,27567.98,27389.6,7.09,-10.63,17.73,22.91,17.14,18.74,19.81,4504.724285714286,293.44,27.75,-4.45,12.07,-260.2,0.45,0.55,0.3898
27609.6,13741.084,377856023.4,60.52,27542.92,27388.14,27233.35,-4.66,-26.39,21.72,22.23,14.82,11.89,11.46,5204.325214285715,830.4,12.36,11.93,12.1,707,0.3,0.7,0.3898
29948,55153.778,1631928171,89.61,29533.61,28476.04,27418.46,425.86,306.63,119.22,56.22,4.1,50.84,36.95,11921.801857142858,3180.15,366.9,524.02,24.67,-2076.2,0.48,0.52,0.75
29752,24908.346,737857142.9839998,65.55,29555.18,29045.55,28535.92,150.15,98.17,51.98,35.27,14.89,21.98,28.37,11820.981642857145,1317.42,149.02,-613.5,18.83,-291,0.44,0.56,0.3898
29373.4,5534.952,162431924.3,62.87,29352.81,29237.94,29123.08,9.22,-7.09,16.32,29.16,13.05,15.29,15.5,2147.7391428571436,262.94,16.37,2.44,13.98,-23.5,0.3,0.7,0.3898
28520,24874.75,709382681.7,61.97,28474.59,28150.82,27827.05,-42.74,-125.2,82.45,28.39,14.04,38.37,43.27,7681.411857142857,1449.45,54.15,-108.52,25.21,-26.4,0.3,0.7,0.3898
28911.6,17171.495,495510540,63.56,28806.18,28492.35,28178.52,33.27,13.24,20.03,29.53,15.23,21,25.55,10953.75092857143,991.93,34.02,111.15,15.16,167.90000000000146,0.3,0.7,0.3898
