,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1989,1989,2121,1648602000000.0,47247.5,47247.5,46501.0,46866.0,7600.255,355941724.5855,2022-03-30 01:00:00,-2.96e-05,23077.52,37.65,47618.5,47177.03,47397.77,47839.24,46956.29,48059.98,46735.56,-29.15,60.6,-89.75,16.04,34.24,21.44,28.49,3625.020785714286,223.66,-55.97,208.87,-11.31,47358.66,47092.3,PositionState,lower,46866.0,47415.0,0.0,-549.0,0.0,-549.0,-293.0,-187.2699999999968
2025,2025,2157,1648731600000.0,47367.5,47589.5,46929.0,46929.5,8618.372,406604466.5875,2022-03-31 13:00:00,4.928e-05,24373.693,43.18,47293.91,47055.57,47174.74,47413.08,46936.41,47532.25,46817.24,-23.15,-27.11,3.96,18.26,18.99,12.37,17.02,2160.957714285715,529.5,-25.81,-102.2,-0.06,47171.05,47104.97,PositionState,lower,46929.5,45410.5,0.0,1519.0,2538.5,0.0,1509.58,1827.3099999999977
2147,2147,2279,1649170800000.0,45818.0,45898.0,45660.0,45762.0,3809.087,174331212.339,2022-04-05 15:00:00,0.0001,23141.688,35.2,46644.28,46108.67,46376.47,46912.08,45840.86,47179.89,45573.06,-10.26,89.5,-99.77,20.7,28.65,18.38,17.21,3294.973142857144,200.77,-64.68,-80.28,-4.03,46444.38,45974.59,PositionState,lower,45762.0,43739.5,0.0,2022.5,2871.5,-275.5,1264.477777777778,2393.0599999999977
2216,2216,2348,1649419200000.0,43296.0,43401.0,43089.0,43158.0,3412.908,147637658.827,2022-04-08 12:00:00,0.0001,23821.543,37.31,43665.28,43374.59,43519.93,43810.62,43229.24,43955.97,43083.9,-76.07,-62.21,-13.86,15.27,24.75,20.6,27.69,2255.272285714286,143.75,-38.09,83.19,-5.01,43531.38,43301.55,PositionState,lower,43158.0,43734.5,0.0,-576.5,235.5,-576.5,-113.66666666666669,-121.70999999999913
2319,2319,2451,1649790000000.0,39665.5,39719.0,39251.0,39285.5,5981.644,236200663.419,2022-04-12 19:00:00,-0.00020802,23811.991,32.43,40395.61,39730.86,40063.24,40727.99,39398.49,41060.36,39066.11,-246.46,-245.07,-1.39,10.92,26.48,35.94,48.43,5042.477428571429,172.0,-81.86,30.31,-6.41,40053.72,39574.77,PositionState,lower,39285.5,40055.0,0.0,-769.5,0.0,-769.5,-383.8,-308.7700000000041
2362,2362,2494,1649944800000.0,40602.5,40643.0,40279.0,40415.5,9153.965,370179012.477,2022-04-14 14:00:00,9.945e-05,25842.279,38.7,41185.79,40698.35,40942.07,41429.51,40454.62,41673.23,40210.9,37.56,159.05,-121.49,14.75,24.7,24.4,27.09,3242.608142857144,487.61,-55.43,287.09,-7.55,40975.44,40623.38,PositionState,lower,40415.5,40225.5,0.0,190.0,776.0,0.0,442.0833333333333,488.2599999999948
2443,2443,2575,1650236400000.0,39987.0,39988.5,39520.5,39662.0,6723.437,267061490.7185,2022-04-17 23:00:00,5.107e-05,24641.028,30.19,40375.84,40014.61,40195.22,40556.45,39833.99,40737.07,39653.38,-89.61,-35.93,-53.68,13.73,37.6,18.72,16.49,2521.438214285715,356.27,-56.12,244.58,-11.93,40135.16,39882.06,PositionState,lower,39662.0,39433.5,0.0,228.5,862.0,-123.5,410.5833333333333,534.5099999999948
2554,2554,2686,1650636000000.0,40236.5,40431.5,39780.0,39855.5,9566.365,382574254.3635,2022-04-22 14:00:00,0.0001,25902.435,28.67,40852.98,40351.81,40602.39,41103.56,40101.22,41354.15,39850.64,-312.52,-289.31,-23.21,8.93,34.56,42.74,37.47,3482.3807142857145,329.9,-78.62,-303.75,-2.66,40386.38,40097.31,PositionState,lower,39855.5,39683.0,0.0,172.5,531.5,0.0,299.8958333333333,447.2999999999956
2612,2612,2744,1650844800000.0,39439.5,39486.0,38634.0,38837.0,10782.706,420475561.4995,2022-04-25 00:00:00,0.0001,24628.689,29.7,39709.59,39320.14,39514.86,39904.31,39125.41,40099.04,38930.69,-101.82,-52.53,-49.28,14.18,41.56,23.24,20.38,3606.548142857144,685.26,-71.36,370.13,-17.23,39449.72,39167.61,PositionState,lower,38837.0,39056.0,0.0,-219.0,440.5,-398.5,30.266666666666666,282.6900000000023
2651,2651,2783,1650985200000.0,39258.5,39354.0,38521.0,38545.0,17286.242,674206482.6905,2022-04-26 15:00:00,0.0001,27035.854,24.46,40435.79,39445.78,39940.78,40930.8,38950.77,41425.8,38455.76,-37.57,185.87,-223.44,15.09,35.86,33.65,34.23,4803.794071428571,1104.08,-146.93,852.35,-13.29,40016.38,39106.11,PositionState,lower,38545.0,39103.5,0.0,-558.5,453.5,-558.5,157.58823529411765,305.9100000000035
2718,2718,2850,1651226400000.0,39134.5,39238.5,38613.5,38791.0,7154.372,278485660.353,2022-04-29 10:00:00,0.0001,25620.7,32.43,39793.67,39146.82,39470.25,40117.1,38823.4,40440.52,38499.97,-77.73,29.73,-107.47,11.89,33.94,21.49,21.68,2900.795571428572,48.44,-71.5,148.12,-7.95,39377.66,39044.96,PositionState,lower,38791.0,38467.0,0.0,324.0,1179.5,-458.5,415.6018518518519,833.1900000000023
