start_at,open,high,low,close,volume,turnover,date,upper,midle,lower,macd,macdsignal,macdhist,bb_diff,bb_flag,prev_macd,prev_macdsignal,macdhist_positive,macd_rising,macdsignal_rising,macd_positive,macdsignal_positive
1685793600000.0,27126.0,27164.0,27124.1,27157.1,548.299,14885680.1231,2023-06-03 12:00:00,27222.31,27133.76,27045.21,22.06,30.81,-8.75,0.0,,22.56,33.0,False,False,False,True,True
1685797200000.0,27157.1,27175.6,27141.6,27163.2,706.282,19179742.9923,2023-06-03 13:00:00,27210.78,27136.56,27062.35,21.9,29.03,-7.13,0.0,,22.06,30.81,False,False,False,True,True
1685800800000.0,27163.2,27191.6,27161.0,27161.1,787.305,21395555.2854,2023-06-03 14:00:00,27212.54,27138.9,27065.26,21.35,27.49,-6.14,0.0,,21.9,29.03,False,False,False,True,True
1685804400000.0,27161.1,27324.9,27120.0,27286.9,4534.355,123483263.6121,2023-06-03 15:00:00,27238.85,27153.0,27067.14,30.72,28.14,2.58,-106.14000000000306,upper,21.35,27.49,True,True,True,True,True
1685808000000.0,27286.9,27310.0,27218.0,27240.0,2466.259,67247471.6507,2023-06-03 16:00:00,27252.74,27161.28,27069.82,33.96,29.3,4.66,0.0,,30.72,28.14,True,True,True,True,True
1685811600000.0,27240.0,27246.9,27108.9,27149.8,3445.862,93634185.6386,2023-06-03 17:00:00,27251.08,27160.19,27069.3,28.93,29.23,-0.3,0.0,,33.96,29.3,False,False,False,True,True
1685815200000.0,27149.8,27174.9,27110.0,27142.2,1151.141,31247011.6146,2023-06-03 18:00:00,27241.59,27158.47,27075.35,24.04,28.19,-4.14,0.0,,28.93,29.23,False,False,False,True,True
1685818800000.0,27142.2,27153.2,26917.4,27084.9,4761.494,128840994.3846,2023-06-03 19:00:00,27233.73,27151.47,27069.2,15.37,25.63,-10.25,0.0,,24.04,28.19,False,False,False,True,True
1685822400000.0,27084.9,27110.8,27043.5,27050.3,1920.792,52017668.5056,2023-06-03 20:00:00,27235.93,27141.83,27047.73,5.64,21.63,-15.98,0.0,,15.37,25.63,False,False,False,True,True
1685826000000.0,27050.3,27065.1,26905.9,26999.9,3485.431,94042198.2979,2023-06-03 21:00:00,27242.48,27128.31,27014.15,-6.06,16.09,-22.15,-30.87999999999738,lower,5.64,21.63,False,False,False,False,True
1685829600000.0,26999.9,27073.0,26999.0,27063.7,1501.664,40610394.2742,2023-06-03 22:00:00,27241.55,27122.16,27002.76,-10.07,10.86,-20.93,0.0,,-6.06,16.09,False,False,False,False,True
1685833200000.0,27063.7,27075.1,27047.8,27059.1,535.275,14485678.8233,2023-06-03 23:00:00,27240.62,27116.15,26991.69,-13.47,5.99,-19.46,0.0,,-10.07,10.86,False,False,False,False,True
