,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi
168,1643385600000.0,37173,37342.5,36752.5,37195,8813.178,326240700.7444999814,2022-01-28 16:00:00,-0.00008549,16928.63399999
169,1643400000000.0,37195,37964,37116,37693.5,9462.002,356169106.5260000229,2022-01-28 20:00:00,-0.00008549,16928.89400000
170,1643414400000.0,37693.5,37962.5,37437.5,37697.5,6414.519,241632658.7060000002,2022-01-29 00:00:00,0.0001,17828.88399999
171,1643428800000.0,37697.5,37900,37588.5,37828,5726.527,216202383.1220000088,2022-01-29 04:00:00,0.0001,18252.46200000
172,1643443200000.0,37828,37894.5,37566,37727.5,5008.768,188872071.8594999909,2022-01-29 08:00:00,-0.00032025,18534.57800000
173,1643457600000.0,37727.5,38150,37256,37542,13261.642,500696654.9860000014,2022-01-29 12:00:00,-0.00032025,18452.92300000
174,1643472000000.0,37542,37928,37303.5,37824,6620.558,249121113.3140000105,2022-01-29 16:00:00,0.00004215,18793.27899999
175,1643486400000.0,37824,38769,37810,38150.5,13605.799,521178147.6980000138,2022-01-29 20:00:00,0.00004215,18583.29499999
176,1643500800000.0,38150.5,38259.5,37730,37901.5,5076.995,192640850.2400000095,2022-01-30 00:00:00,-0.00007754,18611.92800000
177,1643515200000.0,37901.5,38358,37900,38194,4878.918,186025829.8939999938,2022-01-30 04:00:00,-0.00007754,18343.61600000
178,1643529600000.0,38194,38341,37789.5,38088.5,7209.362,274197796.074000001,2022-01-30 08:00:00,-0.00012614,18753.28800000
179,1643544000000.0,38088.5,38120,37724,37937.5,7312.349,277100447.6470000148,2022-01-30 12:00:00,-0.00012614,18579.66900000
180,1643558400000.0,37937.5,38058,37425,37517.5,6831.034,257700641.8659999967,2022-01-30 16:00:00,0.00004287,18620.26400000
181,1643572800000.0,37517.5,38200,37320,37875.5,7720.974,291634543.6600000262,2022-01-30 20:00:00,0.00004287,18082.11100000
182,1643587200000.0,37875.5,37925,36632,36995,13103.359,485497895.5314999819,2022-01-31 00:00:00,0.00006852,17742.46000000
183,1643601600000.0,36995,37155,36793.5,37076,4726.592,174725174.9690000117,2022-01-31 04:00:00,0.00006852,18124.44900000
184,1643616000000.0,37076,37315,36880,37244.5,6882.418,255594818.6015000045,2022-01-31 08:00:00,0.00002097,18156.51200000
185,1643630400000.0,37244.5,37870,36781,37660,17666.61,659689771.4750000238,2022-01-31 12:00:00,0.00002097,18142.44500000
186,1643644800000.0,37660,38771,37637.5,38385,17476.55,668974824.2224999666,2022-01-31 16:00:00,-0.00006998,18974.49100000
187,1643659200000.0,38385,38700,38178.5,38440,5936.516,228040454.425999999,2022-01-31 20:00:00,-0.00006998,20383.81900000
