,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi
5939,1694952000.0,26555,26586.4,26511,26534.1,4619.229,122621667.3789,2023-09-17 12:00:00,0.00003727,-0.00045193,59218.69400000
5940,1694966400.0,26534.1,26539.2,26450,26490,4977.582,131861742.3524,2023-09-17 16:00:00,0.00002862,-0.00046893,59134.75700000
5941,1694980800.0,26490,26527,26380,26514.6,6909.61,182776591.9009,2023-09-17 20:00:00,0.00002862,-0.00043426,58863.74800000
5942,1694995200.0,26514.6,26743,26350.3,26647.1,19166.076,509216450.8928,2023-09-18 00:00:00,0.00000153,-0.00030769,58903.42400000
5943,1695009600.0,26647.1,26790,26554.5,26697.9,12039.204,321168289.2186,2023-09-18 04:00:00,0.00000153,-0.00051402,58636.16100000
5944,1695024000.0,26697.9,27229,26671.1,27185,53217.222,1436679111.7271,2023-09-18 08:00:00,0.0001,-0.00034625,59885.78000000
5945,1695038400.0,27185,27400,27121,27256.4,37284.213,1016949802.2608,2023-09-18 12:00:00,0.0001,-0.00044193,66484.71300000
5946,1695052800.0,27256.4,27296,26615.1,26803.9,53773.861,1444489573.6297,2023-09-18 16:00:00,0.00004192,-0.00037680,67668.76500000
5947,1695067200.0,26803.9,26869.9,26716.8,26749.3,9352.287,250494502.6515,2023-09-18 20:00:00,0.00004192,-0.00044722,60362.42000000
5948,1695081600.0,26749.3,26824.2,26651.1,26808,8489.99,226915206.583,2023-09-19 00:00:00,0.00005882,-0.00040477,59734.55500000
5949,1695096000.0,26808,26859.7,26746.5,26832.1,7057.69,189267599.0738,2023-09-19 04:00:00,0.00005882,-0.00046337,59798.79700000
5950,1695110400.0,26832.1,27484.9,26832,27229.1,43922.552,1193186040.377,2023-09-19 08:00:00,0.00005051,-0.00027159,61340.57800000
5951,1695124800.0,27229.1,27470.7,26868,27410,55261.696,1502214207.5848,2023-09-19 12:00:00,0.00005051,-0.00068933,63308.72100000
5952,1695139200.0,27410,27470.3,27056.2,27171.9,26147.903,711904224.2849,2023-09-19 16:00:00,0.00008455,-0.00047739,63712.56200000
