start_at,open,high,low,close,volume,turnover,date
1625414400000.0,35487,35650,35373.5,35561,5720.42,203423855.6200000048,2021-07-04 16:00:00
1625428800000.0,35561,35940,35231.5,35293,11203.239,395395914.02700001,2021-07-04 20:00:00
1625443200000.0,35293,35293,34240,34367.5,19209.804,660192938.9700000286,2021-07-05 00:00:00
1625457600000.0,34367.5,34422.5,34060,34258,11972.773,410163257.4340000153,2021-07-05 04:00:00
1625472000000.0,34258,34539,33335.5,33386,20284.131,677205997.5659999847,2021-07-05 08:00:00
1625486400000.0,33386,33722,33327,33557.5,13532.788,454126533.3100000024,2021-07-05 12:00:00
1625500800000.0,33557.5,34240,33119,34095,14168.788,483084826.8600000143,2021-07-05 16:00:00
1625515200000.0,34095,34185.5,33662,33679,9136.688,307714515.15200001,2021-07-05 20:00:00
1625529600000.0,33679,34131.5,33633.5,33894.5,8150.574,276259630.4430000186,2021-07-06 00:00:00
1625544000000.0,33894.5,34920,33894,34860,14551.826,507276654.3600000143,2021-07-06 04:00:00
1625558400000.0,34860,35061.5,33732,34039.5,24069.885,819326850.4574999809,2021-07-06 08:00:00
1625572800000.0,34039.5,34466,33780.5,34033.5,17122.383,582734621.8305000067,2021-07-06 12:00:00
1625587200000.0,34033.5,34155,33512,33981.5,14502.951,492832029.4064999819,2021-07-06 16:00:00
1625601600000.0,33981.5,34319.5,33636,34200,6961.981,238099750.1999999881,2021-07-06 20:00:00
1625616000000.0,34200,34521,33935,34416,9666.58,332685017.2799999714,2021-07-07 00:00:00
1625630400000.0,34416,34869.5,34360,34694.5,11183.183,387994942.5935000181,2021-07-07 04:00:00
1625644800000.0,34694.5,34950,34460,34800.5,10298.664,358398656.5320000052,2021-07-07 08:00:00
1625659200000.0,34800.5,35036,34489.5,34540,9785.543,337992655.2200000286,2021-07-07 12:00:00
1625673600000.0,34540,34767,34431.5,34626.5,5361.184,185639037.7759999931,2021-07-07 16:00:00
1625688000000.0,34626.5,34627,33806,33878.5,10100.481,342189145.5584999919,2021-07-07 20:00:00
1625702400000.0,33878.5,33937.5,33077.5,33300,15506.129,516354095.6999999881,2021-07-08 00:00:00
1625716800000.0,33300,33478,32270.5,32496,21950.714,713310402.1440000534,2021-07-08 04:00:00
1625731200000.0,32496,32699,32089,32661.5,16558.402,540822246.9229999781,2021-07-08 08:00:00
1625745600000.0,32661.5,32945,32343.5,32866.5,16322.74,536471334.2099999785,2021-07-08 12:00:00
