,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2019,15525,15725,1700805600000.0,37425.5,37429.9,37359.7,37359.9,690.361,25816244.8312,2023-11-24 06:00:00,0.0001,0.0,56909.509,51.95,37398.96,37289.56,37344.26,37453.66,37234.86,37508.35,37180.16,24.17,21.97,2.2,22.25,20.7,8.7,11.21,841.4729285714285,-44.14,1.65,11.12,2.35,37368.57,37375.78,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,15526,15726,1700807400000.0,37359.9,37424.9,37359.9,37383.6,740.004,27670759.4631,2023-11-24 06:30:00,0.0001,1.578e-05,57126.363,53.61,37402.2,37293.81,37348.0,37456.4,37239.61,37510.6,37185.41,24.26,22.43,1.83,21.12,19.65,8.34,10.86,859.0056428571428,17.53,3.73,-1.23,-1.34,37366.08,37379.69,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,15527,15727,1700809200000.0,37383.6,37391.9,37349.5,37375.0,600.838,22451956.0633,2023-11-24 07:00:00,0.0001,0.0,57015.248,52.9,37404.97,37296.18,37350.57,37459.37,37241.78,37513.76,37187.39,23.37,22.62,0.75,20.39,19.82,7.84,10.46,858.2834285714287,-0.72,2.56,3.54,-2.03,37365.41,37377.34,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,15528,15728,1700811000000.0,37375.0,37584.9,37374.9,37532.1,3274.34,122748429.7816,2023-11-24 07:30:00,0.0001,0.00021247,56894.544,62.66,37431.37,37304.36,37367.86,37494.87,37240.86,37558.37,37177.35,34.94,25.08,9.85,31.5,16.74,9.47,11.27,1065.1842142857142,206.9,17.29,39.38,13.46,37382.11,37454.72,EnterPreparationState,upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,15529,15729,1700812800000.0,37532.1,37582.8,37473.8,37504.1,2230.364,83697489.6967,2023-11-24 08:00:00,0.0001,4.287e-05,55668.624,60.27,37445.25,37316.42,37380.84,37509.67,37252.0,37574.09,37187.58,41.37,28.34,13.03,28.98,15.4,10.98,12.03,989.7484285714283,-75.43,12.97,39.15,9.92,37403.1,37479.41,PositionState,upper,37504.1,37747.4,0.0,243.3000000000029,800.0,-61.59999999999855,281.3277777777791,468.8999999999942
2024,15726,15926,1701167400000.0,37040.1,37127.7,37034.1,37122.0,629.339,23336513.7307,2023-11-28 10:30:00,0.0001,0.0003172,59757.565,52.8,37152.61,36975.62,37064.12,37241.1,36887.13,37329.6,36798.64,-10.03,-15.14,5.1,19.43,18.42,12.08,14.35,1498.2342142857144,-24.21,6.1,-57.03,-0.11,37053.4,37085.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,15727,15927,1701169200000.0,37122.0,37214.3,37088.4,37187.0,2167.263,80522689.2291,2023-11-28 11:00:00,0.0001,0.00015207,59786.879,55.92,37163.71,36987.93,37075.82,37251.6,36900.04,37339.49,36812.14,0.9,-11.93,12.83,23.06,17.06,12.29,14.7,1596.4280714285717,98.19,11.69,-15.17,4.89,37062.46,37136.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,15728,15928,1701171000000.0,37187.0,37269.5,37145.7,37261.4,2266.555,84354350.6809,2023-11-28 11:30:00,0.0001,0.00029637,59514.861,59.23,37185.73,37001.26,37093.49,37277.97,36909.02,37370.2,36816.78,15.39,-6.46,21.86,24.62,15.83,12.96,15.52,1509.8923571428572,-86.53,17.66,27.89,6.42,37090.68,37198.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,15729,15929,1701172800000.0,37261.4,37277.0,37173.2,37227.9,2044.293,76088487.9978,2023-11-28 12:00:00,0.0001,0.00021269,59754.251,57.15,37202.5,37010.09,37106.29,37298.7,36913.88,37394.91,36817.68,23.9,-0.39,24.29,23.55,14.86,13.65,16.39,1503.520071428571,-6.37,12.8,42.23,1.46,37104.31,37213.35,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,15730,15930,1701174600000.0,37227.9,37288.3,37187.5,37211.5,1290.189,48049847.8191,2023-11-28 12:30:00,0.0001,1.191e-05,60030.492,56.11,37213.54,37019.08,37116.31,37310.78,36921.85,37408.01,36824.61,28.98,5.48,23.5,22.81,13.96,14.39,16.7,1501.129,-2.39,10.01,24.83,-0.91,37126.83,37212.42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
