,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
1628,1760,1647302400000.0,39645.5,39799.5,39359.0,39546.0,2897.644,114619017.0895,2022-03-15 00:00:00,0.0001,-0.00054,19503.96,65.15,39250.76,38669.56,38960.16,39541.36,38378.96,39831.96,38088.37,154.35,73.91,80.43,33.03,15.73,17.88,19.63,3540.2006428571435,73.03,-585.8399999999965,159.8,-4.32,39001.0,39440.13,-4.639999999999418,-1167.0400000000009,-105.87000000000262,-545.0,-4.849999999999994,35.150000000000006,17.3,80.44,PositionState,upper,39546.0,38834.0,0.0,-712.0,0.0,-712.0,-356.0,0
1648,1780,1647374400000.0,39712.0,39850.0,39382.0,39433.0,3559.456,140868366.053,2022-03-15 20:00:00,0.0001,2e-06,20902.749,60.15,39376.51,38697.2,39036.86,39716.17,38357.54,40055.83,38017.89,158.03,65.81,92.22,27.38,13.55,15.5,14.52,3806.592500000001,123.9,-396.1399999999994,51.67,1.91,39163.38,39462.38,283.16999999999825,-1075.4599999999991,29.37999999999738,-269.6200000000026,-9.850000000000001,30.15,13.829999999999998,92.22,PositionState,upper,39433.0,39143.5,0.0,-289.5,1433.0,-289.5,127.375,0
1717,1849,1647622800000.0,41379.5,41695.5,41325.0,41615.0,6351.241,263493269.565,2022-03-18 17:00:00,-0.00015262,-0.000493,22103.116,71.15,41100.57,40449.5,40775.03,41426.11,40123.96,41751.65,39798.42,107.7,0.49,107.2,32.2,16.73,16.97,17.14,3785.9602142857148,371.16,-839.9700000000012,481.62,10.91,40743.16,41329.92,-188.88999999999942,-1491.0400000000009,-285.08000000000175,-871.8399999999965,1.1500000000000057,41.150000000000006,15.470000000000002,107.21000000000001,PositionState,upper,41615.0,41810.0,0.0,195.0,565.5,-16.5,211.86764705882354,0
1799,1931,1647918000000.0,41822.0,42573.0,41822.0,42215.0,8161.426,344429735.6455,2022-03-22 03:00:00,9.647e-05,-0.000499,22071.468,69.38,41586.24,40973.66,41279.95,41892.53,40667.37,42198.83,40361.08,93.38,-24.13,117.51,35.73,15.6,26.04,25.95,3637.492714285715,143.78,-935.0500000000029,606.22,25.88,41320.22,41840.08,-322.47000000000116,-1547.6299999999974,-374.91999999999825,-894.7799999999988,-0.6200000000000045,39.379999999999995,20.129999999999995,117.50999999999999,PositionState,upper,42215.0,42268.0,0.0,53.0,769.5,-4.5,381.6764705882353,0
1844,1976,1648080000000.0,42851.5,43250.0,42735.0,43007.5,6943.698,298536836.5795,2022-03-24 00:00:00,5.813e-05,-0.00067,20601.45599999,64.85,42663.24,42133.22,42398.23,42928.24,41868.22,43193.25,41603.21,117.98,46.53,71.45,30.23,13.96,14.58,16.69,3375.484214285715,395.4,-609.2699999999968,315.05,10.3,42439.66,42811.78,-79.26000000000204,-1139.2799999999988,-195.72000000000116,-567.8399999999965,-5.150000000000006,34.849999999999994,16.27,71.45,PositionState,upper,43007.5,44150.5,0.0,1143.0,1918.0,-317.0,695.5365853658536,0
1913,2045,1648328400000.0,44524.0,44524.5,44211.0,44394.0,2437.18,108076015.5295,2022-03-26 21:00:00,-0.00030897,-0.000743,24547.077,53.2,44435.83,44262.73,44349.28,44522.38,44176.18,44608.92,44089.63,39.71,43.31,-3.6,24.27,18.51,12.67,15.04,1585.656071428572,97.77,-44.720000000001164,-2.55,3.83,44328.5,44412.43,128.37999999999738,-217.8199999999997,18.43000000000029,-65.5,-16.799999999999997,23.200000000000003,5.759999999999998,-3.6000000000000014,PositionState,upper,44394.0,44321.0,0.0,-73.0,0.0,-73.0,-36.5,0
1917,2049,1648342800000.0,44675.0,44720.0,44551.0,44700.0,1624.281,72508513.978,2022-03-27 01:00:00,0.0001,-0.000636,24804.626,62.95,44546.2,44290.12,44418.16,44674.24,44162.09,44802.28,44034.05,78.42,51.63,26.79,25.69,13.97,15.17,14.83,1661.494428571429,25.02,-281.8399999999965,151.37,4.06,44461.61,44623.33,-25.760000000002037,-537.9100000000035,-76.66999999999825,-238.38999999999942,-7.049999999999997,32.95,11.72,26.79,PositionState,upper,44700.0,44515.5,0.0,-184.5,11.0,-184.5,-79.8,0
1932,2064,1648396800000.0,44819.5,44999.5,44706.0,44910.0,4799.946,215235452.787,2022-03-27 16:00:00,-0.00011119,-0.000806,26263.847,65.32,44728.24,44455.96,44592.1,44864.38,44319.82,45000.51,44183.69,85.53,67.98,17.54,26.55,11.95,20.05,19.14,1676.0597142857148,78.82,-317.90000000000146,109.94,6.22,44611.83,44800.08,-45.62000000000262,-590.1800000000003,-109.91999999999825,-298.16999999999825,-4.680000000000007,35.31999999999999,14.600000000000001,17.549999999999997,PositionState,upper,44910.0,47122.5,0.0,2212.5,3038.0,-118.0,1978.515625,0
2106,2238,1649023200000.0,46994.0,47493.0,46567.5,46682.5,13184.215,620143573.3455,2022-04-03 22:00:00,0.0001,1.3e-05,23369.188,55.88,46643.7,46231.37,46437.54,46849.87,46025.21,47056.03,45819.05,106.53,63.81,42.71,33.53,11.0,21.49,23.91,2809.5166428571433,877.26,-244.95999999999913,-22.28,14.8,46529.5,46691.48,167.37000000000262,-657.2900000000009,8.980000000003201,-153.0,-14.119999999999997,25.880000000000003,22.53,42.72,PositionState,upper,46682.5,46411.5,0.0,-271.0,0.0,-271.0,-135.5,0
2252,2384,1649548800000.0,42726.5,42750.0,42570.0,42621.0,1147.34,48962031.379,2022-04-10 00:00:00,0.0001,-0.000102,23671.285,51.02,42637.95,42445.44,42541.69,42734.2,42349.19,42830.45,42252.93,-53.43,-112.15,58.71,16.16,17.94,28.78,30.91,1436.2212857142863,3.5,-79.30999999999767,74.03,4.19,42528.33,42618.52,113.19999999999709,-271.8099999999977,-2.4800000000032014,-92.66999999999825,-18.979999999999997,21.020000000000003,-1.7800000000000011,58.720000000000006,PositionState,upper,42621.0,42625.5,0.0,4.5,171.5,0.0,84.125,0
