start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_volume
2020-08-24 04:00:00,11676.5,11690.0,11662.0,11677.0,64.709,755606.993,2020-08-24 04:00:00,0.0001,4.2e-05,4949.192,59.24,11689.75,11598.63,11644.19,11735.31,11553.07,11780.87,11507.51,15.32,12.85,2.47,29.97,19.04,20.72,19.84,97.33914285714286,-3.09,-32.80999999999949,6.47,2.46,11661.16,11666.74,58.30999999999949,-123.93000000000029,-10.260000000000218,-15.840000000000146,-10.759999999999998,29.240000000000002,10.93,2.4700000000000006,182.23999999999978,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 05:00:00,11677.0,11680.0,11653.0,11655.0,99.13,1155360.15,2020-08-24 05:00:00,0.0001,0.000101,4987.116,53.58,11690.04,11600.4,11645.22,11734.86,11555.58,11779.68,11510.76,14.23,13.12,1.1,28.39,19.79,20.52,19.9,95.70707142857142,-1.63,-9.780000000000655,0.55,-2.41,11658.88,11662.04,79.86000000000058,-99.42000000000007,7.040000000000873,3.8799999999991996,-16.42,23.58,8.600000000000001,1.1100000000000012,179.28000000000065,None,None,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 06:00:00,11655.0,11770.5,11648.5,11754.0,351.115,4127005.71,2020-08-24 06:00:00,0.0001,0.000421,5065.91,68.27,11701.36,11609.8,11655.58,11747.14,11564.02,11792.92,11518.24,21.11,14.72,6.39,37.71,15.76,21.98,20.81,117.00814285714284,21.3,-98.42000000000007,3.38,11.77,11667.55,11698.82,-6.860000000000582,-189.97999999999956,-55.18000000000029,-86.45000000000073,-1.730000000000004,38.269999999999996,21.950000000000003,6.389999999999999,183.11999999999898,EntryPreparationState,upper,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,191.973
2020-08-24 07:00:00,11754.0,11784.5,11746.5,11763.0,337.857,3974211.891,2020-08-24 07:00:00,0.0001,0.000532,5021.392,69.22,11710.13,11621.49,11665.81,11754.44,11577.18,11798.76,11532.86,26.98,17.17,9.8,37.65,14.76,23.53,21.9,138.3112857142857,21.3,-97.19000000000051,6.42,10.26,11679.55,11724.49,-8.55999999999949,-185.8199999999997,-38.51000000000022,-83.45000000000073,-0.7800000000000011,39.22,22.89,9.809999999999999,177.26000000000022,PositionState,upper,11763.0,11694.0,0.0,-69.0,34.0,-69.0,-2.375,0,8.090000000000146,191.973
2020-08-29 01:00:00,11491.5,11497.0,11470.5,11475.5,48.574,557410.937,2020-08-29 01:00:00,0.0001,-5.3e-05,4896.99399999,53.89,11500.69,11423.35,11462.02,11539.36,11384.68,11578.03,11346.01,29.97,31.72,-1.75,24.97,12.34,26.49,22.17,147.28364285714287,-3.87,-13.479999999999563,-11.53,-2.73,11490.0,11488.1,63.86000000000058,-90.81999999999971,12.600000000000364,14.5,-16.11,23.89,12.629999999999999,-1.75,154.6800000000003,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 02:00:00,11475.5,11494.0,11469.0,11485.5,49.949,573689.2395,2020-08-29 02:00:00,0.0001,0.000624,4905.228,55.19,11502.11,11426.4,11464.26,11539.97,11388.54,11577.83,11350.68,28.16,31.01,-2.84,23.99,12.09,26.95,22.9,140.51092857142856,-6.77,-21.23999999999978,-6.91,-1.78,11490.83,11487.06,54.469999999999345,-96.95999999999913,1.5599999999994907,5.329999999999927,-14.810000000000002,25.189999999999998,11.899999999999999,-2.8500000000000014,151.42999999999847,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 03:00:00,11485.5,11510.0,11477.0,11500.0,43.775,503412.5,2020-08-29 03:00:00,0.0001,-4.7e-05,4897.214,57.09,11499.45,11435.87,11467.66,11531.24,11404.08,11563.04,11372.28,27.58,30.32,-2.74,25.28,11.45,27.71,23.46,123.07171428571428,-17.43,-32.340000000000146,-23.65,0.95,11492.72,11492.23,31.23999999999978,-95.92000000000007,-7.770000000000437,-7.280000000000655,-12.909999999999997,27.090000000000003,13.830000000000002,-2.740000000000002,127.15999999999985,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 04:00:00,11500.0,11504.0,11487.0,11503.5,56.795,653341.2825,2020-08-29 04:00:00,0.0001,0.000372,4919.384,57.56,11498.15,11443.99,11471.07,11525.24,11416.91,11552.32,11389.83,27.09,29.68,-2.58,24.56,11.13,28.42,24.49,107.65828571428571,-15.41,-32.43000000000029,-27.55,0.88,11492.77,11496.74,21.73999999999978,-86.59000000000015,-6.760000000000218,-10.729999999999563,-12.439999999999998,27.560000000000002,13.429999999999998,-2.59,108.32999999999993,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 05:00:00,11503.5,11511.0,11491.0,11510.5,106.546,1226397.733,2020-08-29 05:00:00,0.0001,0.0001,4921.85,58.53,11501.49,11448.16,11474.83,11528.16,11421.5,11554.82,11394.83,26.95,29.13,-2.17,24.93,10.74,29.23,25.61,93.87914285714285,-13.77,-35.67000000000007,-7.67,0.03,11495.27,11502.24,17.659999999999854,-89.0,-8.260000000000218,-15.229999999999563,-11.469999999999999,28.53,14.19,-2.1799999999999997,106.65999999999985,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
2020-08-29 06:00:00,11510.5,11521.5,11500.0,11518.0,129.123,1487238.714,2020-08-29 06:00:00,0.0001,-0.000364,4914.086,59.59,11504.03,11453.85,11478.94,11529.12,11428.76,11554.21,11403.67,27.14,28.73,-1.59,25.85,10.32,30.21,26.36,82.81014285714286,-11.06,-39.05999999999949,-3.37,1.71,11498.0,11508.54,11.1200000000008,-89.23999999999978,-9.459999999999127,-20.0,-10.409999999999997,29.590000000000003,15.530000000000001,-1.5899999999999999,100.36000000000058,None,None,11537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,105.372
