,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type
1730,2021-06-08 00:00:00,33570.5,34050.0,32304.0,32756.5,21290.564,697404359.666,2021-06-08 00:00:00,0.0001,-0.00156,7928.304,26.97,36778.18,34669.8,35723.99,37832.37,33615.61,38886.56,32561.42,-675.64,-394.54,-281.1,10.99,38.18,29.94,26.12,9024.5905,1158.01,2967.489999999998,1262.62,-6.16,35379.61,34101.16,5075.870000000003,859.1100000000006,1344.6600000000035,2623.1100000000006,-43.03,-3.030000000000001,-27.189999999999998,-281.09999999999997,4216.760000000002,PositionState,lower,32756.5,34879.5,0.0,-2123.0,1079.5,-2123.0,-404.5,0,101.83000000000175,None
1795,2021-06-18 20:00:00,35334.5,35933.0,35256.5,35822.0,8626.52,309019199.44,2021-06-18 20:00:00,0.0001,0.000441,10318.401,33.47,39172.7,36512.49,37842.6,40502.81,35182.39,41832.91,33852.28,-570.67,-128.64,-442.03,10.66,29.83,26.74,29.14,11980.661928571428,-474.57,2020.5999999999985,552.37,-0.41,37305.83,36236.01,4680.809999999998,-639.6100000000006,414.01000000000204,1483.8300000000017,-36.53,3.469999999999999,-19.169999999999998,-442.03,5320.419999999998,PositionState,lower,35822.0,33957.5,0.0,1864.5,4590.0,-275.5,1785.9807692307693,0,3301.709999999999,None
1840,2021-06-26 08:00:00,30680.0,31874.0,30101.0,31761.5,31310.092,994455487.058,2021-06-26 08:00:00,0.0001,-0.000737,13110.237,41.99,34021.22,31735.57,32878.4,35164.05,30592.74,36306.87,29449.92,-621.78,-410.6,-211.18,12.17,27.93,26.19,31.23,18372.956857142857,1172.16,1116.9000000000015,219.82,-3.27,32604.72,31670.41,3402.550000000003,-1168.7599999999984,-91.09000000000015,843.2200000000012,-28.009999999999998,11.990000000000002,-15.76,-211.17999999999995,4571.310000000001,PositionState,lower,31761.5,33104.0,0.0,-1342.5,241.0,-1342.5,-282.6,0,-687.1599999999999,None
1912,2021-07-08 08:00:00,32496.0,32699.0,32089.0,32661.5,16558.402,540822246.923,2021-07-08 08:00:00,0.0001,-0.000974,14100.014,36.18,34575.56,33305.46,33940.51,35210.61,32670.41,35845.65,32035.37,-283.84,-87.5,-196.34,14.28,30.03,16.83,16.1,13401.42185714286,600.55,1279.010000000002,237.97,-2.97,33934.83,33068.32,2549.1100000000006,8.909999999999854,406.8199999999997,1273.3300000000017,-33.82,6.18,-15.750000000000002,-196.33999999999997,2540.2000000000007,PositionState,lower,32661.5,33530.0,0.0,-868.5,0.0,-868.5,-268.125,0,-51.5199999999968,None
1939,2021-07-12 20:00:00,32846.5,33283.0,32700.0,33112.5,6854.365,226965161.0625,2021-07-12 20:00:00,-0.00031673,0.000625,15249.255,42.29,33975.57,33234.34,33604.96,34346.19,32863.72,34716.81,32493.11,-74.1,-3.55,-70.55,16.87,27.25,13.01,13.2,9227.783857142857,-29.93,492.4599999999991,-24.06,-2.02,33730.94,33267.42,1233.6900000000023,-248.77999999999884,154.91999999999825,618.4400000000023,-27.71,12.29,-10.379999999999999,-70.55,1482.4700000000012,PositionState,lower,33112.5,32140.0,0.0,972.5,1999.0,-45.0,975.4375,0,1449.8099999999977,None
1980,2021-07-19 16:00:00,30661.5,30834.0,30553.5,30740.5,5348.617,164419160.8885,2021-07-19 16:00:00,-3.985e-05,0.000595,16851.944,37.12,31893.62,31165.3,31529.46,32257.78,30801.14,32621.94,30436.98,-307.08,-256.5,-50.58,12.44,28.91,20.38,22.57,8921.607142857141,-591.91,788.9599999999991,172.9,-1.22,31376.27,30989.71,1517.2799999999988,60.63999999999942,249.20999999999913,635.7700000000004,-32.88,7.119999999999997,-16.47,-50.579999999999984,1456.6399999999994,PositionState,lower,30740.5,30791.0,0.0,-50.5,1141.0,-75.0,681.75,0,785.1800000000003,None
2156,2021-08-18 00:00:00,44726.0,45190.0,44300.0,45090.0,9757.849,439981411.41,2021-08-18 00:00:00,0.0001,0.000845,14182.116,42.14,46810.76,45332.99,46071.87,47549.64,44594.11,48288.53,43855.22,-197.67,45.8,-243.47,15.41,25.58,13.86,14.56,9488.177642857143,236.91,981.8700000000026,225.73,-1.65,45823.88,45297.99,2459.6399999999994,-495.8899999999994,207.98999999999796,733.8799999999974,-27.86,12.14,-10.169999999999998,-243.46999999999997,2955.529999999999,PositionState,lower,45090.0,45773.0,0.0,-683.0,990.0,-709.5,182.0,0,292.9599999999991,None
2234,2021-08-31 00:00:00,47027.0,47260.0,46680.0,47204.0,7794.288,367921570.752,2021-08-31 00:00:00,0.00085102,0.001532,15604.819,40.31,48645.69,47561.97,48103.83,49187.54,47020.12,49729.4,46478.26,-152.36,-11.91,-140.45,18.45,25.63,13.62,14.6,8328.539928571428,-36.98,899.8300000000017,412.79,-5.44,48048.0,47561.46,1983.5400000000009,-183.87999999999738,357.4599999999991,844.0,-29.689999999999998,10.310000000000002,-7.18,-140.45000000000002,2167.4199999999983,PositionState,lower,47204.0,48167.0,0.0,-963.0,124.5,-963.0,-298.1818181818182,0,-176.27000000000407,None
2280,2021-09-07 16:00:00,46678.5,47538.5,45956.0,46700.0,21103.852,985549888.4,2021-09-07 16:00:00,0.0001,0.000385,11204.034,27.4,51917.41,48716.16,50316.79,53518.04,47115.54,55118.66,45514.91,-93.85,452.66,-546.52,12.73,52.1,31.14,22.8,12802.540428571428,861.51,3616.790000000001,1365.32,-8.6,50754.05,48522.57,6818.040000000001,415.5400000000009,1822.5699999999997,4054.050000000003,-42.6,-2.6000000000000014,-39.370000000000005,-546.51,6402.5,PositionState,lower,46700.0,46048.5,0.0,651.5,1829.0,-285.0,750.1379310344828,0,2895.720000000001,None
2313,2021-09-13 04:00:00,44659.0,45016.5,44230.0,44554.0,9188.768,409396369.472,2021-09-13 04:00:00,0.0001,0.001408,14905.375,35.08,46247.34,45160.15,45703.74,46790.93,44616.56,47334.52,44072.96,-533.03,-590.9,57.87,11.01,29.1,42.84,44.8,6701.0075,-4.6,1149.739999999998,-21.69,-2.64,45439.44,45059.11,2236.9300000000003,62.55999999999767,505.1100000000006,885.4400000000023,-34.92,5.079999999999998,-18.090000000000003,57.870000000000005,2174.3700000000026,PositionState,lower,44554.0,45700.0,0.0,-1146.0,201.0,-1146.0,-356.7142857142857,0,-202.55999999999767,None
2355,2021-09-20 04:00:00,45599.5,45841.5,44333.0,44850.0,10221.315,458425977.75,2021-09-20 04:00:00,0.0001,0.000178,15527.869,28.79,48115.29,46356.13,47235.71,48994.87,45476.55,49874.46,44596.97,-258.37,107.46,-365.83,9.55,35.81,23.37,22.94,6488.605571428571,334.43,2385.709999999999,1275.11,-6.02,47160.22,45976.46,4144.870000000003,626.5500000000029,1126.4599999999991,2310.220000000001,-41.21,-1.2100000000000009,-26.26,-365.83,3518.3199999999997,PositionState,lower,44850.0,44056.0,0.0,794.0,4125.5,0.0,1796.9444444444443,0,2476.9300000000003,None
2381,2021-09-24 12:00:00,41533.0,42703.0,40874.0,41958.5,23757.447,996826839.9495,2021-09-24 12:00:00,-0.00029067,0.00011,15583.537,39.14,44778.83,42485.98,43632.41,45925.26,41339.56,47071.68,40193.13,-461.42,-479.6,18.18,9.69,31.29,42.05,47.55,12190.321857142857,1083.79,1673.9100000000035,16.59,-0.95,43736.0,42778.91,3966.760000000002,-618.9400000000023,820.4100000000035,1777.5,-30.86,9.14,-21.6,18.180000000000007,4585.700000000004,PositionState,lower,41958.5,43047.0,0.0,-1088.5,716.5,-1088.5,-458.0416666666667,0,378.75,None
2579,2021-10-27 12:00:00,58681.5,59479.0,58312.0,58876.0,6841.164,403788484.086,2021-10-27 12:00:00,0.00069396,0.001304,17196.623,33.82,62672.13,59785.51,61228.82,64115.44,58342.2,65558.74,56898.89,-621.53,-227.3,-394.22,13.89,32.22,20.81,21.55,6919.860857142858,190.93,2352.8199999999997,540.44,-0.73,60955.44,59505.1,5239.440000000002,-533.8000000000029,629.0999999999985,2079.4400000000023,-36.18,3.8200000000000003,-18.33,-394.22999999999996,5773.240000000005,PositionState,lower,58876.0,60968.5,0.0,-2092.5,394.5,-2092.5,-350.3333333333333,0,-276.6200000000026,None
2697,2021-11-16 04:00:00,60962.0,61573.5,60300.0,60881.0,8750.19,532903057.9885,2021-11-16 04:00:00,0.00025064,0.001525,19383.316,28.87,65245.34,62724.95,63985.14,66505.54,61464.75,67765.73,60204.56,-563.39,-170.43,-392.95,15.49,35.7,17.98,19.02,5699.822,508.15,3104.1399999999994,1345.12,-3.37,64093.22,62141.02,5624.539999999994,583.75,1260.0199999999968,3212.220000000001,-41.129999999999995,-1.129999999999999,-20.21,-392.96,5040.789999999994,PositionState,lower,60881.0,59474.0,0.0,1407.0,4970.5,0.0,1948.375,0,3494.739999999998,None
2737,2021-11-22 20:00:00,56001.5,56712.5,55614.0,56278.0,6690.068,375591673.1775,2021-11-22 20:00:00,0.00018017,0.000651,19394.762,37.55,59022.94,57061.16,58042.05,60003.83,56080.27,60984.72,55099.38,-702.65,-559.75,-142.9,18.21,23.66,22.01,27.02,5441.704214285714,160.39,1764.050000000003,410.03,-3.73,57741.11,56787.34,3725.8300000000017,-197.7300000000032,509.3399999999965,1463.1100000000006,-32.45,7.549999999999997,-5.449999999999999,-142.89999999999998,3923.560000000005,PositionState,lower,56278.0,57810.5,0.0,-1532.5,202.0,-1532.5,-415.5,0,-288.8900000000067,None
2759,2021-11-26 12:00:00,53767.5,54881.5,53563.0,54365.5,8833.268,479380847.2525,2021-11-26 12:00:00,0.00011217,0.000871,20125.019,34.31,58379.86,55761.03,57070.44,59689.27,54451.61,60998.69,53142.2,-482.37,-196.14,-286.22,15.97,34.26,17.73,16.2,6013.941285714286,428.77,2704.9400000000023,757.18,-3.28,57305.22,55475.75,5323.769999999997,86.11000000000058,1110.25,2939.720000000001,-35.69,4.310000000000002,-18.29,-286.23,5237.659999999996,PositionState,lower,54365.5,57299.0,0.0,-2933.5,565.0,-2933.5,-307.8666666666667,0,-157.0199999999968,None
2803,2021-12-03 20:00:00,53904.5,54082.0,51111.0,53626.5,19277.043,1022108673.679,2021-12-03 20:00:00,0.00031547,0.000461,20886.924,31.97,57313.92,55091.83,56202.87,58424.96,53980.78,59536.01,52869.74,-460.37,-100.24,-360.13,13.64,36.24,16.59,16.43,7524.577571428572,659.97,2576.3700000000026,1261.3,-15.04,55938.16,54723.46,4798.459999999999,354.27999999999884,1096.9599999999991,2311.6600000000035,-38.03,1.9699999999999989,-22.6,-360.13,4444.18,PositionState,lower,53626.5,50422.0,0.0,3204.5,7146.5,0.0,4463.973684210527,0,5220.199999999997,None
2839,2021-12-09 20:00:00,47609.0,48458.0,47315.5,47541.5,5691.668,272237959.3345,2021-12-09 20:00:00,0.0001,4e-06,13652.646,34.71,50709.16,48454.71,49581.93,51836.39,47327.48,52963.61,46200.26,-747.63,-555.39,-192.24,8.71,26.95,37.74,38.84,6375.738857142857,-229.11,2040.4300000000003,423.51,-0.45,49303.5,48145.72,4294.889999999999,-214.0199999999968,604.2200000000012,1762.0,-35.29,4.710000000000001,-18.24,-192.24,4508.909999999996,PositionState,lower,47541.5,48754.0,0.0,-1212.5,360.5,-1212.5,-532.7272727272727,0,-209.33000000000175,None
2862,2021-12-13 16:00:00,47250.5,47921.0,45502.0,46694.5,20819.035,974870935.562,2021-12-13 16:00:00,8.1e-06,-0.000293,14013.186,35.19,49570.73,47767.52,48669.13,50472.34,46865.92,51373.94,45964.32,-337.73,-179.1,-158.62,11.86,30.32,21.22,25.33,7095.101142857143,1092.02,1974.6299999999974,354.27,-8.73,48808.5,47662.5,3777.8399999999965,171.41999999999825,968.0,2114.0,-34.81,5.189999999999998,-18.46,-158.63000000000002,3606.4199999999983,PositionState,lower,46694.5,48356.0,0.0,-1661.5,42.0,-1661.5,-408.625,0,127.68000000000029,None
2903,2021-12-20 12:00:00,46100.5,46349.0,45479.5,45950.0,9723.366,446504776.757,2021-12-20 12:00:00,0.0001,-0.000183,15612.186,37.48,47306.86,46398.7,46852.78,47760.93,45944.63,48215.01,45490.55,-359.45,-300.37,-59.07,14.34,22.19,17.95,21.07,6174.798142857143,288.49,902.7799999999988,-5.04,-2.29,46718.0,46241.53,1810.9300000000003,-5.370000000002619,291.52999999999884,768.0,-32.52,7.479999999999997,-7.850000000000001,-59.079999999999984,1816.300000000003,PositionState,lower,45950.0,46882.0,0.0,-932.0,0.0,-932.0,-522.0,0,-338.38000000000466,None
2950,2021-12-28 08:00:00,49202.0,49409.5,48638.0,49203.5,6654.679,326926178.067,2021-12-28 08:00:00,0.0001,-1e-05,16815.978,39.69,50854.84,49616.8,50235.82,51473.86,48997.79,52092.88,48378.77,40.86,269.54,-228.68,19.76,29.39,24.74,28.8,6278.188928571428,-172.33,1032.3199999999997,277.27,-2.28,50448.66,49668.18,2270.3600000000006,-205.70999999999913,464.6800000000003,1245.1600000000035,-30.310000000000002,9.689999999999998,-9.629999999999999,-228.68,2476.0699999999997,PositionState,lower,49203.5,47971.5,0.0,1232.0,2753.5,0.0,1662.8947368421052,0,2163.040000000001,None
2971,2021-12-31 20:00:00,45692.0,46548.5,45660.0,46200.5,8247.759,380618666.3105,2021-12-31 20:00:00,0.0001,-0.000106,15522.278,37.62,48130.76,46885.71,47508.24,48753.28,46263.19,49375.81,45640.67,-649.22,-635.3,-13.92,14.42,30.03,30.46,30.46,7909.215499999999,-505.49,1307.739999999998,-408.05,-2.25,47108.72,46615.5,2552.779999999999,62.69000000000233,415.0,908.2200000000012,-32.38,7.619999999999997,-15.610000000000001,-13.920000000000073,2490.0899999999965,PositionState,lower,46200.5,47719.5,0.0,-1519.0,0.0,-1519.0,-830.9285714285714,0,-744.9300000000003,None
