start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason
2024-02-11 20:00:00,2506.49,2513.73,2492.01,2506.61,34383.91,86002778.39,2024-02-11 20:00:00,62.57,2515.75,2453.3,2484.53,2546.97,2422.08,2578.2,2390.85,5.02,31.66,35.66,-3.99,23.76,10.42,49.26,45.35,60172.62142857143,-14462.86,-22.079999999999927,-5.18,-3.22,2510.36,2509.97,40.35999999999967,-84.5300000000002,3.3599999999996726,3.75,-7.43,32.57,13.340000000000002,-3.9999999999999964,124.88999999999987,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-02-12 00:00:00,2506.61,2524.68,2491.25,2498.03,63966.35,160354511.3975,2024-02-12 00:00:00,59.24,2512.73,2458.89,2485.81,2539.65,2431.97,2566.58,2405.05,4.33,28.99,34.33,-5.34,24.5,9.56,48.87,46.17,55007.70785714286,-5164.91,-12.220000000000255,-16.34,0.23,2511.27,2505.19,41.61999999999989,-66.0600000000004,7.1599999999998545,13.239999999999782,-10.759999999999998,29.240000000000002,14.94,-5.34,107.68000000000029,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-02-12 04:00:00,2498.03,2504.02,2478.65,2500.87,61896.69,154313266.0,2024-02-12 04:00:00,60.0,2507.97,2466.52,2487.25,2528.69,2445.8,2549.42,2425.07,3.33,26.78,32.82,-6.03,22.96,12.08,47.6,46.52,54794.87928571428,-212.82,-13.61999999999989,-32.11,-3.32,2511.71,2503.46,27.820000000000164,-55.06999999999971,2.5900000000001455,10.840000000000146,-10.0,30.0,10.88,-6.039999999999999,82.88999999999987,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-02-12 08:00:00,2500.87,2504.83,2470.74,2487.16,68472.72,170080639.0466,2024-02-12 08:00:00,54.7,2504.78,2469.7,2487.24,2522.32,2452.16,2539.85,2434.62,2.82,23.66,30.99,-7.32,21.04,13.01,45.88,46.6,56643.06071428572,1848.18,0.07999999999992724,-23.68,-4.39,2510.34,2496.94,35.16000000000031,-35.0,9.7800000000002,23.18000000000029,-15.299999999999997,24.700000000000003,8.03,-7.329999999999998,70.16000000000031,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-02-12 12:00:00,2487.16,2563.96,2479.87,2558.15,173109.13,437041142.0645,2024-02-12 12:00:00,69.64,2512.51,2475.47,2493.99,2531.03,2456.95,2549.55,2438.43,2.97,26.6,30.11,-3.5,29.99,10.65,46.0,46.75,66064.155,9421.09,-64.16000000000031,-2.44,9.38,2513.54,2521.42,-27.11999999999989,-101.20000000000027,-36.73000000000002,-44.61000000000013,-0.35999999999999943,39.64,19.339999999999996,-3.509999999999998,74.08000000000038,0.0,IdleState,upper,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None
2024-02-12 16:00:00,2558.15,2640.0,2535.78,2610.97,304768.9,791071762.4738,2024-02-12 16:00:00,75.99,2534.79,2475.47,2505.13,2564.44,2445.82,2594.1,2416.16,4.73,32.82,30.65,2.17,38.37,8.57,47.25,47.46,83423.53,17359.37,-105.83999999999969,53.24,19.4,2522.88,2557.24,-46.529999999999745,-165.14999999999964,-53.73000000000002,-88.08999999999969,5.989999999999995,45.989999999999995,29.799999999999997,2.1700000000000017,118.61999999999989,0.0,EntryPreparationState,upper,2610.97,2756.78,0.0,164.2354370214909,1,0.0,LONG,296.4047074458919,-27.11873403371128,normal
2024-02-12 20:00:00,2610.97,2667.24,2610.96,2660.35,132533.0,350400964.5851,2024-02-12 20:00:00,80.17,2563.81,2476.01,2519.91,2607.71,2432.11,2651.62,2388.21,6.96,41.26,32.77,8.48,39.39,7.7,48.68,48.25,90169.93000000001,6746.4,-140.44000000000005,90.38,10.27,2537.35,2598.48,-52.63999999999987,-228.23999999999978,-61.86999999999989,-123.0,10.170000000000002,50.17,31.69,8.489999999999995,175.5999999999999,53.487000000000265,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,61.354132372260395,-3.3114899826498916,None
2024-02-13 00:00:00,2660.35,2688.6,2638.0,2642.84,122480.01,326347911.8908,2024-02-13 00:00:00,75.17,2582.44,2480.8,2531.62,2633.26,2429.98,2684.08,2379.15,8.02,46.0,35.42,10.58,39.64,7.01,50.2,49.3,96989.93357142857,6820.0,-111.22000000000025,70.95,1.96,2552.38,2616.22,-9.579999999999927,-212.86000000000013,-26.620000000000346,-90.46000000000004,5.170000000000002,45.17,32.63,10.579999999999998,203.2800000000002,33.35050000000065,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,85.89673531292983,27.75742310329151,None
2024-02-13 04:00:00,2642.84,2656.02,2640.04,2650.36,66617.44,176485742.8312,2024-02-13 04:00:00,75.87,2599.52,2486.34,2542.93,2656.11,2429.74,2712.7,2373.15,8.9,49.79,38.29,11.49,38.47,6.8,51.61,50.4,96746.31285714285,-243.62,-107.43000000000029,48.64,-0.71,2568.37,2629.88,5.75,-220.62000000000035,-20.480000000000018,-81.99000000000024,5.8700000000000045,45.870000000000005,31.669999999999998,11.5,226.37000000000035,41.998500000000334,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,48.46237183881904,30.10137956391709,None
2024-02-13 08:00:00,2650.36,2688.26,2648.24,2683.35,159778.51,426625128.2803,2024-02-13 08:00:00,78.69,2621.18,2491.42,2556.3,2686.07,2426.53,2750.95,2361.65,10.15,54.83,41.6,13.22,41.58,6.29,53.19,51.63,103777.15428571429,7030.84,-127.04999999999973,56.01,2.44,2588.0,2651.26,2.7200000000002547,-256.8199999999997,-32.08999999999969,-95.34999999999991,8.689999999999998,48.69,35.29,13.229999999999997,259.53999999999996,79.93700000000008,PositionState,upper,2610.97,2756.78,0.0,0.0,0,0.0,None,85.50607590282625,39.52316533702033,None
