,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,current_profit,exit_price,bb_profit,profit_max,profit_min,profit_mean,profit_ma
1278,1698570000.0,34265.0,34315.1,34185.0,34237.9,2485.334,85117944.9085,2023-10-29 09:00:00,0.0001,0.00065071,59001.612,59.43,34186.3,34041.91,34114.1,34258.5,33969.71,34330.69,33897.52,21.67,9.18,12.48,28.79,14.42,19.78,22.29,1258.9485000000002,125.56,-123.80000000000291,50.55,6.29,34094.2,34187.28,20.599999999998545,-268.1900000000023,-50.62000000000262,-143.70000000000437,-10.57,29.43,14.37,12.490000000000002,288.7900000000009,upper,PositionState,34237.9,,34346.2,108.29999999999563,482.09999999999854,-47.900000000001455,239.8705882352926,251.41999999999825
1354,1698843600.0,34824.9,35258.4,34409.8,34615.0,36697.679,1276414098.812,2023-11-01 13:00:00,0.0001193,0.00054915,58729.785,54.78,34609.32,34402.28,34505.8,34712.84,34298.76,34816.36,34195.24,37.54,20.09,17.44,32.02,8.87,14.52,14.16,5296.410285714286,2459.13,-109.19999999999709,88.86,20.24,34503.45,34604.89,97.83999999999651,-316.23999999999796,-10.110000000000582,-111.55000000000291,-15.219999999999999,24.78,23.150000000000006,17.45,414.07999999999447,upper,PositionState,34615.0,,34192.5,-422.5,-422.5,-422.5,-422.5,-164.95999999999913
1362,1698872400.0,35500.2,35749.8,35143.8,35422.9,23400.294,828217224.6526,2023-11-01 21:00:00,0.0001,0.00086819,57098.73,69.28,34985.58,34345.55,34665.56,35305.59,34025.53,35625.61,33705.52,150.93,52.59,98.34,39.92,7.86,27.46,18.83,11775.8275,1488.06,-757.3400000000038,620.67,11.39,34691.05,35124.25,-117.31000000000495,-1397.3700000000026,-298.65000000000146,-731.8499999999985,-0.7199999999999989,39.28,32.06,98.34,1280.0599999999977,upper,PositionState,35422.9,,34951.5,-471.40000000000146,289.40000000000146,-471.40000000000146,-32.431250000001,85.66999999999825
1436,1699138800.0,35169.3,35279.0,35020.0,35075.0,9597.835,337308234.6064,2023-11-04 23:00:00,0.0001,0.00032728,59325.942,64.9,34926.01,34691.19,34808.6,35043.42,34573.78,35160.84,34456.36,71.45,37.41,34.04,33.43,11.06,16.47,15.75,2620.0252142857144,539.61,-266.40000000000146,225.31,10.99,34837.56,34989.57,-31.580000000001746,-501.22000000000116,-85.43000000000029,-237.44000000000233,-5.099999999999994,34.900000000000006,22.369999999999997,34.040000000000006,469.6399999999994,upper,PositionState,35075.0,,34851.5,-223.5,222.09999999999854,-223.5,26.442857142857456,20.31999999999971
1504,1699383600.0,35408.9,35619.4,35353.6,35480.0,10186.483,361261483.5976,2023-11-07 19:00:00,0.00010434,0.0006557,59970.38,68.24,35169.71,34758.18,34963.95,35375.47,34552.42,35581.24,34346.66,35.15,-32.93,68.08,32.11,15.93,26.38,20.3,6698.745499999999,636.81,-516.0500000000029,291.73,19.61,34916.94,35216.78,-104.52999999999884,-927.5800000000017,-263.22000000000116,-563.0599999999977,-1.7600000000000051,38.239999999999995,16.18,68.08,823.0500000000029,upper,PositionState,35480.0,,35238.9,-241.09999999999854,172.0,-241.09999999999854,-111.32999999999993,102.56999999999971
1528,1699470000.0,35622.2,35821.4,35563.2,35650.9,10100.199,360428151.7259,2023-11-08 19:00:00,0.000157,0.00081085,61280.406,62.71,35476.0,35269.28,35372.64,35579.36,35165.92,35682.72,35062.56,92.99,78.93,14.06,28.64,13.82,18.41,20.75,4755.298642857143,561.47,-278.26000000000204,158.29,8.6,35424.62,35536.89,-71.54000000000087,-484.9800000000032,-114.01000000000204,-226.27999999999884,-7.289999999999999,32.71,14.82,14.059999999999988,413.4400000000023,upper,PositionState,35650.9,,36360.0,709.0999999999985,2277.2999999999956,-54.200000000004366,863.3523809523789,1371.449999999997
1569,1699617600.0,37107.2,37251.2,36823.6,37214.9,12253.247,453907303.319,2023-11-10 12:00:00,0.00045315,0.00080959,56048.999,62.45,36947.06,36537.39,36742.23,37151.89,36332.56,37356.73,36127.73,128.97,110.12,18.84,27.9,16.35,20.46,27.23,5213.8825,504.26,-472.66999999999825,138.13,7.1,36777.97,36992.58,-63.01000000000204,-882.3400000000038,-222.3199999999997,-436.9300000000003,-7.549999999999997,32.45,11.549999999999997,18.849999999999994,819.3300000000017,upper,PositionState,37214.9,,37086.0,-128.90000000000146,201.09999999999854,-215.0,20.18461538461326,235.0899999999965
1696,1700074800.0,37427.3,37835.9,37208.0,37532.9,21403.117,802621099.9074,2023-11-15 19:00:00,0.0001,0.00058334,56228.655,78.96,36898.85,35719.93,36309.39,37488.31,35130.47,38077.77,34541.01,267.46,65.15,202.3,43.81,12.33,36.83,46.13,10597.655857142856,1423.31,-1223.510000000002,808.5,18.17,36556.41,37092.47,-44.59000000000378,-2402.4300000000003,-440.4300000000003,-976.489999999998,8.959999999999994,48.959999999999994,31.480000000000004,202.30999999999997,2357.8399999999965,upper,PositionState,37532.9,,37158.4,-374.5,361.0,-374.5,-27.752941176471186,172.05999999999767
1765,1700323200.0,36675.6,36898.2,36651.2,36690.9,5828.183,214218248.0986,2023-11-18 16:00:00,0.0001,0.00032745,56253.441,60.37,36582.31,36377.75,36480.03,36684.6,36275.47,36786.88,36173.19,41.73,9.97,31.76,29.14,14.52,11.86,13.94,2224.020714285714,368.68,-210.87000000000262,99.83,10.07,36510.51,36610.74,-6.30000000000291,-415.4300000000003,-80.16000000000349,-180.38999999999942,-9.630000000000003,30.369999999999997,14.620000000000001,31.759999999999998,409.1299999999974,upper,PositionState,36690.9,,36531.2,-159.70000000000437,35.69999999999709,-159.70000000000437,-61.18333333333552,-27.57999999999447
1792,1700420400.0,36854.9,37010.1,36783.8,36964.8,4599.409,169704677.2035,2023-11-19 19:00:00,0.0001,0.00026262,55525.71,70.88,36743.38,36497.02,36620.2,36866.56,36373.84,36989.74,36250.66,58.78,23.89,34.89,34.43,15.52,14.69,13.12,2480.882857142857,276.05,-344.6000000000058,226.46,14.14,36615.36,36798.87,-98.24000000000524,-590.9600000000064,-165.9300000000003,-349.4400000000023,0.8799999999999955,40.879999999999995,18.91,34.89,492.72000000000116,upper,PositionState,36964.8,,37374.6,409.79999999999563,660.0999999999985,-37.60000000000582,361.3352941176443,628.2799999999988
