start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-11-04 00:00:00,14012.0,14030.0,13700.5,13888.5,3907.917,54275105.2545,2020-11-04 00:00:00,59.65,13812.73,13490.8,13651.76,13973.7,13329.83,14134.66,13168.86,4.71,70.17,46.19,23.97,28.42,17.42,20.62,25.32,2462.6424999999995,232.93,-236.73999999999978,96.24,5.2,13636.55,13824.07,85.20000000000073,-558.6700000000001,-64.43000000000029,-251.95000000000073,-10.350000000000001,29.65,11.0,23.980000000000004,643.8700000000008,0.0,EntryPreparationState,upper,13888.5,13591.0,0.0,-67.5617993303811,1,0.0,None,0.8041149152174509,-80.52216222054248,None,0
2020-11-04 00:00:00,14012.0,14030.0,13700.5,13888.5,3907.917,54275105.2545,2020-11-04 00:00:00,59.65,13812.73,13490.8,13651.76,13973.7,13329.83,14134.66,13168.86,4.71,70.17,46.19,23.97,28.42,17.42,20.62,25.32,2462.6424999999995,232.93,-236.73999999999978,96.24,5.2,13636.55,13824.07,85.20000000000073,-558.6700000000001,-64.43000000000029,-251.95000000000073,-10.350000000000001,29.65,11.0,23.980000000000004,643.8700000000008,0.0,EntryPreparationState,upper,13888.5,13591.0,0.0,-67.5617993303811,1,0.0,None,0.8041149152174509,-80.52216222054248,None,0
2020-11-04 20:00:00,14099.5,14234.0,13939.0,14130.0,2769.136,39127891.68,2020-11-04 20:00:00,63.11,13967.73,13540.28,13754.01,14181.46,13326.55,14395.18,13112.83,6.21,114.67,71.81,42.86,31.71,14.82,21.6,23.73,2661.7999285714286,-89.14,-375.9899999999998,181.96,5.7,13858.44,13999.16,51.45999999999913,-803.4500000000007,-130.84000000000015,-271.5599999999995,-6.890000000000001,33.11,16.89,42.86,854.9099999999999,0.0,EntryPreparationState,upper,14130.0,14649.5,0.0,106.99723991507445,1,0.0,None,388.6320594479832,-9.563269639065584,None,0
2020-11-09 12:00:00,15804.0,15805.5,14958.0,15011.0,9222.804,138443510.844,2020-11-09 12:00:00,48.7,15485.29,14913.14,15199.22,15771.37,14627.07,16057.44,14340.99,7.52,194.82,237.55,-42.73,24.66,17.62,26.57,35.85,3901.1156428571426,465.29,188.21999999999935,74.92,-1.87,15318.44,15324.51,760.3700000000008,-383.9300000000003,313.5100000000002,307.4400000000005,-21.299999999999997,18.700000000000003,7.039999999999999,-42.73000000000002,1144.300000000001,0.0,EntryPreparationState,upper,15011.0,15173.0,0.0,29.076257411231563,1,0.0,None,89.93163013789872,-40.47273999067356,None,0
2020-11-11 20:00:00,15814.0,15878.5,15588.0,15687.5,3089.401,48464978.1875,2020-11-11 20:00:00,59.57,15616.01,15215.49,15415.75,15816.28,15015.23,16016.54,14814.97,5.19,160.28,138.82,21.45,26.05,13.17,20.04,22.71,3273.919428571429,-438.1,-271.75,121.52,2.32,15483.22,15665.28,128.78000000000065,-672.2700000000004,-22.219999999999345,-204.28000000000065,-10.43,29.57,12.88,21.460000000000008,801.0500000000011,0.0,EntryPreparationState,upper,15687.5,15916.5,0.0,40.492828685258885,1,0.0,None,145.28964143426282,-48.04900398406362,None,0
2020-11-16 16:00:00,16428.0,16835.0,16420.5,16775.0,7933.136,133078356.4,2020-11-16 16:00:00,70.54,16338.41,15900.3,16119.36,16557.46,15681.25,16776.52,15462.2,5.43,154.95,109.41,45.53,31.27,12.73,18.28,21.62,2480.0810000000006,233.09,-655.6399999999994,307.12,10.15,16157.16,16461.04,-217.54000000000087,-1093.75,-313.9599999999991,-617.8400000000001,0.5400000000000063,40.540000000000006,18.54,45.53999999999999,876.2099999999991,0.0,EntryPreparationState,upper,16775.0,17928.0,0.0,202.8997019374071,1,0.0,None,391.3050670640834,-40.76646795827109,None,0
2020-11-24 12:00:00,19026.5,19391.5,18965.0,19319.5,5267.503,101765524.2085,2020-11-24 12:00:00,67.61,18805.46,18230.7,18518.08,19092.84,17943.31,19380.22,17655.93,6.2,203.51,176.62,26.89,29.35,20.18,20.07,27.67,5621.378357142858,167.76,-801.4199999999983,355.59,13.84,18582.66,18906.98,-226.65999999999985,-1376.1899999999987,-412.52000000000044,-736.8400000000001,-2.3900000000000006,37.61,9.170000000000002,26.889999999999986,1149.5299999999988,0.0,EntryPreparationState,upper,19319.5,18737.5,0.0,-93.67500970522023,1,0.0,None,29.54246486710299,-128.14795155154144,None,0
2020-12-13 08:00:00,19231.0,19374.0,19162.0,19322.0,3125.807,60396842.854,2020-12-13 08:00:00,67.11,18996.76,18143.73,18570.24,19423.28,17717.21,19849.79,17290.69,9.18,133.27,-22.36,155.63,30.06,15.54,29.91,34.19,2482.5167857142856,-170.16,-751.7599999999984,443.84,8.76,18712.72,19070.33,101.27999999999884,-1604.7900000000009,-251.66999999999825,-609.2799999999988,-2.8900000000000006,37.11,14.52,155.63,1706.0699999999997,0.0,EntryPreparationState,upper,19322.0,22667.0,0.0,516.0561743090777,1,0.0,None,776.4329468999069,-56.94351516406168,None,0
2020-12-25 12:00:00,24594.5,24654.5,23835.5,24064.5,5892.568,141801702.636,2020-12-25 12:00:00,58.24,23896.26,23140.24,23518.25,24274.28,22762.22,24652.29,22384.21,6.42,243.86,173.23,70.62,26.58,14.25,18.04,22.39,4422.211714285714,230.74,-546.25,232.84,8.49,23605.77,24001.42,209.77999999999884,-1302.2799999999988,-63.080000000001746,-458.72999999999956,-11.759999999999998,28.240000000000002,12.329999999999998,70.63000000000002,1512.0599999999977,0.0,EntryPreparationState,upper,24064.5,30675.0,0.0,820.7977373309234,1,0.0,None,1337.5340086018825,-10.218905441625612,None,0
2021-01-07 00:00:00,36775.5,37739.5,36490.0,37537.0,4718.314,177111352.618,2021-01-07 00:00:00,75.18,35698.16,31951.96,33825.06,37571.26,30078.86,39444.36,28205.76,22.15,1404.24,1049.96,354.27,31.74,14.16,24.46,26.99,5988.1441428571425,-439.68,-3711.9400000000023,1901.0,5.01,35058.44,36321.76,34.26000000000204,-7458.139999999999,-1215.239999999998,-2478.5599999999977,5.180000000000007,45.18000000000001,17.58,354.28,7492.4000000000015,0.0,EntryPreparationState,upper,37537.0,39233.0,0.0,132.2462610224581,1,0.0,None,361.38018222020963,-102.08253456589482,None,0
