start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2020-04-27 21:30:00,7731.0,7754.5,7722.5,7722.5,211.088,1630127.08,2020-04-27 21:30:00,59.6,7713.91,7672.36,7693.14,7734.68,7651.59,7755.46,7630.81,7.5,2.42,5.08,29.18,19.38,17.11,16.66,87.23157142857143,2.77,-29.359999999999673,12.81,11.49,7697.83,7714.07,12.180000000000291,-70.90999999999985,-8.430000000000291,-24.670000000000073,-10.399999999999999,29.6,9.8,5.08,83.09000000000015,0.0,EntryPreparationState,upper,7722.5,7714.0,0.0,-8.5,0,0.0,None,0
2020-04-28 23:30:00,7758.0,7762.0,7743.0,7743.0,89.581,693625.683,2020-04-28 23:30:00,55.49,7743.51,7715.57,7729.54,7757.47,7701.61,7771.44,7687.64,6.23,3.95,2.27,23.11,17.58,16.85,16.85,48.274357142857134,0.14,-13.460000000000036,8.82,0.71,7731.16,7743.02,14.470000000000255,-41.39000000000033,0.020000000000436557,-11.840000000000146,-14.509999999999998,25.490000000000002,5.530000000000001,2.2800000000000002,55.86000000000058,0.0,EntryPreparationState,upper,7743.0,8926.0,0.0,1183.0,0,0.0,None,0
2020-05-01 11:30:00,8947.0,9060.5,8915.5,8994.0,1283.616,11544842.304,2020-05-01 11:30:00,68.57,8897.89,8736.79,8817.34,8978.45,8656.24,9059.0,8575.69,43.93,18.03,25.89,35.04,14.6,21.83,26.47,291.78864285714286,73.27,-176.65999999999985,79.09,12.78,8845.33,8930.52,-15.549999999999272,-337.7600000000002,-63.47999999999956,-148.67000000000007,-1.4300000000000068,38.56999999999999,20.439999999999998,25.9,322.21000000000095,0.0,EntryPreparationState,upper,8994.0,8828.0,0.0,-166.0,0,0.0,None,0
2020-05-02 11:30:00,8875.5,8879.0,8841.0,8841.0,162.971,1440826.611,2020-05-02 11:30:00,54.19,8839.9,8801.42,8820.66,8859.14,8782.18,8878.39,8762.93,9.6,6.25,3.35,24.19,15.68,9.12,8.88,188.5062142857143,0.65,-20.340000000000146,13.02,4.62,8820.16,8841.83,18.139999999999418,-58.81999999999971,0.8299999999999272,-20.840000000000146,-15.810000000000002,24.189999999999998,8.510000000000002,3.3499999999999996,76.95999999999913,0.0,EntryPreparationState,upper,8841.0,8862.0,0.0,21.0,0,0.0,None,0
2020-05-03 01:00:00,9126.5,9191.0,9126.5,9164.0,350.537,3212321.068,2020-05-03 01:00:00,76.18,9040.58,8883.57,8962.07,9119.09,8805.06,9197.6,8726.55,51.95,29.44,22.51,42.82,11.88,24.17,27.17,244.2375,-89.61,-201.9300000000003,124.84,18.46,8988.66,9085.18,-44.909999999999854,-358.9400000000005,-78.81999999999971,-175.34000000000015,6.180000000000007,46.18000000000001,30.939999999999998,22.51,314.03000000000065,0.0,EntryPreparationState,upper,9164.0,8966.5,0.0,-197.5,0,0.0,None,0
2020-05-04 14:00:00,8830.0,8859.0,8798.0,8805.0,550.345,4845787.725,2020-05-04 14:00:00,59.38,8779.55,8654.47,8717.01,8842.09,8591.93,8904.64,8529.39,1.79,-25.22,27.02,26.84,17.99,26.54,31.29,293.671,17.38,-87.98999999999978,65.78,6.46,8718.22,8779.89,37.090000000000146,-213.0699999999997,-25.110000000000582,-86.78000000000065,-10.619999999999997,29.380000000000003,8.850000000000001,27.009999999999998,250.15999999999985,0.0,EntryPreparationState,upper,8805.0,8854.5,0.0,49.5,0,0.0,None,0
2020-05-05 04:30:00,8925.0,9078.0,8913.5,9044.5,1252.904,11331890.228,2020-05-05 04:30:00,71.79,8925.19,8834.14,8879.66,8970.71,8788.61,9016.24,8743.09,32.47,26.13,6.34,37.15,13.16,16.03,19.43,304.691,70.54,-164.84000000000015,73.69,21.44,8891.83,8948.1,-73.79000000000087,-255.88999999999942,-96.39999999999964,-152.67000000000007,1.7900000000000063,41.790000000000006,23.99,6.34,182.09999999999854,0.0,EntryPreparationState,upper,9044.5,8849.0,0.0,-195.5,0,0.0,None,0
2020-05-05 21:30:00,8989.0,8990.5,8958.0,8960.5,257.065,2303430.9325,2020-05-05 21:30:00,57.27,8949.79,8875.0,8912.4,8987.18,8837.61,9024.57,8800.22,10.43,-1.1,11.54,27.64,14.96,17.24,18.45,209.7665,-8.53,-48.100000000000364,35.07,3.3,8915.11,8951.67,26.68000000000029,-122.88999999999942,-8.829999999999927,-45.38999999999942,-12.729999999999997,27.270000000000003,12.68,11.53,149.5699999999997,0.0,EntryPreparationState,upper,8960.5,9149.5,0.0,189.0,0,0.0,None,0
2020-05-07 13:00:00,9373.0,9595.5,9325.5,9445.5,5103.178,48202067.799,2020-05-07 13:00:00,70.02,9349.28,9265.93,9307.6,9390.95,9224.25,9432.63,9182.58,28.06,18.9,9.15,42.65,12.51,14.57,16.75,531.5343571428572,360.21,-137.89999999999964,82.69,30.05,9319.94,9371.81,-54.54999999999927,-221.25,-73.69000000000051,-125.55999999999949,0.01999999999999602,40.019999999999996,30.14,9.16,166.70000000000073,0.0,EntryPreparationState,upper,9445.5,9867.0,0.0,421.5,0,0.0,None,0
2020-05-11 10:00:00,8483.5,8699.5,8483.5,8668.5,1411.233,12233273.2605,2020-05-11 10:00:00,50.52,8712.47,8585.89,8649.18,8775.76,8522.6,8839.04,8459.31,-26.87,-17.32,-9.55,16.07,25.31,35.92,34.7,405.12692857142855,92.71,-19.31999999999971,-2.65,11.69,8632.66,8604.96,107.26000000000022,-145.89999999999964,-63.54000000000087,-35.840000000000146,-19.479999999999997,20.520000000000003,-9.239999999999998,-9.55,253.15999999999985,0.0,EntryPreparationState,lower,8668.5,8801.5,0.0,133.0,0,0.0,None,0
