,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
20,225,357,1642251600000.0,42696.5,42951.0,42661.5,42909.5,2154.395,92278604.688,2022-01-15 13:00:00,6.753e-05,18459.347,48.56,43078.06,42842.32,42960.19,43195.93,42724.45,43313.8,42606.58,8.16,32.46,-24.3,21.96,24.2,19.29,23.52,1317.526642857143,69.76,50.69000000000233,16.56,-2.94,42990.61,42886.89,286.4300000000003,-185.0500000000029,-22.610000000000586,81.11000000000058,-21.44,18.56,-2.2399999999999984,-24.3,PositionState,lower,43313.0,43154.0,0.0,-244.5,0.0,-244.5,-122.25,0,2621.586
21,226,358,1642255200000.0,42909.5,43294.5,42768.5,43154.0,3540.686,152442277.3385,2022-01-15 14:00:00,6.753e-05,18601.055,55.4,43099.36,42857.93,42978.65,43220.08,42737.21,43340.8,42616.5,22.73,30.51,-7.78,27.55,21.08,18.86,22.98,1487.534142857143,170.0,-175.34999999999854,3.73,6.92,43007.11,43020.44,66.08000000000175,-416.7900000000009,-133.55999999999767,-146.88999999999942,-14.6,25.4,6.470000000000002,-7.780000000000001,IdleState,lower,43313.0,43154.0,-244.5,0.0,0.0,0.0,0.0,0,2621.586
22,227,359,1642258800000.0,43154.0,43394.5,43067.0,43363.5,2198.575,95042563.603,2022-01-15 15:00:00,6.753e-05,18422.304,60.28,43155.13,42875.47,43015.3,43294.96,42735.64,43434.79,42595.8,50.59,34.53,16.05,27.79,19.4,18.79,22.64,1580.001285714286,92.46,-348.1999999999971,100.59,7.5,43038.88,43191.97,-68.54000000000087,-627.8600000000006,-171.52999999999884,-324.6200000000026,-9.72,30.28,8.39,16.060000000000002,EnterPreparationState,upper,43313.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2621.586
23,228,360,1642262400000.0,43363.5,43391.5,43205.0,43313.0,1602.215,69370581.892,2022-01-15 16:00:00,0.0001,18407.121,58.61,43194.33,42892.97,43043.65,43345.01,42742.29,43495.69,42591.61,67.82,41.19,26.62,26.49,18.49,18.71,22.37,1642.6024285714288,62.6,-269.34999999999854,118.27,-0.15,43065.05,43252.48,32.01000000000204,-570.7099999999991,-60.5199999999968,-247.9499999999971,-11.39,28.61,8.0,26.629999999999995,PositionState,upper,43313.0,43083.0,0.0,-230.0,162.0,-230.0,3.1875,0,2621.586
24,339,471,1642662000000.0,42009.0,42125.0,41943.0,42049.5,1239.562,52097967.5295,2022-01-20 07:00:00,0.0001,20198.019,53.58,42095.75,41727.81,41911.78,42279.72,41543.84,42463.68,41359.88,9.61,-11.25,20.87,23.83,17.81,11.96,15.84,1253.8256428571433,-164.22,-137.72000000000116,-34.04,3.74,41890.88,42000.49,230.2200000000012,-505.6600000000035,-49.01000000000204,-158.62000000000262,-16.42,23.58,6.02,20.86,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
25,340,472,1642665600000.0,42049.5,42065.0,41891.0,41976.5,1210.26,50775172.7075,2022-01-20 08:00:00,0.0001,20272.854,51.57,42099.97,41735.92,41917.94,42281.99,41553.89,42464.02,41371.87,13.14,-6.37,19.52,22.7,18.38,11.86,15.22,1215.1381428571433,-38.68,-58.55999999999767,8.07,-0.51,41923.44,41988.49,305.489999999998,-422.6100000000006,11.989999999997965,-53.05999999999767,-18.43,21.57,4.32,19.51,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
26,341,473,1642669200000.0,41976.5,42079.0,41830.5,42048.5,1560.358,65460953.5775,2022-01-20 09:00:00,0.0001,20294.3,53.43,42106.0,41754.76,41930.38,42281.62,41579.14,42457.24,41403.51,21.49,-0.8,22.3,21.15,18.78,11.43,14.49,1219.0098571428573,3.87,-118.12000000000262,-23.34,-3.08,41948.0,42018.49,233.12000000000265,-469.3600000000006,-30.01000000000204,-100.5,-16.57,23.43,2.369999999999997,22.29,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
27,342,474,1642672800000.0,42048.5,42130.5,42011.0,42079.5,1543.956,64963046.096,2022-01-20 10:00:00,0.0001,20305.821,54.24,42077.2,41811.96,41944.58,42209.82,41679.34,42342.44,41546.72,30.27,5.41,24.85,21.9,18.15,11.29,13.93,1201.6462142857144,-17.36,-134.91999999999825,-172.36,-0.16,41984.11,42048.99,130.3199999999997,-400.1600000000035,-30.51000000000204,-95.38999999999942,-15.759999999999998,24.24,3.75,24.86,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
28,343,475,1642676400000.0,42079.5,42199.0,42048.5,42128.0,1480.54,62365870.2045,2022-01-20 11:00:00,0.0001,20316.507,55.54,42101.55,41822.55,41962.05,42241.04,41683.05,42380.54,41543.55,40.66,12.46,28.2,22.94,17.34,11.47,13.56,1199.0796428571432,-2.56,-165.9499999999971,-44.29,2.6,42001.72,42088.49,113.04000000000087,-444.9499999999971,-39.51000000000204,-126.27999999999884,-14.46,25.54,5.600000000000001,28.2,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
29,344,476,1642680000000.0,42128.0,42128.0,41946.5,42041.0,1695.66,71212510.5125,2022-01-20 12:00:00,0.0001,20435.77899999,52.64,42111.15,41827.98,41969.57,42252.74,41686.4,42394.32,41544.81,41.41,18.25,23.15,21.7,19.45,11.04,12.9,1246.2072142857146,47.12,-71.43000000000029,39.56,-2.3,42012.44,42064.74,211.739999999998,-354.59999999999854,23.739999999997963,-28.55999999999767,-17.36,22.64,2.25,23.16,,,42940.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8235.851
