,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
21,103,235,1672923600000.0,16815.5,16823.5,16794.5,16803.5,1148.076,19296518.5485,2023-01-05 13:00:00,3.569e-05,-0.000468,70992.231,45.53,16827.66,16802.69,16815.17,16840.14,16790.21,16852.62,16777.73,-3.89,-4.46,0.57,19.61,27.4,13.37,12.36,791.2573571428572,60.63,-1.23,0.27,-6.71,16811.94,16809.73,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,104,236,1672925400000.0,16803.5,16813.0,16770.0,16771.0,3805.216,63871924.2715,2023-01-05 13:30:00,3.569e-05,-0.000474,71037.613,37.43,16826.6,16795.33,16810.97,16842.24,16779.7,16857.87,16764.06,-6.93,-4.96,-1.97,17.07,31.23,14.51,13.3,1014.9358571428572,223.67,-4.19,11.86,-8.39,16808.88,16790.36,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,105,237,1672927200000.0,16771.0,16812.5,16747.0,16803.5,3499.784,58713170.2905,2023-01-05 14:00:00,3.569e-05,-0.000381,71747.33199999,47.49,16825.68,16794.83,16810.26,16841.1,16779.41,16856.52,16763.99,-6.65,-5.3,-1.35,14.07,31.91,16.24,14.41,1185.5190714285714,170.58,-0.71,1.25,-6.21,16808.94,16796.93,PositionState,lower,16803.5,16823.5,0.0,-20.0,0.0,-20.0,-10.0,-13.279999999998836
24,127,259,1672966800000.0,16851.0,16857.5,16843.5,16844.0,629.519,10607706.769,2023-01-06 01:00:00,-3.394e-05,-0.000398,72079.803,54.33,16845.0,16820.21,16832.6,16857.4,16807.81,16869.79,16795.42,4.78,4.28,0.49,21.55,19.05,10.94,12.24,658.0669285714287,-63.51,1.18,3.09,7.25,16835.16,16841.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,128,260,1672968600000.0,16844.0,16846.5,16815.0,16820.5,879.27,14801873.7365,2023-01-06 01:30:00,-3.394e-05,-0.000343,72093.211,47.15,16844.07,16818.83,16831.45,16856.69,16806.21,16869.31,16793.59,3.22,4.07,-0.85,19.5,25.84,11.16,12.1,667.6255,9.55,-1.14,2.09,-9.8,16833.83,16831.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,129,261,1672970400000.0,16820.5,16829.0,16797.0,16821.0,1491.2,25069538.1745,2023-01-06 02:00:00,-3.394e-05,-0.000514,71691.533,47.31,16843.29,16817.62,16830.46,16856.12,16804.79,16868.96,16791.95,2.0,3.66,-1.65,17.67,28.7,12.06,12.38,743.6609285714286,76.03,-0.99,0.13,-6.73,16831.55,16826.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,130,262,1672972200000.0,16821.0,16827.5,16815.0,16827.0,366.431,6163304.955,2023-01-06 02:30:00,-3.394e-05,-0.00054,71602.513,49.29,16842.97,16817.28,16830.13,16855.81,16804.44,16868.66,16791.59,1.5,3.22,-1.72,16.99,27.6,12.9,12.64,687.2630714285715,-56.39,-0.32,-0.52,-1.41,16829.61,16826.55,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,131,263,1672974000000.0,16827.0,16831.0,16821.0,16830.5,329.728,5547761.351,2023-01-06 03:00:00,-3.394e-05,-0.000518,71678.189,50.46,16842.66,16817.66,16830.16,16855.16,16805.17,16867.65,16792.67,1.37,2.85,-1.48,17.56,26.73,13.45,12.77,658.6152857142857,-28.64,0.02,-1.68,0.75,16830.16,16828.52,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,132,264,1672975800000.0,16830.5,16831.0,16824.0,16824.0,231.483,3895677.6585,2023-01-06 03:30:00,-3.394e-05,-0.000489,71620.42999999,48.24,16840.14,16819.01,16829.57,16850.71,16808.44,16861.28,16797.87,0.73,2.43,-1.69,17.15,26.1,13.97,12.67,618.8710714285714,-39.74,-0.59,-8.37,0.78,16830.5,16826.26,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,133,265,1672977600000.0,16824.0,16825.0,16800.0,16800.5,707.672,11896776.964,2023-01-06 04:00:00,-3.394e-05,-0.000647,71589.31299999,41.17,16839.61,16814.0,16826.8,16852.42,16801.19,16865.23,16788.38,-1.64,1.61,-3.26,15.74,31.87,15.39,13.13,612.8476428571429,-6.02,-2.77,4.5,-7.59,16827.66,16813.38,EnterPreparationState,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
