start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2020-05-09 16:00:00,9694.5,9795.0,9675.5,9746.0,1736.145,16920469.17,2020-05-09 16:00:00,59.18,9885.72,9332.28,9609.0,10162.45,9055.56,10439.17,8778.84,183.18,221.02,-37.83,22.5,15.74,33.85,33.06,4443.833928571429,14.55,-137.0,-73.36,1.84,9792.61,9721.2,416.4500000000007,-690.4400000000005,-24.799999999999272,46.61000000000058,-10.82,29.18,6.76,-37.84,1106.8900000000012,PositionState,upper,8811.0,9546.0,471.5,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-09 20:00:00,9746.0,9771.0,9527.5,9546.0,3054.307,29156414.622,2020-05-09 20:00:00,51.13,9867.88,9338.13,9603.0,10132.76,9073.25,10397.64,8808.37,156.58,208.13,-51.55,20.57,19.61,31.6,32.9,3999.650142857143,-444.18,57.0,-47.61,-4.08,9753.66,9651.12,586.7600000000002,-472.75,105.1200000000008,207.65999999999985,-18.869999999999997,21.130000000000003,0.9600000000000009,-51.54999999999998,1059.5100000000002,None,upper,8811.0,9546.0,271.5,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-10 00:00:00,9546.0,9569.0,8153.0,8624.0,61791.929,532893595.696,2020-05-10 00:00:00,30.53,9847.1,9172.43,9509.76,10184.44,8835.09,10521.77,8497.76,60.4,178.58,-118.18,13.37,46.7,33.31,34.76,7514.485,3514.83,885.7600000000002,260.14,-36.22,9607.55,9240.27,1560.4400000000005,211.09000000000015,616.2700000000004,983.5499999999993,-39.47,0.5300000000000011,-33.330000000000005,-118.18,1349.3500000000004,EntryPreparationState,lower,8811.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,6510.472
2020-05-10 04:00:00,8624.0,8829.5,8473.0,8811.0,5773.414,50869550.754,2020-05-10 04:00:00,36.15,9810.97,9075.46,9443.21,10178.72,8707.71,10546.48,8339.95,-0.71,142.72,-143.44,12.21,42.65,34.89,36.48,7461.486285714285,-52.99,632.2099999999991,173.34,-4.3,9481.33,9068.56,1367.7199999999993,-103.29000000000087,257.5599999999995,670.3299999999999,-33.85,6.149999999999999,-30.439999999999998,-143.43,1471.0100000000002,PositionState,lower,8811.0,8908.0,0.0,-97.0,305.0,-109.5,65.0,0,227.34000000000015,None,6510.472
2020-05-19 12:00:00,9748.0,9756.5,9552.0,9684.5,3393.438,32863750.311,2020-05-19 12:00:00,54.46,9764.04,9461.9,9612.97,9915.11,9310.83,10066.18,9159.76,76.93,91.57,-14.63,25.12,19.2,14.53,14.59,2651.133142857143,157.46,-71.53000000000065,-14.69,6.02,9670.22,9672.77,230.61000000000058,-373.6700000000001,-11.729999999999563,-14.280000000000655,-15.54,24.46,5.920000000000002,-14.639999999999986,604.2800000000007,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-19 16:00:00,9684.5,9724.5,9617.5,9641.5,1126.15,10857775.225,2020-05-19 16:00:00,52.67,9759.62,9471.76,9615.69,9903.55,9327.82,10047.48,9183.89,70.22,87.3,-17.08,24.19,18.49,14.44,15.13,2659.3455,8.21,-25.80999999999949,-34.57,-2.04,9655.05,9660.26,262.0499999999993,-313.6800000000003,18.76000000000022,13.549999999999272,-17.33,22.67,5.700000000000003,-17.08,575.7299999999996,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-19 20:00:00,9641.5,9786.5,9621.5,9770.0,1005.517,9823901.09,2020-05-19 20:00:00,57.2,9766.55,9494.21,9630.38,9902.72,9358.04,10038.9,9221.87,74.41,84.72,-10.31,24.96,17.42,14.68,15.79,2416.3656428571426,-242.97,-139.6200000000008,-42.61,0.9,9670.72,9704.15,132.71999999999935,-411.9599999999991,-65.85000000000036,-99.28000000000065,-12.799999999999997,27.200000000000003,7.539999999999999,-10.310000000000002,544.6799999999985,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-20 00:00:00,9770.0,9800.0,9707.5,9721.5,778.961,7572669.3615,2020-05-20 00:00:00,55.06,9755.61,9522.51,9639.06,9872.16,9405.96,9988.71,9289.41,72.98,82.37,-9.39,24.61,16.84,14.97,16.07,2379.4209285714287,-36.94,-82.44000000000051,-79.3,1.0,9676.72,9711.09,150.65999999999985,-315.5400000000009,-10.409999999999854,-44.780000000000655,-14.939999999999998,25.060000000000002,7.77,-9.39,466.2000000000007,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-20 04:00:00,9721.5,9848.5,9650.0,9761.0,1959.574,19127401.814,2020-05-20 04:00:00,56.48,9749.45,9551.9,9650.67,9848.22,9453.12,9947.0,9354.35,74.17,80.73,-6.55,22.84,17.71,14.81,16.45,2371.8345714285715,-7.58,-110.32999999999993,-101.66,-2.99,9683.72,9731.05,87.21999999999935,-307.8799999999992,-29.950000000000728,-77.28000000000065,-13.520000000000003,26.479999999999997,5.129999999999999,-6.560000000000002,395.09999999999854,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-20 08:00:00,9761.0,9805.0,9710.0,9727.0,1271.516,12368036.132,2020-05-20 08:00:00,54.87,9751.52,9564.37,9657.94,9845.09,9470.79,9938.66,9377.22,71.55,78.9,-7.34,22.02,17.08,14.65,16.81,2201.966428571429,-169.86,-69.05999999999949,-44.73,-1.95,9683.55,9729.43,118.09000000000015,-256.2099999999991,2.430000000000291,-43.45000000000073,-15.130000000000003,24.869999999999997,4.940000000000001,-7.3500000000000085,374.2999999999993,None,None,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
2020-05-20 12:00:00,9727.0,9797.0,9323.5,9414.0,6737.386,63425751.804,2020-05-20 12:00:00,42.75,9741.65,9527.77,9634.71,9848.59,9420.83,9955.52,9313.89,43.72,71.86,-28.14,18.46,27.51,15.01,16.59,2510.0239285714283,308.05,220.70999999999913,50.33,-14.81,9670.72,9603.26,434.59000000000015,6.829999999999927,189.26000000000022,256.71999999999935,-27.25,12.75,-9.05,-28.14,427.7600000000002,EntryPreparationState,lower,9532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,1820.081
