,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
9727,9859,1676458800000.0,22222.0,22490.7,22213.1,22427.3,17523.733,392197407.2875,2023-02-15 11:00:00,5.8e-07,-0.000686,52489.939,71.69,22205.9,22023.42,22114.66,22297.14,21932.18,22388.38,21840.95,91.1,82.47,8.63,34.02,10.66,21.86,21.95,3486.220000000001,837.26,32.9,109.29,14.49,22154.16,22300.67,PositionState,upper,22427.3,24003.8,0.0,1576.5,2673.2000000000007,0.0,1712.9500000000007,2022.1600000000035
9806,9938,1676743200000.0,24691.7,24886.6,24641.6,24714.7,8774.41,217300084.8003,2023-02-18 18:00:00,0.0001,0.0,45721.035,59.62,24637.69,24508.68,24573.18,24702.19,24444.17,24766.69,24379.67,101.49,107.99,-6.49,23.9,16.52,13.2,18.35,3729.5059285714296,504.81,14.88,13.65,5.39,24625.32,24693.8,PositionState,upper,24714.7,24633.2,0.0,-81.5,48.20000000000073,-116.29999999999927,-42.73846153846198,-11.680000000000291
9999,10131,1677438000000.0,23477.1,23544.0,23352.7,23492.5,8053.617,188897385.0814,2023-02-26 19:00:00,0.0001,-0.000434,52179.879,67.01,23334.17,23131.69,23232.93,23435.4,23030.46,23536.64,22929.22,58.28,25.24,33.04,32.19,15.17,19.75,25.36,4330.705500000001,478.84,27.31,174.11,12.3,23268.87,23420.08,PositionState,upper,23492.5,23384.7,0.0,-107.79999999999927,141.09999999999854,-107.79999999999927,23.336363636363373,27.87999999999738
10018,10150,1677506400000.0,23700.0,23850.1,23674.7,23795.0,12833.443,304892334.4991,2023-02-27 14:00:00,0.0001,-0.000351,52952.515,70.24,23575.94,23351.93,23463.94,23687.95,23239.92,23799.96,23127.91,74.9,56.6,18.3,35.19,15.03,16.89,19.15,4705.402857142858,661.69,34.84,121.68,16.63,23472.94,23672.86,PositionState,upper,23795.0,23387.9,0.0,-407.09999999999854,0.0,-407.09999999999854,-217.3666666666662,-173.20000000000073
10334,10466,1678644000000.0,20776.5,21348.6,20680.0,21073.2,39258.516,825657652.5944998,2023-03-12 18:00:00,9.121e-05,-0.000565,52793.425,80.37,20625.08,20277.72,20451.4,20798.76,20104.03,20972.44,19930.35,110.6,58.31,52.28,46.36,11.68,19.55,20.25,7550.6278571428575,2701.09,65.45,474.26,30.6,20501.21,20822.97,PositionState,upper,21073.2,24576.4,0.0,3503.2000000000007,4848.5999999999985,-306.2999999999993,2500.9823529411756,4073.5200000000004
10438,10570,1679018400000.0,25654.5,25888.0,25477.3,25569.5,22353.172,574884800.4346,2023-03-17 02:00:00,0.0001,-0.000422,49284.482,68.06,25196.97,24658.82,24927.9,25466.05,24389.75,25735.12,24120.67,195.15,118.95,76.2,36.72,10.49,24.67,20.48,10738.789142857144,540.24,67.54,382.81,13.43,25047.68,25430.16,PositionState,upper,25569.5,27184.2,0.0,1614.7000000000007,2042.2999999999993,0.0,1334.275,1818.9700000000012
10500,10632,1679241600000.0,27546.0,28188.9,27466.7,27913.5,33331.565,928764012.2717,2023-03-19 16:00:00,0.0001,-0.000163,53288.84,73.4,27474.35,27012.23,27243.29,27705.42,26781.17,27936.48,26550.1,108.48,38.67,69.81,35.69,12.76,22.68,24.75,8373.555785714287,2239.33,70.54,391.68,16.68,27265.08,27653.33,PositionState,upper,27913.5,27427.0,0.0,-486.5,394.5,-486.5,13.027272727272662,-44.11000000000058
10570,10702,1679493600000.0,28273.4,28736.0,28265.0,28540.9,27922.358,796415698.264,2023-03-22 14:00:00,6.154e-05,-0.000524,54980.538,67.95,28266.9,28027.93,28147.41,28386.38,27908.45,28505.86,27788.96,90.55,65.83,24.71,32.36,12.66,14.2,12.15,5971.535142857144,1749.89,41.41,212.51,13.99,28190.02,28378.54,PositionState,upper,28540.9,28011.6,0.0,-529.3000000000029,90.69999999999709,-529.3000000000029,-88.40000000000146,-109.27000000000044
10731,10863,1680073200000.0,28037.8,28159.9,27960.0,28076.1,8382.137,235162006.7404,2023-03-29 07:00:00,-5.442e-05,-0.000338,55338.4,74.16,27728.44,27063.29,27395.87,28061.01,26730.72,28393.59,26398.15,179.21,78.68,100.52,37.22,9.72,29.03,27.09,7794.873071428572,49.51,71.61,377.29,8.17,27524.77,27918.27,PositionState,upper,28076.1,28418.4,0.0,342.3000000000029,876.8000000000029,0.0,363.95312500000136,571.3299999999981
10893,11025,1680656400000.0,28657.2,28740.9,28535.7,28562.1,7974.034,228148712.3211,2023-04-05 01:00:00,-8.251e-05,-0.000395,51038.731,64.84,28358.26,28042.25,28200.25,28516.26,27884.25,28674.26,27726.25,107.32,64.14,43.18,30.97,14.21,14.5,15.31,6444.402142857144,-212.67,38.09,152.76,12.24,28271.01,28486.46,PositionState,upper,28562.1,28399.2,0.0,-162.89999999999782,11.200000000000728,-162.89999999999782,-38.94615384615239,-15.18999999999869
11010,11142,1681077600000.0,28417.5,28524.4,28346.2,28359.7,7970.676,226646022.2684,2023-04-09 22:00:00,6.249e-05,-0.000447,52898.088,73.03,28191.41,27881.25,28036.33,28346.48,27726.18,28501.56,27571.1,72.97,18.62,54.35,43.88,11.15,26.2,21.81,3895.001428571429,303.48,34.04,240.36,11.71,28058.54,28301.27,PositionState,upper,28359.7,28199.9,0.0,-159.79999999999927,6.599999999998545,-159.79999999999927,-78.51875000000064,-63.56000000000131
11028,11160,1681142400000.0,28419.2,29176.9,28361.0,29029.1,34805.576,1001954866.7084,2023-04-10 16:00:00,-2.71e-06,-6.3e-05,57801.265,83.03,28486.99,28148.73,28317.86,28656.12,27979.6,28825.25,27810.47,122.08,80.89,41.19,48.79,10.36,30.33,30.7,6131.483571428573,2365.2,74.86,411.59,29.97,28374.67,28685.25,PositionState,upper,29029.1,29909.3,0.0,880.2000000000007,1220.7000000000007,0.0,884.1085714285726,1361.5200000000004
11109,11241,1681434000000.0,30739.9,30949.8,30692.9,30784.1,10895.177,335655245.4057,2023-04-14 01:00:00,0.0001,0.000186,55883.111,71.45,30529.1,30149.33,30339.22,30718.99,29959.44,30908.87,29769.56,136.21,99.92,36.29,38.03,9.72,35.24,28.16,7744.360428571429,600.28,46.83,222.68,13.8,30426.5,30658.25,PositionState,upper,30784.1,30606.5,0.0,-177.59999999999854,160.70000000000073,-188.59999999999854,-40.29999999999867,34.20999999999913
11393,11525,1682456400000.0,27956.8,28294.0,27956.8,28244.3,19262.104,542430009.2026,2023-04-25 21:00:00,7.472e-05,-0.000448,57664.662,76.22,27784.88,27309.93,27547.41,28022.36,27072.46,28259.84,26834.98,115.25,26.18,89.06,38.4,11.82,18.25,14.7,8337.688,943.82,73.36,500.27,17.01,27587.91,28001.23,PositionState,upper,28244.3,27871.8,0.0,-372.5,1703.7000000000007,-372.5,596.8173913043486,800.4099999999999
11439,11571,1682622000000.0,29752.0,29849.9,29428.9,29661.0,17543.937,520266723.6281,2023-04-27 19:00:00,5.14e-05,-0.000333,50676.834,63.25,29361.19,28847.14,29104.16,29618.21,28590.12,29875.23,28333.09,180.91,114.72,66.19,32.61,13.76,23.31,27.82,12528.519714285718,707.53,58.61,119.94,2.7,29176.15,29563.75,PositionState,upper,29661.0,29238.1,0.0,-422.90000000000146,0.0,-422.90000000000146,-184.37857142857138,-213.59000000000015
11507,11639,1682866800000.0,29373.4,29955.0,29373.4,29645.0,37106.714,1102331115.7077,2023-04-30 15:00:00,1.77e-06,-0.000442,53709.527,75.47,29386.98,29166.44,29276.71,29497.26,29056.16,29607.53,28945.89,40.32,2.38,37.93,48.19,8.99,19.09,17.71,4628.966571428572,2481.22,38.77,250.4,27.88,29293.48,29476.77,PositionState,upper,29645.0,29349.9,0.0,-295.09999999999854,50.400000000001455,-295.09999999999854,-69.89999999999927,-10.080000000001746
11586,11718,1683151200000.0,28911.6,29262.8,28911.6,29091.4,13277.069,386674493.183,2023-05-03 22:00:00,0.0001,-0.000535,50104.887,67.25,28752.54,28346.26,28549.4,28955.68,28143.13,29158.82,27939.99,76.9,25.97,50.92,32.38,13.84,22.37,26.24,11506.90957142857,553.15,57.05,291.36,14.08,28531.1,28884.67,PositionState,upper,29091.4,28744.6,0.0,-346.8000000000029,138.5,-346.8000000000029,-21.618750000001228,36.340000000000146
11745,11877,1683723600000.0,28156.9,28293.0,28012.6,28148.0,20534.93,578282622.2644,2023-05-10 13:00:00,5.003e-05,-0.000696,55536.807,69.94,27883.02,27547.35,27715.19,28050.86,27379.52,28218.69,27211.68,57.71,-1.78,59.5,39.12,12.37,20.14,21.95,5739.976785714287,1380.78,45.55,351.94,20.32,27716.25,28016.92,PositionState,upper,28148.0,27482.2,0.0,-665.7999999999993,18.0,-665.7999999999993,-146.05999999999986,-211.2599999999984
11824,11956,1684008000000.0,26824.2,26917.8,26824.1,26895.1,1767.151,47474864.277,2023-05-13 20:00:00,3.553e-05,-0.000446,52756.956,62.23,26811.77,26737.69,26774.73,26848.81,26700.66,26885.84,26663.62,42.96,38.31,4.65,22.36,11.67,20.07,25.41,2423.1197142857154,-89.02,12.66,34.65,-2.98,26810.94,26849.89,PositionState,upper,26895.1,26767.1,0.0,-128.0,0.0,-128.0,-46.974999999999454,-33.919999999998254
11843,11975,1684076400000.0,26946.9,27198.6,26946.8,27064.4,13918.908,376879041.7624,2023-05-14 15:00:00,4.795e-05,-0.000618,51958.028,71.24,26927.47,26779.59,26853.53,27001.41,26705.65,27075.36,26631.71,46.35,28.71,17.63,32.5,14.48,13.5,16.33,2592.1359285714293,787.94,22.18,105.29,16.01,26877.38,26985.52,PositionState,upper,27064.4,26870.1,0.0,-194.3000000000029,0.0,-194.3000000000029,-122.88000000000174,-87.11999999999898
11854,11986,1684116000000.0,27195.7,27238.5,27104.5,27150.1,4373.937,118842375.2266,2023-05-15 02:00:00,7.979e-05,-0.000538,51338.581,64.02,27032.78,26822.7,26927.74,27137.82,26717.66,27242.86,26612.63,57.09,38.45,18.63,28.59,15.94,16.59,14.16,4382.682857142858,80.6,23.4,142.25,12.65,26948.73,27085.82,PositionState,upper,27150.1,27300.3,0.0,150.20000000000073,339.8000000000029,0.0,213.24761904762065,247.86999999999898
12046,12178,1684807200000.0,26982.8,27180.1,26982.8,27118.5,4381.095,118641745.7164,2023-05-23 02:00:00,6.784e-05,-0.00022,56832.864,66.71,26963.0,26800.41,26881.7,27044.29,26719.11,27125.59,26637.82,33.27,10.88,22.39,27.58,11.13,23.12,26.2,4754.588071428573,38.52,24.92,104.63,8.34,26900.38,27013.46,PositionState,upper,27118.5,27122.0,0.0,3.5,250.20000000000073,0.0,152.54705882352914,159.40000000000146
12130,12262,1685109600000.0,26529.9,26929.9,26529.9,26755.1,23642.265,632365798.8128,2023-05-26 14:00:00,-1.91e-05,-0.000508,60156.198,70.65,26536.17,26378.35,26457.26,26615.07,26299.45,26693.98,26220.54,47.8,22.7,25.09,35.36,15.0,16.69,20.32,4528.6275000000005,1482.65,31.34,159.89,19.17,26491.97,26619.9,PositionState,upper,26755.1,26670.8,0.0,-84.29999999999927,28.200000000000728,-114.5,-40.55238095237967,63.29999999999927
12163,12295,1685228400000.0,26794.7,26897.6,26794.7,26838.5,2565.648,68859304.3552,2023-05-27 23:00:00,8.723e-05,-0.000525,58993.371,64.97,26764.57,26664.5,26714.54,26814.6,26614.47,26864.64,26564.43,38.98,30.28,8.69,30.91,13.17,18.22,16.86,2122.100142857144,96.88,13.04,55.11,8.05,26732.78,26802.04,PositionState,upper,26838.5,27782.3,0.0,943.7999999999993,1336.9000000000015,0.0,704.7175000000001,1032.4300000000003
12397,12529,1686070800000.0,26358.8,26767.0,26275.8,26659.9,32304.599,857645450.0787998,2023-06-06 17:00:00,0.0001,-0.000396,62788.129,71.28,26235.32,25714.88,25975.1,26495.53,25454.66,26755.75,25194.45,1.13,-135.35,136.48,35.42,20.9,41.49,46.84,10116.25642857143,2233.95,72.07,503.75,18.22,25942.73,26406.72,PositionState,upper,26659.9,26475.8,0.0,-184.10000000000218,557.0,-184.10000000000218,254.28235294117493,241.11000000000058
