open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
46300.0,46448.5,46016.0,46016.0,1918.872,88739194.507,2022-01-05 17:00:00,42.17,46649.54,46171.24,46410.39,46888.69,45932.09,47127.85,45692.93,-26.04,-3.5,-22.53,18.71,23.03,13.92,17.34,2398.137714285714,54.65,394.3899999999994,33.6,-6.59,46463.72,46278.94,872.6900000000023,-83.91000000000349,262.9400000000023,447.72000000000116,-27.83,12.170000000000002,-4.32,-22.54,956.6000000000058,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
46016.0,46540.0,45590.0,45937.5,6420.284,294650636.2175,2022-01-05 18:00:00,40.94,46620.09,46110.61,46365.35,46874.83,45855.87,47129.58,45601.13,-60.64,-14.93,-45.7,15.85,26.36,14.7,17.61,2795.1130714285714,396.97,427.84999999999854,46.05,-7.74,46364.33,46142.36,937.3300000000017,-81.62999999999738,204.86000000000058,426.83000000000175,-29.060000000000002,10.939999999999998,-10.51,-45.71,1018.9599999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
45937.5,46100.0,44179.5,44665.5,13375.499,603650375.06,2022-01-05 19:00:00,27.1,46643.37,45763.55,46203.46,47083.28,45323.64,47523.19,44883.74,-188.52,-49.65,-138.87,11.89,38.12,17.4,18.66,3703.2477142857138,908.13,1537.9599999999991,726.81,-18.57,46128.38,45551.61,2417.779999999999,658.1399999999994,886.1100000000006,1462.8799999999974,-42.9,-2.8999999999999986,-26.229999999999997,-138.87,1759.6399999999994,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
44665.5,44843.5,43500.0,43982.0,11369.48,501940484.5345,2022-01-05 20:00:00,22.67,46662.88,45320.91,45991.89,47333.86,44649.93,48004.84,43978.94,-341.09,-107.94,-233.15,10.01,40.09,20.44,19.89,4459.089571428572,755.84,2009.8899999999994,1132.73,-7.81,45872.27,44923.77,3351.8600000000006,667.9300000000003,941.7699999999968,1890.2699999999968,-47.33,-7.329999999999998,-30.080000000000005,-233.14999999999998,2683.9300000000003,0.0,EntryPreparationState,lower,43982.0,43406.5,0.0,-575.5,0,0.0,None,0
43004.0,43437.0,42972.5,43357.0,1841.098,79538993.1045,2022-01-06 18:00:00,44.65,43631.81,43112.17,43371.99,43891.63,42852.35,44151.45,42592.53,-512.37,-652.64,140.26,12.95,25.93,51.37,47.12,2442.4345,-152.0,14.989999999997963,-102.12,6.05,42984.27,43111.85,534.6299999999974,-504.65000000000146,-245.15000000000146,-372.7300000000032,-25.35,14.649999999999999,-12.98,140.26999999999998,1039.2799999999988,0.0,PositionState,lower,43982.0,43406.5,-625.0,0.0,0,0.0,None,0
43357.0,43494.5,43228.5,43406.5,1191.378,51663657.1095,2022-01-06 19:00:00,45.62,43633.07,43117.48,43375.28,43890.87,42859.68,44148.67,42601.88,-450.16,-612.14,161.98,13.31,24.85,49.85,47.08,2312.3663571428574,-130.06,-31.220000000001164,-17.13,4.81,43044.38,43229.71,484.3700000000026,-546.8199999999997,-176.79000000000087,-362.1200000000026,-24.380000000000003,15.619999999999997,-11.540000000000001,161.97999999999996,1031.1900000000023,0.0,PositionState,lower,43982.0,43406.5,-575.5,0.0,0,0.0,None,0
43406.5,43549.0,43101.0,43209.5,1556.081,67347276.315,2022-01-06 20:00:00,42.44,43584.71,43134.26,43359.49,43809.94,42909.03,44035.17,42683.8,-412.0,-572.11,160.11,12.38,25.1,48.72,47.1,2299.9535,-12.41,149.98999999999796,-131.03,-0.81,43083.38,43221.62,600.4400000000023,-300.47000000000116,12.12000000000262,-126.12000000000262,-27.560000000000002,12.439999999999998,-12.72,160.11,900.9100000000035,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
43209.5,43230.0,43060.0,43115.0,1098.699,47431218.9495,2022-01-06 21:00:00,40.97,43533.38,43139.02,43336.2,43730.56,42941.85,43927.73,42744.67,-384.94,-534.68,149.73,12.03,25.08,47.75,47.2,2248.589285714286,-51.36,221.1999999999971,-193.13,-1.25,43091.16,43178.97,615.5599999999977,-173.15000000000146,63.970000000001164,-23.839999999996508,-29.03,10.969999999999999,-13.049999999999999,149.73999999999995,788.7099999999991,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
43115.0,43219.5,43017.0,43188.0,911.118,39292987.6345,2022-01-06 22:00:00,42.62,43516.65,43127.52,43322.09,43711.22,42932.96,43905.78,42738.39,-353.54,-498.45,144.91,11.62,24.94,46.94,47.62,2196.0445,-52.54,134.0899999999965,-89.83,-0.62,43098.38,43182.58,523.2200000000012,-255.04000000000087,-5.419999999998254,-89.62000000000262,-27.380000000000003,12.619999999999997,-13.320000000000002,144.90999999999997,778.260000000002,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
43188.0,43227.5,43085.0,43110.5,807.989,34863000.655,2022-01-06 23:00:00,41.3,43491.52,43112.35,43301.94,43681.1,42922.77,43870.68,42733.19,-331.08,-464.98,133.89,11.47,24.31,46.15,47.99,1889.162142857143,-306.88,191.44000000000233,-39.26,0.07,43135.77,43153.75,570.5999999999985,-187.7300000000032,43.25,25.2699999999968,-28.700000000000003,11.299999999999997,-12.839999999999998,133.90000000000003,758.3300000000017,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
