index,start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
1759,2024-03-14 07:00:00,73656.2,73949.0,73150.0,73290.0,6931.419,509627784.2563,2024-03-14 07:00:00,55.27,73371.59,72738.61,73055.1,73688.08,72422.11,74004.58,72105.62,240.87,251.58,-10.71,23.67,11.46,13.9,15.01,3675.2535714285737,202.73,-234.89999999999418,133.36,6.31,73184.97,73328.93,398.08000000000175,-867.8899999999994,38.929999999993015,-105.02999999999884,-14.729999999999997,25.270000000000003,12.21,-10.710000000000008,1265.9700000000012,0.0,EntryPreparationState,upper,73290.0,73052.5,0.0,-237.5,0,0.0,None,0
1917,2024-03-20 21:00:00,67082.3,67952.7,66934.3,67703.6,7866.597,531143593.3937,2024-03-20 21:00:00,69.94,66133.35,62832.82,64483.08,67783.62,61182.55,69433.88,59532.29,670.12,106.05,564.06,31.56,14.0,21.91,26.12,10619.919714285717,-195.18,-3220.520000000004,1900.91,6.59,64976.16,66574.62,80.01999999998952,-6521.050000000003,-1128.9800000000105,-2727.4400000000023,-0.060000000000002274,39.94,17.56,564.07,6601.069999999992,0.0,EntryPreparationState,upper,67703.6,66588.7,0.0,-1114.9000000000087,0,0.0,None,0
2030,2024-03-25 14:00:00,68037.0,69567.7,67693.8,69431.0,31375.453,2159704528.6312,2024-03-25 14:00:00,77.38,67770.62,66344.44,67057.53,68483.71,65631.36,69196.8,64918.27,644.68,529.62,115.05,41.66,10.22,28.66,25.18,6061.73635714286,1831.54,-2373.470000000001,832.52,17.05,67391.4,68230.25,-947.2899999999936,-3799.6399999999994,-1200.75,-2039.6000000000058,7.3799999999999955,47.379999999999995,31.439999999999998,115.05999999999995,2852.350000000006,0.0,EntryPreparationState,upper,69431.0,69798.2,0.0,367.1999999999971,0,0.0,None,0
2166,2024-03-31 06:00:00,70424.4,70472.0,70250.3,70281.5,1391.797,97910545.686,2024-03-31 06:00:00,56.52,70257.21,69865.92,70061.57,70452.85,69670.28,70648.5,69474.64,44.06,-2.06,46.13,25.64,17.23,12.57,12.87,1410.6014285714307,-28.96,-219.92999999999302,107.51,6.25,70042.55,70237.49,171.35000000000582,-611.2200000000012,-44.00999999999476,-238.9499999999971,-13.479999999999997,26.520000000000003,8.41,46.120000000000005,782.570000000007,0.0,EntryPreparationState,upper,70281.5,70660.0,0.0,378.5,0,0.0,None,0
2270,2024-04-04 14:00:00,67229.1,67909.4,67051.7,67666.5,9496.272,641764949.2317,2024-04-04 14:00:00,71.5,66888.99,65837.07,66363.03,67414.95,65311.11,67940.91,64785.15,232.26,41.16,191.1,30.86,14.48,22.12,23.21,4366.522642857145,413.5,-1303.4700000000012,821.2,11.19,66518.15,67119.96,-251.5500000000029,-2355.3899999999994,-546.5399999999936,-1148.3500000000058,1.5,41.5,16.38,191.1,2103.8399999999965,0.0,EntryPreparationState,upper,67666.5,66868.9,0.0,-797.6000000000058,0,0.0,None,0
2322,2024-04-06 18:00:00,68297.5,68379.1,68184.9,68307.3,778.901,53175906.0398,2024-04-06 18:00:00,61.07,68122.53,67717.02,67919.77,68325.28,67514.26,68528.04,67311.51,158.23,124.55,33.68,26.89,12.27,19.07,16.95,1842.9627857142877,1.63,-387.52999999999884,110.72,3.28,67974.95,68200.97,17.979999999995925,-793.0400000000081,-106.33000000000175,-332.3500000000058,-8.93,31.07,14.620000000000001,33.67999999999999,811.0200000000041,0.0,EntryPreparationState,upper,68307.3,69070.0,0.0,762.6999999999971,0,0.0,None,0
2360,2024-04-08 08:00:00,70697.1,72353.4,70631.7,71993.2,20784.926,1486648337.6578,2024-04-08 08:00:00,79.83,70398.94,69093.56,69746.25,71051.64,68440.87,71704.33,67788.18,412.83,225.14,187.68,48.12,9.01,33.03,38.35,4641.9609285714305,1178.24,-2246.949999999997,1500.03,26.43,69889.87,70826.17,-941.5599999999977,-3552.3300000000017,-1167.0299999999988,-2103.3300000000017,9.829999999999998,49.83,39.11,187.69,2610.770000000004,0.0,EntryPreparationState,upper,71993.2,71326.3,0.0,-666.8999999999942,0,0.0,None,0
2520,2024-04-15 00:00:00,65618.9,65845.0,65242.6,65454.3,6265.067,410549309.5263,2024-04-15 00:00:00,56.28,65102.9,64083.11,64593.01,65612.79,63573.22,66122.68,63063.33,-71.43,-329.59,258.16,22.88,27.25,33.19,35.47,7512.813214285716,188.64,-861.2900000000009,443.13,1.84,64512.32,65131.72,158.4899999999907,-1881.0800000000017,-322.58000000000175,-941.9800000000032,-13.719999999999999,26.28,-4.370000000000001,258.15999999999997,2039.5699999999924,0.0,EntryPreparationState,upper,65454.3,64198.7,0.0,-1255.6000000000058,0,0.0,None,0
2607,2024-04-18 15:00:00,63776.0,64166.1,63389.7,63465.5,9269.992,591087654.3707,2024-04-18 15:00:00,63.06,62934.21,61390.86,62162.53,63705.88,60619.19,64477.55,59847.52,237.37,-69.52,306.89,29.83,13.81,24.56,27.21,7671.232714285717,412.94,-1302.9700000000012,903.23,8.11,62289.95,63135.9,240.37999999999738,-2846.3099999999977,-329.59999999999854,-1175.550000000003,-6.939999999999998,33.06,16.019999999999996,306.89,3086.689999999995,0.0,EntryPreparationState,upper,63465.5,62688.7,0.0,-776.8000000000029,0,0.0,None,0
2623,2024-04-19 07:00:00,64600.1,65200.0,64157.1,64523.4,14018.482,905541553.8857,2024-04-19 07:00:00,62.9,63722.34,61863.32,62792.83,64651.84,60933.81,65581.35,60004.3,271.7,142.79,128.9,32.41,23.08,21.46,22.32,10558.478714285719,459.71,-1730.5699999999997,622.62,12.36,62649.22,63659.34,128.43999999999505,-3589.590000000004,-864.060000000005,-1874.1800000000003,-7.100000000000001,32.9,9.329999999999998,128.91,3718.029999999999,0.0,EntryPreparationState,upper,64523.4,63974.7,0.0,-548.7000000000044,0,0.0,None,0
2656,2024-04-20 16:00:00,64774.9,64946.0,64410.0,64710.6,5650.269,365358533.8993,2024-04-20 16:00:00,62.87,64351.33,63652.28,64001.81,64700.85,63302.76,65050.38,62953.24,136.1,69.64,66.45,24.5,19.11,17.46,16.92,3312.189642857145,233.06,-708.7900000000009,395.68,9.61,63942.52,64403.36,-9.75,-1407.8399999999965,-307.23999999999796,-768.0800000000017,-7.130000000000003,32.87,5.390000000000001,66.46,1398.0899999999965,0.0,EntryPreparationState,upper,64710.6,64844.5,0.0,133.90000000000146,0,0.0,None,0
2692,2024-04-22 04:00:00,65691.3,65866.2,65489.3,65716.8,3888.721,255471719.3715,2024-04-22 04:00:00,65.57,65268.32,64642.2,64955.26,65581.38,64329.14,65894.44,64016.08,151.98,80.58,71.4,33.26,12.58,18.99,21.08,4052.2417857142877,128.67,-761.5400000000009,475.53,11.8,64987.26,65371.22,-135.41999999999825,-1387.6600000000035,-345.58000000000175,-729.5400000000009,-4.430000000000007,35.56999999999999,20.68,71.39999999999999,1252.2400000000052,0.0,EntryPreparationState,upper,65716.8,66208.9,0.0,492.09999999999127,0,0.0,None,0
2879,2024-04-29 23:00:00,63846.0,64193.0,63755.1,63827.9,5498.922,351823857.5473,2024-04-29 23:00:00,63.39,63488.13,62531.29,63009.71,63966.55,62052.87,64444.97,61574.45,105.94,-62.62,168.56,25.05,15.26,26.23,30.3,4858.86835714286,131.28,-818.1900000000023,547.7,12.76,63141.33,63524.13,138.65000000000146,-1775.0299999999988,-303.7700000000041,-686.5699999999997,-6.609999999999999,33.39,9.790000000000001,168.56,1913.6800000000003,0.0,EntryPreparationState,upper,63827.9,63290.1,0.0,-537.8000000000029,0,0.0,None,0
2965,2024-05-03 13:00:00,60597.9,61780.9,60467.2,61638.2,22371.333,1370361521.9303,2024-05-03 13:00:00,74.29,60108.53,58861.0,59484.76,60732.29,58237.23,61356.06,57613.47,441.75,288.04,153.71,37.8,12.4,22.43,22.17,5926.0099285714305,1502.0,-2153.439999999995,1432.74,20.64,59668.35,60521.61,-905.9099999999962,-3400.969999999994,-1116.5899999999965,-1969.8499999999985,4.290000000000006,44.290000000000006,25.4,153.70999999999998,2495.0599999999977,0.0,EntryPreparationState,upper,61638.2,63288.1,0.0,1649.9000000000015,0,0.0,None,0
3016,2024-05-05 16:00:00,64400.0,64520.0,64166.6,64300.0,3470.217,223251722.373,2024-05-05 16:00:00,64.93,64104.26,63392.14,63748.2,64460.31,63036.08,64816.37,62680.03,289.32,248.2,41.11,28.67,7.97,39.98,42.68,2974.7982857142883,113.5,-551.8000000000029,269.97,4.01,63932.52,64196.56,160.30999999999767,-1263.9199999999983,-103.44000000000233,-367.4800000000032,-5.069999999999993,34.93000000000001,20.700000000000003,41.120000000000005,1424.229999999996,0.0,EntryPreparationState,upper,64300.0,63708.0,0.0,-592.0,0,0.0,None,0
