start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,entry_volume
2020-04-07 18:00:00,7346.0,7349.0,7285.0,7300.5,450.643,3289919.2215,2020-04-07 18:00:00,7308.75,54.64,7343.16,7265.69,7304.43,7381.89,7226.96,7420.62,7188.23,2.12,50.48,67.34,-16.85,20.86,18.3,31.97,37.57,732.8008571428571,-21.03,-4.319999999999709,-12.22,-4.53,7345.73,7326.99,73.14000000000033,-81.78999999999996,18.23999999999978,36.97999999999956,-15.36,-18.73999999999978,18.73999999999978,0.0,0.0,24.64,2.5599999999999987,-16.860000000000007,154.9300000000003,57.14,11296.63,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-07 19:00:00,7300.5,7354.5,7281.0,7281.0,523.025,3808145.025,2020-04-07 19:00:00,7299.37,53.32,7343.08,7264.81,7303.94,7382.21,7225.68,7421.35,7186.54,2.14,44.4,62.75,-18.34,19.91,17.01,30.25,36.26,730.2201428571428,-2.58,4.569999999999709,-3.75,-1.01,7333.48,7315.94,82.84000000000015,-73.6899999999996,16.56999999999971,34.10999999999967,-16.68,-17.539999999999964,17.539999999999964,0.0,0.0,23.32,2.8999999999999986,-18.35,156.52999999999975,50.0,10773.61,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-07 20:00:00,7281.0,7288.5,7072.5,7121.0,1383.362,9850920.802,2020-04-07 20:00:00,7150.75,37.74,7343.87,7234.84,7289.35,7398.38,7180.33,7452.89,7125.82,2.99,27.28,55.66,-28.37,16.28,31.5,30.36,36.34,764.6148571428572,34.39,138.60000000000036,61.84,-19.06,7307.22,7249.86,247.6300000000001,29.579999999999927,99.10999999999967,156.47000000000025,-32.26,-57.36000000000058,57.36000000000058,0.0,0.0,7.740000000000002,-15.219999999999999,-28.379999999999995,218.05000000000018,-57.14,10011.48,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-07 21:00:00,7121.0,7214.5,7081.0,7166.0,889.951,6377388.866,2020-04-07 21:00:00,7156.87,38.53,7341.18,7212.29,7276.74,7405.62,7147.85,7470.06,7083.41,3.54,14.04,47.33,-33.29,14.52,28.09,30.47,36.42,767.2208571428572,2.6,119.86999999999989,55.88,-1.98,7285.2,7212.66,248.75,-9.019999999999527,55.789999999999964,128.32999999999993,-31.47,-72.53999999999996,72.53999999999996,0.0,0.0,8.530000000000001,-13.57,-33.29,257.7699999999995,-57.14,10254.8,0.0,EntryPreparationState,lower,7166.0,7261.0,0.0,36.471141501535115,1,0.0,None,43.16943901758323,-19.836421992743272,None,0
2020-04-09 05:00:00,7285.5,7307.0,7270.5,7305.5,296.876,2168827.618,2020-04-09 05:00:00,7297.12,49.94,7334.07,7270.98,7302.53,7365.62,7239.43,7397.17,7207.88,1.72,7.02,12.14,-5.12,16.72,21.87,12.34,13.76,419.61564285714286,-18.09,5.4099999999998545,-2.13,1.08,7317.06,7295.69,68.5,-57.6899999999996,-1.430000000000291,19.94000000000051,-20.060000000000002,-21.3700000000008,21.3700000000008,0.0,0.0,19.939999999999998,-5.150000000000002,-5.120000000000001,126.1899999999996,-35.71,11168.91,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-09 06:00:00,7305.5,7317.0,7290.0,7309.0,216.632,1583363.288,2020-04-09 06:00:00,7306.25,51.58,7333.26,7272.5,7302.88,7363.64,7242.12,7394.02,7211.74,1.66,6.57,11.03,-4.45,17.38,21.16,12.15,13.64,391.67557142857146,-27.94,-3.369999999999891,-5.23,2.5,7315.64,7299.91,57.39000000000033,-64.13000000000011,-6.3400000000001455,9.390000000000327,-18.42,-15.730000000000473,15.730000000000473,0.0,0.0,21.58,-3.780000000000001,-4.459999999999999,121.52000000000044,-35.71,11257.16,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-09 07:00:00,7309.0,7331.0,7282.0,7322.0,239.563,1754080.286,2020-04-09 07:00:00,7314.25,53.02,7333.86,7274.07,7303.96,7363.75,7244.17,7393.65,7214.28,1.63,6.79,10.18,-3.39,18.05,19.88,11.63,13.35,364.1953571428571,-27.48,-10.289999999999964,-3.92,2.61,7311.89,7305.65,49.5,-70.07999999999993,-8.600000000000364,-2.3599999999996726,-16.979999999999997,-6.240000000000691,6.240000000000691,0.0,0.0,23.020000000000003,-1.8299999999999983,-3.3899999999999997,119.57999999999993,-35.71,11408.72,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-09 08:00:00,7322.0,7344.0,7309.0,7327.0,465.349,3409612.123,2020-04-09 08:00:00,7326.75,55.27,7335.71,7276.56,7306.13,7365.28,7246.98,7394.86,7217.41,1.61,7.88,9.72,-1.84,18.89,19.01,10.82,12.6,375.93671428571423,11.74,-20.61999999999989,-1.17,2.37,7308.14,7314.09,38.529999999999745,-79.77000000000044,-12.659999999999854,-18.609999999999673,-14.729999999999997,5.949999999999818,-5.949999999999818,0.0,0.0,25.270000000000003,-0.120000000000001,-1.8400000000000007,118.30000000000018,-35.71,11422.02,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-09 09:00:00,7327.0,7327.0,7291.0,7293.0,565.413,4123557.009,2020-04-09 09:00:00,7301.0,49.97,7330.33,7280.96,7305.64,7355.01,7256.27,7379.7,7231.59,1.35,6.58,9.09,-2.5,18.01,20.45,10.5,12.36,385.1445,9.2,4.640000000000327,-18.03,-1.47,7303.44,7308.85,54.01000000000022,-44.72999999999956,7.850000000000364,2.4399999999996,-20.03,5.410000000000764,-5.410000000000764,0.0,0.0,19.97,-2.4399999999999977,-2.51,98.73999999999978,-35.71,10919.43,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
2020-04-09 10:00:00,7293.0,7309.5,7274.0,7304.5,332.502,2428760.859,2020-04-09 10:00:00,7298.12,49.4,7326.35,7283.51,7304.93,7347.77,7262.09,7369.18,7240.67,1.17,5.27,8.33,-3.05,17.16,21.75,10.59,12.07,379.4176428571428,-5.72,6.8100000000004,-23.32,-3.03,7301.8,7304.56,49.650000000000546,-36.029999999999745,6.440000000000509,3.680000000000291,-20.6,2.7600000000002183,-2.7600000000002183,0.0,0.0,19.4,-4.59,-3.0600000000000005,85.68000000000029,-35.71,11158.27,0.0,IdleState,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,0
