,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction
1259,1391,1690556400000.0,29472.9,29545.8,29336.0,29373.6,9320.811,274364307.2144,2023-07-28 15:00:00,1.787e-05,-0.000395,68108.422,58.03,29345.97,29184.66,29265.32,29426.62,29104.01,29507.27,29023.36,11.86,-17.69,29.55,30.23,12.9,21.16,22.69,3377.751142857144,595.74,-108.27999999999884,96.73,11.79,29253.2,29369.77,53.02000000000044,-269.59000000000015,-3.8299999999981083,-120.39999999999782,-11.969999999999999,28.03,17.33,29.55,322.6100000000006,PositionState,upper,29373.6,29245.6,0.0,-128.0,0.0,-128.0,-54.39999999999903,0
1307,1439,1690729200000.0,29370.3,29444.9,29291.0,29331.4,6906.215,202905538.2478,2023-07-30 15:00:00,3.28e-05,-0.000509,66251.50599999,54.65,29332.88,29277.53,29305.21,29360.56,29249.86,29388.24,29222.18,3.64,-0.89,4.53,28.41,17.86,14.53,13.7,1660.9866428571434,456.14,-26.19000000000233,16.0,14.1,29299.22,29329.75,29.159999999999854,-81.54000000000087,-1.6500000000014552,-32.18000000000029,-15.350000000000001,24.65,10.55,4.53,110.70000000000073,PositionState,upper,29331.4,29192.2,0.0,-139.20000000000073,52.69999999999709,-139.20000000000073,-8.96000000000131,0
1364,1496,1690934400000.0,29700.1,29838.9,29675.4,29810.0,13707.226,407830337.2772,2023-08-02 00:00:00,0.0001,-0.000208,66221.261,78.56,29474.56,28930.62,29202.59,29746.53,28658.65,30018.5,28386.68,111.45,12.3,99.14,41.02,17.35,29.19,29.13,8543.23842857143,832.93,-607.4099999999999,399.61,19.99,29288.86,29637.22,-63.470000000001164,-1151.3499999999985,-172.77999999999884,-521.1399999999994,8.560000000000002,48.56,23.67,99.15,1087.8799999999974,PositionState,upper,29810.0,29444.0,0.0,-366.0,29.0,-366.0,-199.16923076923084,0
1403,1535,1691074800000.0,29380.7,29420.8,29171.9,29246.1,8233.93,241120717.2023,2023-08-03 15:00:00,0.0001,-0.000389,69281.003,52.37,29263.73,29124.3,29194.01,29333.44,29054.58,29403.16,28984.87,-12.16,-36.77,24.6,23.08,18.86,24.69,25.32,3787.4765,449.1,-52.090000000000146,79.69,7.84,29166.55,29256.04,87.34000000000015,-191.5199999999968,9.940000000002328,-79.54999999999927,-17.630000000000003,22.369999999999997,4.219999999999999,24.610000000000003,278.85999999999694,PositionState,upper,29246.1,29219.6,0.0,-26.5,47.900000000001455,-34.69999999999709,7.537500000001273,0
1481,1613,1691355600000.0,29125.0,29195.0,29012.8,29074.6,4045.951,117848773.3533,2023-08-06 21:00:00,0.0001,-0.000375,68322.40399999,51.24,29095.06,29037.76,29066.41,29123.72,29009.11,29152.37,28980.46,4.79,-1.04,5.84,19.54,20.7,18.53,18.75,1294.5496428571435,214.46,-8.18999999999869,9.61,0.48,29061.84,29087.25,49.12000000000262,-65.48999999999796,12.650000000001455,-12.7599999999984,-18.759999999999998,21.240000000000002,-1.1600000000000001,5.83,114.61000000000058,PositionState,upper,29074.6,29043.9,0.0,-30.69999999999709,15.100000000002183,-30.69999999999709,-3.624999999998181,0
1487,1619,1691377200000.0,29184.9,29197.7,29133.1,29146.6,982.046,28637971.6815,2023-08-07 03:00:00,0.0001,-0.000529,68335.571,57.62,29133.41,29045.86,29089.63,29177.18,29002.08,29220.96,28958.31,18.36,7.96,10.4,21.94,15.26,16.46,18.38,1424.431928571429,-16.72,-56.969999999997526,39.8,-0.4,29105.62,29143.76,30.580000000001746,-144.5199999999968,-2.8400000000001455,-40.97999999999956,-12.380000000000003,27.619999999999997,6.6800000000000015,10.399999999999999,175.09999999999854,PositionState,upper,29146.6,29035.1,0.0,-111.5,23.0,-111.5,-30.424999999999272,0
1520,1652,1691496000000.0,29425.6,29584.9,29347.8,29559.9,17048.528,502513556.5841,2023-08-08 12:00:00,2.398e-05,-0.000498,71091.599,75.29,29343.41,29109.83,29226.62,29460.2,28993.04,29576.99,28876.24,76.37,44.2,32.17,42.4,11.23,24.18,21.42,3450.551285714286,1113.04,-333.2800000000025,76.56,11.74,29272.28,29445.05,-99.70000000000073,-566.8600000000006,-114.85000000000218,-287.6200000000026,5.290000000000006,45.290000000000006,31.169999999999998,32.17,467.15999999999985,PositionState,upper,29559.9,29750.0,0.0,190.09999999999854,502.3999999999978,-215.10000000000218,193.933333333332,0
1621,1753,1691859600000.0,29450.6,29450.7,29415.3,29418.0,858.615,25274752.3852,2023-08-12 17:00:00,0.0001,-0.000438,70841.86199999,50.17,29433.01,29398.52,29415.77,29450.26,29381.27,29467.51,29364.03,2.38,-2.18,4.57,21.08,17.54,12.28,14.6,652.3217857142863,2.45,-2.2299999999995634,7.86,1.78,29421.85,29427.12,32.2599999999984,-36.72999999999956,9.119999999998981,3.849999999998545,-19.83,20.17,3.539999999999999,4.5600000000000005,68.98999999999796,PositionState,upper,29418.0,29401.6,0.0,-16.400000000001455,2.0,-16.400000000001455,-4.800000000000485,0
1668,1800,1692028800000.0,29587.4,29680.0,29587.3,29639.4,4920.478,145833397.5196,2023-08-14 16:00:00,0.0001,-0.000464,72397.267,75.09,29530.88,29343.39,29437.13,29624.62,29249.65,29718.36,29155.91,41.63,15.06,26.57,32.58,18.55,26.47,27.87,3376.563928571429,-420.47,-202.27000000000044,117.3,2.42,29460.55,29579.69,-14.780000000002474,-389.75,-59.710000000002765,-178.85000000000218,5.090000000000003,45.09,14.029999999999998,26.57,374.9699999999975,PositionState,upper,29639.4,29320.5,0.0,-318.90000000000146,0.0,-318.90000000000146,-160.03333333333407,0
1817,1949,1692565200000.0,26219.1,26229.9,26125.5,26163.4,3215.703,84140453.4176,2023-08-20 21:00:00,1.83e-05,-0.000529,57456.957,53.9,26159.0,26069.46,26114.23,26203.77,26024.69,26248.54,25979.92,11.27,1.34,9.92,25.24,15.85,15.59,17.77,2802.4977857142867,177.98,-49.17000000000189,24.0,10.05,26113.07,26163.35,40.36999999999898,-138.71000000000276,-0.05000000000291038,-50.330000000001746,-16.1,23.9,9.389999999999999,9.93,179.08000000000175,PositionState,upper,26163.4,26125.8,0.0,-37.60000000000218,28.69999999999709,-37.60000000000218,1.049999999998363,0
