,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2089,2221,1641412800000.0,44665.5,44843.5,42444.0,43437.0,29996.17,1309808595.2565,2022-01-05 20:00:00,0.0001,16076.486,26.69,47039.01,45290.61,46164.81,47913.22,44416.41,48787.42,43542.21,-588.39,-369.54,-218.84,12.26,35.99,15.83,14.51,11600.710714285713,1392.71,-287.13,1302.73,-13.56,45847.66,44498.75,PositionState,lower,43437.0,42683.0,0.0,754.0,2565.5,0.0,1275.1458333333333,2301.0699999999997
2117,2249,1641816000000.0,41567.5,41614.5,39655.0,40986.0,40246.919,1635056734.2105,2022-01-10 12:00:00,0.0001,17726.588,36.68,42454.08,41683.23,42068.65,42839.5,41297.81,43224.92,40912.38,-598.47,-716.74,118.26,13.66,36.21,31.76,33.19,10752.419285714286,2634.13,-113.97,107.66,-13.55,41815.38,41385.24,PositionState,lower,40986.0,42234.0,0.0,-1248.0,0.0,-1248.0,-589.25,-516.1600000000035
2180,2312,1642723200000.0,40702.0,41111.0,38220.0,38469.5,42674.254,1690987479.212,2022-01-21 00:00:00,0.0001,19525.181,26.62,42691.19,40856.21,41773.7,43608.67,39938.72,44526.16,39021.23,-416.0,-215.88,-200.11,16.31,42.79,20.36,22.29,13981.271285714287,2512.85,-347.81,1618.76,-21.75,41669.5,40105.63,PositionState,lower,38469.5,36070.0,0.0,2399.5,4766.0,-629.5,2474.4565217391305,4910.669999999998
2346,2478,1645113600000.0,41925.0,42113.5,40720.0,41203.0,23078.502,956299256.4235,2022-02-17 16:00:00,0.0001,21722.60099999,33.52,44078.1,42297.24,43187.67,44968.53,41406.81,45858.97,40516.37,-102.69,181.59,-284.28,12.32,33.13,21.08,20.58,11625.069142857143,573.98,-208.91,309.86,-9.0,43293.11,41961.88,PositionState,lower,41203.0,38759.0,0.0,2444.0,4633.0,0.0,2221.2428571428572,3586.290000000001
2384,2516,1645660800000.0,37245.5,37390.5,34641.5,34902.0,39953.879,1437201702.063,2022-02-24 00:00:00,-0.00016121,19323.877,28.92,38856.86,36922.58,37889.72,39824.0,35955.43,40791.15,34988.29,-744.16,-688.96,-55.2,12.79,36.84,35.93,42.4,18337.943642857143,939.43,-314.5,945.02,-15.1,37678.22,36267.38,PositionState,lower,34902.0,38318.0,0.0,-3416.0,0.0,-3416.0,-1278.4166666666667,-1146.9100000000035
2491,2623,1647201600000.0,38860.0,38860.5,37551.0,37756.0,14841.437,565917976.911,2022-03-13 20:00:00,-1.752e-05,20426.981,35.34,39405.37,38618.23,39011.8,39798.95,38224.65,40192.52,37831.08,-303.44,-231.1,-72.34,14.25,32.61,13.01,14.36,8461.568142857142,-1719.86,-132.18,449.51,-11.64,38814.83,38320.3,PositionState,lower,37756.0,39059.0,0.0,-1303.0,0.0,-1303.0,-562.0,-324.0199999999968
2630,2762,1649203200000.0,45485.5,45492.5,44304.0,45202.0,18596.817,836665397.071,2022-04-06 00:00:00,0.0001,24114.979,38.22,46484.92,45675.73,46080.32,46889.51,45271.13,47294.11,44866.54,-129.7,-29.94,-99.76,15.75,30.76,16.7,18.64,13495.336571428572,725.74,-92.45,242.29,-10.38,46112.44,45501.56,PositionState,lower,45202.0,43200.5,0.0,2001.5,2977.0,-56.5,1932.9310344827586,2555.7999999999956
2662,2794,1649664000000.0,42285.0,42330.0,40949.0,41060.0,32294.173,1340233208.003,2022-04-11 08:00:00,-3.598e-05,23795.251,28.54,43243.7,42093.71,42668.7,43818.69,41518.71,44393.69,40943.72,-574.88,-558.55,-16.33,10.6,34.11,38.6,40.5,10097.197214285714,1706.63,-169.34,238.24,-10.55,42397.0,41683.98,PositionState,lower,41060.0,41140.0,0.0,-80.0,1774.5,-80.0,933.5714285714286,1179.260000000002
2702,2834,1650240000000.0,39662.0,39854.0,39556.5,39785.5,5352.781,212637061.3895,2022-04-18 00:00:00,-5.359e-05,25691.76,39.46,40483.48,40045.53,40264.51,40702.46,39826.55,40921.44,39607.58,-199.33,-193.49,-5.83,13.86,22.89,16.27,20.92,6728.028,-238.3,-50.41,-20.08,-1.72,40188.05,39899.6,PositionState,lower,39785.5,40664.5,0.0,-879.0,882.5,-879.0,271.9,-40.25
2745,2877,1650859200000.0,39235.5,39236.0,38072.0,38448.0,20811.65,804802747.1035,2022-04-25 04:00:00,0.0001,25039.533,28.76,40193.84,39254.9,39724.37,40663.31,38785.42,41132.78,38315.95,-407.1,-336.14,-70.96,9.92,37.46,30.94,28.66,9244.980714285713,941.73,-134.34,-8.33,-4.58,39435.5,38919.88,PositionState,lower,38448.0,40211.0,0.0,-1763.0,0.0,-1763.0,-661.125,-645.8500000000058
2754,2886,1650988800000.0,38545.0,38871.5,37777.5,38251.0,44432.383,1705141188.5945,2022-04-26 16:00:00,0.0001,26477.299,35.02,40312.21,38966.2,39639.2,40985.22,38293.19,41658.23,37620.18,-226.44,-190.4,-36.04,15.4,38.19,25.89,25.54,21212.382785714286,2889.4,-146.13,256.07,-9.39,39636.22,38869.83,PositionState,lower,38251.0,39327.0,0.0,-1076.0,147.5,-1076.0,-539.4444444444445,-316.15000000000146
2808,2940,1651766400000.0,36884.5,37336.5,35511.0,36287.0,59193.682,2153237804.1225,2022-05-05 16:00:00,0.0001,25786.194,29.65,39416.79,37608.84,38512.81,40320.76,36704.87,41224.73,35800.9,-144.86,44.15,-189.02,13.04,40.07,28.9,28.78,24100.285071428574,3673.24,-234.3,714.0,-9.1,38830.27,37252.0,PositionState,lower,36287.0,30547.0,0.0,5740.0,8207.5,-239.0,3463.311111111111,7554.52
3024,3156,1654876800000.0,29440.0,29469.5,28816.0,28973.5,37087.793,1077467763.5285,2022-06-10 16:00:00,0.0001,33030.279,33.12,30503.07,29584.3,30043.68,30962.45,29124.92,31421.84,28665.53,-203.51,-78.93,-124.58,15.08,30.15,17.33,19.33,24077.497285714282,1865.96,-112.65,184.49,-6.06,29916.72,29357.49,PositionState,lower,28973.5,20113.5,0.0,8860.0,10914.0,-332.5,5998.445454545455,9583.36
3142,3274,1656576000000.0,19425.5,19429.5,18914.0,19088.5,66036.138,1262229508.1255,2022-06-30 08:00:00,-1.677e-05,40118.031,24.56,20814.05,19707.91,20260.98,21367.12,19154.84,21920.18,18601.77,-368.65,-244.55,-124.09,12.04,35.56,23.7,19.47,36710.48435714286,2988.65,-123.42,276.14,-6.73,19936.27,19425.56,PositionState,lower,19088.5,19480.0,0.0,-391.5,164.0,-837.0,-178.07142857142858,143.6800000000003
3295,3427,1658779200000.0,21878.0,22248.0,21233.0,21301.0,55031.664,1199646371.1245,2022-07-25 20:00:00,2.443e-05,43565.014,32.77,22666.41,21855.4,22260.9,23071.91,21449.89,23477.42,21044.38,-243.94,-119.66,-124.28,12.42,26.41,18.3,19.27,27299.425571428572,1841.27,-101.03,-78.5,-4.06,22101.11,21607.54,PositionState,lower,21301.0,22762.5,0.0,-1461.5,567.5,-1461.5,25.416666666666668,-450.2000000000007
3441,3573,1660881600000.0,22762.0,22824.0,21101.0,21891.0,79392.483,1747366165.3255,2022-08-19 04:00:00,0.0001,52118.153,20.07,23896.38,22890.68,23393.53,24399.23,22387.83,24902.08,21884.98,-359.61,-229.07,-130.53,10.58,44.48,15.49,15.86,28555.00985714286,5053.52,-158.15,611.88,-24.33,23143.05,22458.89,PositionState,lower,21891.0,21508.0,0.0,383.0,1072.0,0.0,576.9821428571429,999.6499999999978
3485,3617,1661515200000.0,21182.5,21869.0,20607.5,20769.0,145575.201,3102991391.473,2022-08-26 12:00:00,0.0001,48346.638,32.35,21630.4,21207.58,21418.99,21841.82,20996.16,22053.23,20784.75,-104.64,-65.27,-39.36,11.17,29.93,20.72,24.8,30830.547714285716,8881.68,-68.41,232.06,-8.04,21453.94,21054.89,PositionState,lower,20769.0,20249.0,0.0,520.0,1221.0,0.0,682.2105263157895,1016.2799999999988
3553,3685,1662494400000.0,18816.5,19070.0,18617.0,18782.5,34146.546,644274210.1235,2022-09-06 20:00:00,6.524e-05,56992.398,26.88,19964.89,19341.04,19652.97,20276.81,19029.12,20588.73,18717.2,-180.54,-94.26,-86.28,12.89,31.75,19.86,20.29,30628.1385,384.04,-91.62,526.65,-4.78,19591.33,19055.87,PositionState,lower,18782.5,19339.0,0.0,-556.5,52.5,-556.5,-252.70833333333334,-230.0699999999997
3626,3758,1663545600000.0,19408.5,19509.5,18630.0,18768.0,53921.161,1022661374.167,2022-09-19 00:00:00,0.0001,49654.714,24.21,20088.34,19531.24,19809.79,20366.9,19252.69,20645.45,18974.14,-252.93,-205.48,-47.44,9.97,36.09,31.15,36.69,20571.59307142857,1126.2,-109.65,478.52,-12.62,19750.27,19186.5,PositionState,lower,18768.0,19222.5,0.0,-454.5,321.5,-759.5,-257.8095238095238,166.1800000000003
3757,3889,1665432000000.0,19209.5,19277.5,18973.5,19122.5,23876.213,456833032.215,2022-10-10 20:00:00,0.0001,67111.043,28.61,19544.42,19333.55,19438.99,19649.85,19228.12,19755.29,19122.68,-133.34,-108.98,-24.35,8.9,32.24,37.3,31.12,19338.463285714282,947.66,-33.3,-57.63,-1.8,19354.16,19193.67,PositionState,lower,19122.5,19357.5,0.0,-235.0,379.0,-235.0,46.22222222222222,53.33999999999651
