,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma,entry_volume
20,1696932000.0,27651.3,27660.0,27585.6,27599.9,2104.681,58135771.678,2023-10-10 10:00:00,2.403e-05,-0.000407,65050.278,47.06,27685.88,27550.83,27618.35,27753.4,27483.3,27820.93,27415.78,-12.68,-28.55,15.86,19.52,22.38,20.53,26.43,1830.605357142857,-10.23,18.44999999999709,-8.84,-3.9,27629.36,27626.55,153.5,-116.60000000000218,26.649999999997817,29.459999999999127,-22.94,17.060000000000002,-2.8599999999999994,15.87,270.1000000000022,,,27384.0,,,,,,,,15721.659
21,1696935600.0,27599.9,27602.1,27482.0,27494.7,4899.444,134981077.364,2023-10-10 11:00:00,2.403e-05,-0.00056,65331.899,39.33,27667.93,27545.22,27606.58,27729.28,27483.87,27790.63,27422.52,-21.46,-27.13,5.67,17.79,28.03,20.66,26.19,2091.2850000000003,260.67,111.88000000000102,-33.19,-8.53,27610.54,27573.81,234.5799999999981,-10.830000000001746,79.11000000000058,115.84000000000016,-30.67,9.329999999999998,-10.240000000000002,5.669999999999998,245.40999999999983,,,27384.0,,,,,,,,15721.659
22,1696939200.0,27494.7,27518.6,27392.1,27411.0,5899.723,162043621.0251,2023-10-10 12:00:00,2.403e-05,-0.000626,65705.92,34.47,27646.18,27529.72,27587.95,27704.4,27471.5,27762.63,27413.27,-34.76,-28.66,-6.1,16.17,31.95,21.53,26.36,2409.6585,318.37,176.95000000000073,-36.63,-7.26,27587.27,27508.68,293.40000000000146,60.5,97.68000000000028,176.27000000000044,-35.53,4.469999999999999,-15.779999999999998,-6.099999999999998,232.90000000000143,lower,EntryPreparationState,27384.0,,,,,,,,15721.659
23,1696942800.0,27411.0,27464.0,27323.0,27384.0,8098.193,221768629.2925,2023-10-10 13:00:00,2.403e-05,-0.000372,66322.2,33.05,27641.73,27495.32,27568.52,27714.94,27422.11,27788.15,27348.9,-46.95,-32.32,-14.62,14.57,33.63,22.81,26.91,2932.9729999999995,523.31,184.52000000000044,35.04,-4.9,27564.51,27458.81,330.9399999999987,38.11000000000058,74.81000000000131,180.5099999999984,-36.95,3.049999999999997,-19.06,-14.630000000000004,292.8299999999981,lower,PositionState,27384.0,27273.7,,110.29999999999929,388.5,-69.90000000000146,104.90000000000018,302.52000000000044,15721.659
24,1697014800.0,27098.2,27275.0,27080.0,27273.7,8734.6,237495671.1338,2023-10-11 09:00:00,7.159e-05,-0.00029434,69384.57,47.98,27422.92,27100.05,27261.49,27584.36,26938.61,27745.79,26777.18,-110.76,-105.79,-4.97,18.65,26.25,27.59,22.67,4622.5894285714285,140.31,-12.209999999999129,-16.09,12.29,27131.11,27156.29,310.65999999999985,-335.09000000000015,-117.40999999999984,-142.59000000000017,-22.020000000000003,17.979999999999997,-7.600000000000001,-4.969999999999999,645.75,lower,,26675.4,27273.7,110.29999999999929,,,,,,12801.303
25,1697018400.0,27273.7,27337.0,27204.6,27268.4,8080.012,220294705.9531,2023-10-11 10:00:00,7.159e-05,-0.00025733,68483.888,47.71,27419.95,27104.34,27262.14,27577.75,26946.54,27735.55,26788.74,-96.62,-103.95,7.33,20.76,24.29,26.18,21.38,4831.370714285715,208.78,-6.260000000002037,-16.45,12.33,27113.15,27201.13,309.34999999999854,-321.8600000000006,-67.27000000000044,-155.25,-22.29,17.71,-3.5299999999999976,7.329999999999998,631.2099999999991,,,26675.4,,,,,,,,12801.303
26,1697022000.0,27268.4,27288.0,27159.9,27182.5,5464.989,148782209.1774,2023-10-11 11:00:00,7.159e-05,-0.00048993,68306.82,43.43,27410.98,27098.14,27254.56,27567.4,26941.72,27723.82,26785.3,-91.28,-101.42,10.13,19.25,25.05,25.24,20.36,5003.660642857142,172.28,72.06000000000131,-12.13,-0.16,27122.02,27193.68,384.9000000000015,-240.77999999999884,11.180000000000293,-60.47999999999956,-26.57,13.43,-5.800000000000001,10.14,625.6800000000003,,,26675.4,,,,,,,,12801.303
27,1697025600.0,27182.5,27250.0,27027.0,27160.4,9034.336,245175437.621,2023-10-11 12:00:00,7.159e-05,-0.00028396,68764.50999999,42.38,27399.01,27092.17,27245.59,27552.43,26938.75,27705.86,26785.32,-87.83,-98.7,10.87,16.95,29.18,25.33,20.14,5594.978428571429,591.31,85.18999999999869,-22.34,-7.94,27140.34,27180.36,392.0299999999989,-221.65000000000143,19.959999999999127,-20.06000000000131,-27.62,12.380000000000004,-12.23,10.870000000000005,613.6800000000003,,,26675.4,,,,,,,,12801.303
28,1697029200.0,27160.4,27175.2,27064.0,27133.7,3765.676,102089793.4955,2023-10-11 13:00:00,7.159e-05,-0.00017435,68416.23,41.08,27388.13,27081.74,27234.93,27541.33,26928.54,27694.53,26775.34,-86.25,-96.21,9.96,15.93,27.42,25.41,19.8,5797.113571428571,202.13,101.22999999999956,-15.86,-1.56,27142.88,27161.7,407.630000000001,-205.15999999999983,28.0,9.180000000000293,-28.92,11.079999999999998,-11.490000000000002,9.959999999999994,612.7900000000009,,,26675.4,,,,,,,,12801.303
29,1697032800.0,27133.7,27155.3,27010.0,27084.1,4395.837,119010240.3482,2023-10-11 14:00:00,7.159e-05,-0.00029535,68635.923,38.72,27375.11,27066.03,27220.57,27529.65,26911.48,27684.19,26756.94,-87.98,-94.56,6.57,14.68,28.18,25.85,19.65,6018.258714285715,221.14,136.47000000000116,-5.71,-3.02,27140.94,27130.66,445.5500000000029,-172.61999999999898,46.56000000000131,56.84000000000015,-31.28,8.719999999999999,-13.5,6.579999999999998,618.1700000000019,,,26675.4,,,,,,,,12801.303
30,1697036400.0,27084.1,27091.4,26706.8,26770.9,26880.373,721639673.5481,2023-10-11 15:00:00,7.159e-05,-0.00023212,69091.27,27.81,27356.0,26999.49,27177.74,27534.25,26821.23,27712.5,26642.98,-113.33,-98.32,-15.01,12.0,37.42,27.67,21.82,7876.457357142856,1858.19,406.84000000000015,83.16,-13.17,27108.96,26986.75,763.3499999999985,50.32999999999811,215.84999999999852,338.0599999999977,-42.19,-2.1900000000000013,-25.42,-15.010000000000003,713.0200000000004,lower,EntryPreparationState,26675.4,,,,,,,,12801.303
31,1697040000.0,26770.9,26782.3,26588.0,26675.4,18533.158,494675259.9669,2023-10-11 16:00:00,0.0001,-0.0002344,69870.306,25.46,27334.65,26925.14,27129.9,27539.41,26720.39,27744.16,26515.64,-139.51,-106.55,-32.95,10.92,39.56,29.75,24.05,7875.8095,-0.64,454.5,110.59,-5.89,27071.92,26862.21,864.0099999999984,44.98999999999796,186.80999999999767,396.5199999999968,-44.54,-4.539999999999999,-28.64,-32.959999999999994,819.0200000000004,lower,PositionState,26675.4,26818.5,,-143.09999999999854,52.60000000000218,-214.39999999999785,-81.64687499999854,93.86000000000058,12801.303
32,1698296400.0,34715.8,34717.3,34518.4,34537.5,2898.242,100320323.4822,2023-10-26 05:00:00,0.0001,0.00034401,58968.951,52.58,34726.5,34379.73,34553.11,34899.88,34206.34,35073.27,34032.96,167.96,203.98,-36.02,20.13,17.41,27.95,32.49,5231.56285714286,-1177.89,15.610000000000582,-178.94,-4.91,34653.75,34652.42,362.3799999999974,-331.1600000000035,114.91999999999824,116.25,-17.42,22.58,2.719999999999999,-36.01999999999998,693.5400000000009,upper,,34270.7,34537.5,-250.40000000000143,,,,,,5867.406
