,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
1645,1777,1623603600000.0,36992.5,37504.0,36852.0,37288.5,4263.497,158979407.8845,2021-06-13 17:00:00,-9.35e-06,-0.000698,9602.975,71.44,36519.51,35395.67,35957.59,37081.44,34833.74,37643.36,34271.82,214.0,16.2,197.79,35.09,11.7,17.44,16.7,2914.0237857142856,-1.03,-1330.9100000000035,863.03,17.77,36146.05,36866.45,-207.05999999999767,-2454.760000000002,-422.0500000000029,-1142.449999999997,1.4399999999999977,41.44,23.390000000000004,197.8,2247.7000000000044,PositionState,upper,37288.5,39830.5,0.0,2542.0,3404.0,0.0,2291.05,0,3214.300000000003
1694,1826,1623780000000.0,40666.0,41300.0,40489.5,40603.0,6591.631,267639993.493,2021-06-15 18:00:00,0.0001,0.000511,8742.48699999,59.77,40406.52,39926.85,40166.68,40646.35,39687.01,40886.19,39447.17,219.7,238.34,-18.64,31.83,17.83,20.69,28.46,3009.542642857143,374.57,-436.3199999999997,166.06,13.53,40217.88,40500.47,43.349999999998545,-915.989999999998,-102.52999999999884,-385.1200000000026,-10.229999999999997,29.770000000000003,14.0,-18.640000000000015,959.3399999999965,PositionState,upper,40603.0,39989.0,0.0,-614.0,0.0,-614.0,-307.0,0,-255.73999999999796
1987,2119,1624834800000.0,34399.5,34755.0,34172.0,34690.5,4460.782,154746757.971,2021-06-27 23:00:00,-0.00066906,-0.000995,10344.379,71.84,33625.82,32585.81,33105.82,34145.82,32065.81,34665.82,31545.81,371.87,260.56,111.31,34.34,13.57,18.71,19.35,4605.637285714286,-111.79,-1584.6800000000003,1053.02,17.96,33255.38,34142.95,-544.6800000000003,-2624.6899999999987,-547.5500000000029,-1435.1200000000026,1.8400000000000034,41.84,20.770000000000003,111.31,2080.0099999999984,PositionState,upper,34690.5,34186.5,0.0,-504.0,278.5,-571.0,-214.8421052631579,0,267.1000000000058
2019,2151,1624950000000.0,35290.0,35400.0,34773.0,34866.0,4480.282,156209512.212,2021-06-29 07:00:00,0.0001,0.000155,11233.728,55.66,34866.79,34318.08,34592.43,35141.15,34043.72,35415.5,33769.36,232.76,227.07,5.69,27.18,12.89,25.71,26.61,2977.951357142857,-13.55,-273.5699999999997,132.61,1.77,34732.0,34928.41,275.15000000000146,-822.2799999999988,62.41000000000349,-134.0,-14.340000000000003,25.659999999999997,14.29,5.689999999999998,1097.4300000000003,PositionState,upper,34866.0,35133.0,0.0,267.0,1504.0,0.0,989.8809523809524,0,556.3899999999994
2116,2248,1625299200000.0,34449.0,34620.0,34360.0,34514.5,4006.965,138298393.4925,2021-07-03 08:00:00,5.019e-05,-0.000131,13804.396,68.55,34012.34,33365.43,33688.88,34335.79,33041.98,34659.24,32718.53,180.57,73.07,107.5,32.84,13.25,16.6,17.44,2661.7487857142855,178.11,-825.6200000000026,455.25,11.14,33797.11,34280.35,-178.70999999999913,-1472.5199999999968,-234.15000000000146,-717.3899999999994,-1.4500000000000028,38.55,19.590000000000003,107.5,1293.8099999999977,PositionState,upper,34514.5,35293.0,0.0,778.5,1371.0,-69.5,496.475,0,1134.75
2209,2341,1625634000000.0,34671.5,34846.0,34544.5,34779.5,2838.205,98711350.79750001,2021-07-07 05:00:00,-2.917e-05,-0.00074,12368.606,63.39,34500.63,33991.35,34245.99,34755.27,33736.71,35009.91,33482.07,88.03,1.45,86.57,24.92,13.76,16.28,18.05,2648.8572142857142,-59.64,-533.510000000002,153.92,4.2,34273.5,34635.88,-24.2300000000032,-1042.7900000000009,-143.62000000000262,-506.0,-6.609999999999999,33.39,11.160000000000002,86.58,1018.5599999999977,PositionState,upper,34779.5,34537.0,0.0,-242.5,45.0,-242.5,-100.40625,0,-48.21999999999389
2266,2398,1625839200000.0,33385.0,33648.5,33307.5,33515.0,4302.912,144212095.68,2021-07-09 14:00:00,7.536e-05,-0.000873,14217.706,63.09,33219.29,32740.54,32979.91,33458.67,32501.16,33698.05,32261.78,26.46,-71.67,98.13,30.14,17.88,20.23,26.68,2978.2766428571426,46.03,-535.0899999999965,335.86,13.07,32993.55,33324.24,-56.330000000001746,-1013.8400000000001,-190.76000000000204,-521.4499999999971,-6.909999999999997,33.09,12.260000000000002,98.13,957.5099999999984,PositionState,upper,33515.0,33400.0,0.0,-115.0,494.5,-152.5,183.92857142857142,0,326.1399999999994
2322,2454,1626040800000.0,34410.5,34540.0,34312.5,34356.5,2000.911,68744298.7715,2021-07-11 22:00:00,0.0001,-0.001294,14808.614,68.5,34129.96,33619.63,33874.79,34385.12,33364.46,34640.28,33109.3,151.19,95.66,55.52,32.41,8.38,25.78,18.68,2084.365857142857,-63.19,-481.7099999999991,294.94,11.53,33996.72,34243.35,28.62000000000262,-992.0400000000009,-113.15000000000146,-359.77999999999884,-1.5,38.5,24.029999999999994,55.53,1020.6600000000035,PositionState,upper,34356.5,34082.0,0.0,-274.5,56.0,-274.5,-93.125,0,-56.05999999999767
2470,2602,1626573600000.0,32177.5,32246.5,32141.5,32186.0,1450.901,46698699.586,2021-07-18 02:00:00,0.0001,-0.00058,15077.396,64.84,31970.69,31535.66,31753.18,32188.21,31318.15,32405.72,31100.63,96.7,33.22,63.47,33.47,16.15,15.94,17.68,2004.3294999999998,-7.63,-432.8199999999997,251.89,3.57,31824.72,32080.78,2.209999999999127,-867.8499999999985,-105.22000000000116,-361.27999999999884,-5.159999999999997,34.84,17.32,63.480000000000004,870.0599999999977,PositionState,upper,32186.0,31715.5,0.0,-470.5,0.0,-470.5,-174.91666666666666,0,-232.13999999999942
2545,2677,1626843600000.0,30630.0,30866.0,30534.0,30662.5,3524.85,108080713.125,2021-07-21 05:00:00,-0.00017541,-0.000792,18698.06399999,65.99,30251.61,29660.98,29956.3,30546.93,29365.66,30842.25,29070.35,-1.21,-148.9,147.68,34.56,16.48,37.87,42.68,2453.0924999999997,-44.75,-706.2000000000007,588.36,20.34,29911.16,30431.44,-115.56999999999971,-1296.8400000000001,-231.0600000000013,-751.3400000000001,-4.010000000000005,35.989999999999995,18.080000000000002,147.69,1181.2700000000004,PositionState,upper,30662.5,32313.5,0.0,1651.0,2036.5,0.0,1308.5,0,1977.420000000002
