start_at,open,high,low,close,volume,turnover,date,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,entry_volume
2023-01-05 13:30:00,1251.55,1252.8,1246.75,1246.9,21883.74,27349943.609,2023-01-05 13:30:00,40.53,1252.92,1249.07,1251.0,1254.84,1247.15,1256.77,1245.22,-0.4,-0.31,-0.08,20.2,26.05,16.34,18.11,9895.540714285715,913.39,4.099999999999909,0.74,-9.21,1250.78,1249.89,7.939999999999827,0.25,2.990000000000009,3.8799999999998818,-29.47,10.530000000000001,-5.850000000000001,-0.09000000000000002,7.689999999999827,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-05 14:00:00,1246.9,1250.15,1246.15,1249.2,16850.01,21034054.492,2023-01-05 14:00:00,46.13,1252.72,1248.92,1250.82,1254.62,1247.02,1256.52,1245.12,-0.49,-0.35,-0.14,18.48,25.11,16.26,17.85,10494.06,598.51,1.6199999999998909,-0.13,-3.8,1250.91,1249.61,5.419999999999845,-2.1800000000000637,0.4099999999998545,1.7100000000000364,-23.869999999999997,16.130000000000003,-6.629999999999999,-0.14,7.599999999999909,0.0,EntryPreparationState,lower,1249.2,1250.65,0.0,1.4500000000000455,0,0.0,None,0
2023-01-06 08:00:00,1247.05,1249.2,1246.95,1248.65,6809.75,8500262.909,2023-01-06 08:00:00,46.77,1251.6,1247.17,1249.39,1253.82,1244.96,1256.03,1242.74,-0.91,-0.57,-0.34,16.79,23.99,18.38,15.83,6332.309285714286,150.58,0.7400000000000091,-0.14,5.13,1248.25,1247.9,5.169999999999845,-3.6900000000000546,-0.75,-0.40000000000009095,-23.229999999999997,16.770000000000003,-7.199999999999999,-0.3400000000000001,8.8599999999999,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 08:30:00,1248.65,1249.7,1248.35,1248.75,3246.46,4054686.318,2023-01-06 08:30:00,47.09,1251.55,1247.1,1249.33,1253.78,1244.87,1256.01,1242.64,-0.84,-0.62,-0.21,17.57,23.07,18.04,15.66,6151.735000000001,-180.57,0.5799999999999272,-0.04,5.57,1248.21,1248.24,5.029999999999973,-3.880000000000109,-0.5099999999999909,-0.5399999999999636,-22.909999999999997,17.090000000000003,-5.5,-0.21999999999999997,8.910000000000082,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 09:00:00,1248.75,1248.8,1245.65,1248.25,10281.47,12819180.079,2023-01-06 09:00:00,45.6,1251.48,1246.97,1249.22,1253.74,1244.71,1255.99,1242.45,-0.82,-0.66,-0.15,16.02,28.59,18.76,15.99,5957.488571428571,-194.24,0.9700000000000273,0.07,-6.28,1247.96,1248.24,5.490000000000009,-3.5399999999999636,-0.009999999999990905,-0.2899999999999636,-24.4,15.600000000000001,-12.57,-0.15999999999999992,9.029999999999973,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 09:30:00,1248.25,1249.0,1246.65,1248.3,5517.54,6883769.445,2023-01-06 09:30:00,45.79,1251.41,1246.86,1249.13,1253.68,1244.59,1255.95,1242.32,-0.79,-0.69,-0.1,15.52,26.7,19.31,16.09,6064.224999999999,106.73,0.8300000000001546,0.02,-0.16,1247.89,1248.26,5.380000000000109,-3.7100000000000364,-0.03999999999996362,-0.4099999999998545,-24.21,15.79,-11.18,-0.10000000000000009,9.090000000000146,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 10:00:00,1248.3,1248.35,1247.7,1247.75,5069.5,6326945.782,2023-01-06 10:00:00,44.02,1251.26,1246.75,1249.0,1253.51,1244.49,1255.77,1242.24,-0.8,-0.71,-0.08,15.22,26.18,19.82,16.12,6002.584285714285,-61.64,1.25,-0.13,-0.27,1247.77,1248.06,5.759999999999991,-3.259999999999991,0.30999999999994543,0.01999999999998181,-25.979999999999997,14.020000000000003,-10.959999999999999,-0.09000000000000008,9.019999999999982,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 10:30:00,1247.75,1248.1,1243.9,1245.1,9500.44,11833654.954,2023-01-06 10:30:00,36.66,1250.69,1246.57,1248.63,1252.75,1244.51,1254.82,1242.44,-1.01,-0.77,-0.23,13.42,33.8,21.48,16.97,6315.7414285714285,313.15,3.5300000000002,-0.95,-9.71,1247.58,1246.87,7.650000000000091,-0.5899999999999181,1.7699999999999818,2.480000000000018,-33.34,6.659999999999997,-20.379999999999995,-0.24,8.240000000000009,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 11:00:00,1245.1,1246.3,1236.35,1242.95,54583.8,67766728.197,2023-01-06 11:00:00,31.99,1250.2,1245.98,1248.09,1252.3,1243.87,1254.41,1241.77,-1.34,-0.88,-0.45,10.3,43.57,24.36,18.56,9678.4,3362.65,5.139999999999873,-0.56,-14.68,1247.11,1245.3,9.349999999999909,0.9199999999998454,2.349999999999909,4.1599999999998545,-38.010000000000005,1.9899999999999984,-33.269999999999996,-0.4600000000000001,8.430000000000064,0.0,IdleState,lower,0.0,0.0,0.0,0.0,0,0.0,None,0
2023-01-06 11:30:00,1242.95,1244.55,1241.0,1243.55,14720.94,18298305.0255,2023-01-06 11:30:00,34.5,1249.95,1245.36,1247.66,1252.24,1243.07,1254.53,1240.78,-1.53,-1.01,-0.51,9.46,40.0,27.03,20.04,10449.67,771.27,4.110000000000127,0.28,-0.39,1246.7,1244.6,8.690000000000055,-0.4800000000000182,1.0499999999999545,3.150000000000091,-35.5,4.5,-30.54,-0.52,9.170000000000073,0.0,EntryPreparationState,lower,1243.55,1250.25,0.0,6.7000000000000455,0,0.0,None,0
