Serial,Date,Message,serial,date,message
,,,16489.0,2024-01-08 19:00:00,"Current profit: 1887.9000000000015,current price: 47005.9,entry price: 45118.0"
,,,16490.0,2024-01-08 20:00:00,"Current profit: 1681.9000000000015,current price: 46799.9,entry price: 45118.0"
,,,16491.0,2024-01-08 21:00:00,"Current profit: 1964.0,current price: 47082.0,entry price: 45118.0"
,,,16492.0,2024-01-08 22:00:00,"Current profit: 1897.4000000000015,current price: 47015.4,entry price: 45118.0"
,,,16493.0,2024-01-08 23:00:00,"Current profit: 1854.800000000003,current price: 46972.8,entry price: 45118.0"
,,,16494.0,2024-01-09 00:00:00,"Current profit: 1582.0,current price: 46700.0,entry price: 45118.0"
,,,16495.0,2024-01-09 01:00:00,"Current profit: 1471.199999999997,current price: 46589.2,entry price: 45118.0"
,,,16496.0,2024-01-09 02:00:00,"Current profit: 1684.0,current price: 46802.0,entry price: 45118.0"
,,,16497.0,2024-01-09 03:00:00,"Current profit: 1831.199999999997,current price: 46949.2,entry price: 45118.0"
,,,16498.0,2024-01-09 04:00:00,"Current profit: 1705.800000000003,current price: 46823.8,entry price: 45118.0"
,,,16499.0,2024-01-09 05:00:00,"Current profit: 1623.4000000000015,current price: 46741.4,entry price: 45118.0"
,,,16500.0,2024-01-09 06:00:00,"Current profit: 1683.4000000000015,current price: 46801.4,entry price: 45118.0"
,,,16501.0,2024-01-09 07:00:00,"Current profit: 1737.0,current price: 46855.0,entry price: 45118.0"
,,,16502.0,2024-01-09 08:00:00,"Current profit: 1455.300000000003,current price: 46573.3,entry price: 45118.0"
,,,16503.0,2024-01-09 09:00:00,"Current profit: 1401.5,current price: 46519.5,entry price: 45118.0"
,,,16504.0,2024-01-09 10:00:00,"Current profit: 1356.800000000003,current price: 46474.8,entry price: 45118.0"
,,,16505.0,2024-01-09 11:00:00,"Current profit: 1525.9000000000015,current price: 46643.9,entry price: 45118.0"
,,,16506.0,2024-01-09 12:00:00,"Current profit: 1068.300000000003,current price: 46186.3,entry price: 45118.0"
,,,16507.0,2024-01-09 12:00:00,go to IdleState
,,,16508.0,2024-01-09 12:00:00,アイドル状態に遷移します。
,,,16509.0,2024-01-09 13:00:00,go to EntryPreparationState
,,,16510.0,2024-01-09 13:00:00,エントリー準備状態に遷移します。
,,,16511.0,2024-01-09 14:00:00,go to PositionState
,,,16512.0,2024-01-09 14:00:00,エントリーイベントが発生。ポジション状態に遷移します。
,,,16513.0,2024-01-09 15:00:00,"Current profit: 297.3000000000029,current price: 46875.0,entry price: 46577.7"
