2024-05-04 14:31:50,737 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:31:51,292 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 14:38:05,405 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:38:06,437 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 14:45:06,027 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:45:06,808 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 14:51:14,308 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:51:15,057 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 14:53:50,960 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:53:51,830 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 14:56:13,413 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 14:56:14,139 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:14:12,555 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 15:14:14,963 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:35:47,258 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 15:35:48,456 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:40:45,885 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
2024-05-04 15:40:47,019 INFO: Loading scaler from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.scaler
2024-05-04 15:49:06,012 INFO: Loading model from /Users/ikedatoshihiko/workspace/btctrading_wk/offline/btctrading_offline_ver2_0/AI_DayTrading/data/data_rolling/ETHUSDT_30_['close', 'ema']_model.keras
