start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma,entry_type,entry_volume
2023-01-22 15:00:00,22996.5,23083.0,22622.0,22789.5,17756.391,405446069.477,2023-01-22 15:00:00,0.0001,-8.3e-05,47083.362,49.02,22975.27,22747.36,22861.31,23089.22,22633.41,23203.17,22519.46,57.75,88.4,-30.65,19.05,22.33,27.11,38.44,4614.023071428573,894.49,71.81000000000131,-134.5,-7.05,22878.38,22870.59,299.72000000000116,-156.09000000000015,81.09000000000015,88.88000000000102,-20.979999999999997,19.020000000000003,-3.2799999999999976,-30.650000000000006,455.8100000000013,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 16:00:00,22789.5,22863.0,22681.5,22811.5,5571.314,126912859.848,2023-01-22 16:00:00,0.0001,0.0,46617.15,49.98,22960.16,22752.97,22856.57,23063.76,22649.38,23167.35,22545.78,48.14,80.35,-32.2,17.76,20.82,25.74,36.32,4575.800357142858,-38.22,45.06999999999971,-104.59,-3.71,22869.33,22846.95,252.2599999999984,-162.11999999999898,35.45000000000073,57.830000000001746,-20.020000000000003,19.979999999999997,-3.0599999999999987,-32.209999999999994,414.3799999999974,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 17:00:00,22811.5,22959.5,22776.5,22920.0,6646.618,152124251.0165,2023-01-22 17:00:00,0.0001,4.6e-05,47415.115,54.53,22933.73,22791.49,22862.61,23004.86,22720.36,23075.98,22649.24,48.72,74.03,-25.3,20.15,19.4,24.04,34.41,4870.144785714287,294.34,-57.38999999999942,-155.34,2.51,22869.83,22876.17,84.86000000000058,-199.63999999999942,-43.830000000001746,-50.169999999998254,-15.469999999999999,24.53,0.75,-25.310000000000002,284.5,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 18:00:00,22920.0,22935.0,22814.0,22837.5,2943.342,67304002.6465,2023-01-22 18:00:00,0.0001,-1.7e-05,46919.417,50.75,22926.85,22793.58,22860.22,22993.49,22726.95,23060.12,22660.31,42.04,67.63,-25.58,19.22,18.5,22.45,32.7,4786.829571428572,-83.31,22.720000000001164,-76.85,2.35,22867.55,22860.7,155.9900000000016,-110.54999999999927,23.200000000000728,30.049999999999272,-19.25,20.75,0.7199999999999989,-25.589999999999996,266.5400000000009,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 19:00:00,22837.5,22855.0,22660.0,22717.5,5493.115,125032070.037,2023-01-22 19:00:00,0.0001,-9.1e-05,47126.261,45.78,22918.01,22775.24,22846.62,22989.39,22703.86,23060.77,22632.48,26.76,59.46,-32.69,17.78,23.01,21.76,31.7,5008.2377857142865,221.4,129.11999999999898,7.61,-6.87,22849.72,22803.42,271.8899999999994,-13.639999999999418,85.91999999999825,132.22000000000116,-24.22,15.780000000000001,-5.23,-32.7,285.52999999999884,None,None,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 20:00:00,22717.5,22728.0,22277.0,22457.5,23415.281,526800774.911,2023-01-22 20:00:00,0.0001,-0.000193,46551.673,37.27,22920.69,22698.44,22809.56,23031.81,22587.32,23142.93,22476.2,-6.25,46.31,-52.57,15.0,32.71,22.86,31.64,6504.613000000002,1496.37,352.0600000000013,154.86,-13.91,22812.72,22665.05,574.3100000000013,129.8199999999997,207.54999999999927,355.22000000000116,-32.73,7.270000000000003,-17.71,-52.56,444.4900000000016,EntryPreparationState,lower,22590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,3989.558
2023-01-22 21:00:00,22457.5,22644.0,22320.0,22590.0,9759.217,219432954.383,2023-01-22 21:00:00,0.0001,2.8e-05,44872.877,43.08,22911.38,22665.92,22788.65,23034.12,22543.19,23156.85,22420.46,-21.48,32.75,-54.24,13.37,29.17,23.88,31.28,7033.297857142858,528.68,198.65000000000146,88.86,-0.87,22780.44,22635.03,444.119999999999,-46.81000000000131,45.029999999998836,190.4399999999987,-26.92,13.079999999999998,-15.800000000000002,-54.230000000000004,490.9300000000003,PositionState,lower,22590.0,22756.0,0.0,-166.0,0.0,-166.0,-106.4375,0,-83.45000000000073,None,3989.558
2023-01-24 17:00:00,22875.0,22928.5,22786.0,22913.5,3968.873,90776827.0675,2023-01-24 17:00:00,0.0001,0.0,48541.574,49.22,23020.93,22845.54,22933.23,23108.63,22757.84,23196.33,22670.14,-0.5,18.74,-19.24,13.04,21.82,17.38,17.4,5659.29692857143,133.36,19.729999999999563,2.82,-2.45,22896.88,22902.22,195.13000000000102,-155.65999999999985,-11.279999999998836,-16.61999999999898,-20.78,19.22,-8.780000000000001,-19.24,350.7900000000009,None,None,22656.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,14395.545
2023-01-24 18:00:00,22913.5,23050.0,22876.0,22997.0,6591.885,151538748.6305,2023-01-24 18:00:00,0.0001,-9.8e-05,48860.124,53.86,23026.19,22852.42,22939.31,23113.08,22765.53,23199.97,22678.64,5.09,16.01,-10.91,17.25,20.2,16.7,17.38,5982.7561428571435,323.45,-57.68999999999869,-3.44,4.98,22913.22,22940.13,116.08000000000175,-231.47000000000116,-56.86999999999898,-83.77999999999884,-16.14,23.86,-2.9499999999999993,-10.920000000000002,347.5500000000029,None,None,22656.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,14395.545
2023-01-24 19:00:00,22997.0,23086.5,22959.0,23017.0,3160.916,72757605.8725,2023-01-24 19:00:00,0.0001,-0.000144,48467.304,54.92,23032.55,22860.86,22946.71,23118.39,22775.02,23204.23,22689.18,11.02,15.01,-3.99,17.88,19.08,15.74,17.2,5966.854142857145,-15.9,-70.29000000000087,0.26,5.96,22925.94,22970.87,101.38999999999942,-241.97999999999956,-46.13000000000102,-91.06000000000131,-15.079999999999998,24.92,-1.1999999999999993,-3.99,343.369999999999,None,None,22656.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,None,14395.545
