,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
20,1696633200.0,27957.3,27969.8,27858.6,27912.5,5156.258,143891061.0878,2023-10-06 23:00:00,4.57e-06,-0.000698,64677.568,57.3,27997.27,27571.31,27784.29,28210.25,27358.33,28423.24,27145.35,108.17,80.64,27.52,23.61,15.99,16.49,16.1,10187.147214285713,103.33,-128.20999999999913,30.79,-5.44,27936.42,27941.19,297.75,-554.1699999999983,28.68999999999869,23.919999999998254,-12.700000000000003,27.299999999999997,7.619999999999999,27.53,851.9199999999983,upper,PositionState,27864.2,27871.6,48.29999999999927,,,,,
21,1696636800.0,27912.5,27943.0,27817.5,27899.8,3608.936,100646509.8396,2023-10-07 00:00:00,3.193e-05,-0.000558,64739.076,56.68,28005.42,27585.16,27795.29,28215.55,27375.03,28425.68,27164.9,103.57,85.23,18.34,22.51,16.77,16.35,16.06,9973.156142857144,-213.99,-104.5099999999984,3.51,-2.87,27932.95,27924.63,315.75,-524.7700000000004,24.830000000001746,33.150000000001455,-13.32,26.68,5.740000000000002,18.33999999999999,840.5200000000004,upper,PositionState,27864.2,27871.6,35.599999999998545,,,,,
22,1696640400.0,27899.8,27941.7,27862.0,27891.8,1564.539,43650551.5704,2023-10-07 01:00:00,3.193e-05,-0.000356,64016.119,56.26,28007.7,27601.26,27804.48,28210.92,27398.04,28414.14,27194.82,98.15,87.81,10.33,21.81,16.25,16.23,16.46,9764.853928571427,-208.3,-87.31999999999971,-22.34,-1.28,27936.02,27911.5,319.119999999999,-493.7599999999984,19.700000000000728,44.220000000001164,-13.740000000000002,26.259999999999998,5.559999999999999,10.340000000000003,812.8799999999974,upper,PositionState,27864.2,27871.6,27.599999999998545,,,,,
23,1696644000.0,27891.8,27910.0,27853.8,27858.6,1184.353,33018197.6836,2023-10-07 02:00:00,3.193e-05,-0.000478,64245.741,54.48,28002.12,27617.16,27809.64,28194.6,27424.67,28387.08,27232.19,90.13,88.28,1.85,21.3,16.21,16.04,16.88,8054.1474285714285,-1710.7,-48.95999999999913,-47.57,-1.17,27926.32,27890.34,336.0,-433.9300000000003,31.7400000000016,67.72000000000116,-15.520000000000003,24.479999999999997,5.09,1.8499999999999943,769.9300000000003,upper,PositionState,27864.2,27871.6,-5.600000000002183,,,,,
24,1696647600.0,27858.6,27929.9,27853.3,27887.7,3367.924,93941220.1576,2023-10-07 03:00:00,3.193e-05,-0.00051,64289.805,55.8,28006.87,27627.27,27817.07,28196.67,27437.47,28386.47,27247.67,85.14,87.65,-2.5,21.46,15.68,16.0,17.33,6565.733,-1488.41,-70.63000000000102,-27.05,0.18,27926.11,27889.28,308.9699999999975,-450.22999999999956,1.5799999999981083,38.409999999999854,-14.200000000000003,25.799999999999997,5.780000000000001,-2.510000000000005,759.1999999999971,upper,PositionState,27864.2,27871.6,23.5,,,,,
25,1696651200.0,27887.7,27920.8,27887.7,27901.3,693.593,19356757.6371,2023-10-07 04:00:00,3.193e-05,-0.000483,64409.5,56.44,28010.14,27640.05,27825.09,28195.19,27455.0,28380.23,27269.95,81.35,86.39,-5.03,21.13,15.45,15.97,16.82,5912.539142857144,-653.19,-76.20999999999913,-16.93,0.05,27922.15,27894.09,293.8899999999994,-446.2999999999993,-7.209999999999127,20.850000000002183,-13.560000000000002,26.439999999999998,5.68,-5.040000000000006,740.1899999999987,upper,PositionState,27864.2,27871.6,37.099999999998545,,,,,
26,1696654800.0,27901.3,27931.0,27874.5,27887.6,845.593,23589515.5125,2023-10-07 05:00:00,3.193e-05,-0.000432,64562.611,55.57,28013.72,27648.37,27831.04,28196.39,27465.7,28379.06,27283.03,76.36,84.38,-8.02,20.57,15.66,15.79,16.27,4471.529928571428,-1441.0,-56.55999999999767,-10.97,-1.1,27913.35,27891.49,308.7900000000009,-421.8999999999978,3.890000000003056,25.75,-14.43,25.57,4.91,-8.019999999999996,730.6899999999987,upper,PositionState,27864.2,27871.6,23.399999999997817,,,,,
27,1696658400.0,27887.6,27898.6,27862.0,27875.0,910.379,25378883.602,2023-10-07 06:00:00,3.193e-05,-0.000538,64430.585,54.73,28013.84,27656.62,27835.23,28192.45,27478.01,28371.06,27299.4,70.58,81.62,-11.04,20.19,16.0,15.49,15.64,3749.169142857143,-722.36,-39.77000000000044,-15.04,-1.27,27896.84,27884.89,317.4500000000007,-396.9900000000016,9.889999999999418,21.840000000000146,-15.270000000000003,24.729999999999997,4.190000000000001,-11.040000000000006,714.4400000000023,upper,PositionState,27864.2,27871.6,10.799999999999272,,,,,
28,1696662000.0,27875.0,27909.0,27873.9,27875.7,858.1,23930894.6878,2023-10-07 07:00:00,3.193e-05,-0.000475,64277.702,54.78,28016.62,27661.55,27839.08,28194.15,27484.02,28371.68,27306.49,65.29,78.36,-13.06,20.36,15.7,15.31,15.11,3369.9662142857137,-379.2,-36.61999999999898,-8.25,0.08,27887.77,27881.21,318.4500000000007,-391.6800000000003,5.509999999998399,12.069999999999709,-15.219999999999999,24.78,4.66,-13.069999999999993,710.130000000001,upper,PositionState,27864.2,27871.6,11.5,,,,,
29,1696665600.0,27875.7,28020.8,27866.0,27993.9,3118.283,87171244.0819,2023-10-07 08:00:00,4.409e-05,-0.000441,64318.749,61.12,27964.89,27742.76,27853.83,28075.96,27631.7,28187.02,27520.63,69.84,76.65,-6.81,24.58,14.42,16.07,15.25,3315.9054285714287,-54.06,-140.0699999999997,-264.17,5.66,27896.82,27926.29,82.05999999999767,-362.2000000000007,-67.61000000000058,-97.08000000000175,-8.880000000000003,31.119999999999997,10.159999999999998,-6.810000000000002,444.2599999999984,upper,PositionState,27864.2,27871.6,129.70000000000073,,,,,
30,1696669200.0,27993.9,28011.9,27922.0,27938.7,1860.568,52025767.369,2023-10-07 09:00:00,4.409e-05,-0.000492,64266.418,57.09,27933.31,27790.51,27861.91,28004.71,27719.11,28076.11,27647.71,68.2,74.96,-6.75,23.39,13.73,16.79,15.39,3083.2752857142855,-232.63,-76.79000000000087,-276.85,3.72,27901.14,27931.25,66.0099999999984,-219.59000000000015,-7.450000000000728,-37.56000000000131,-12.909999999999997,27.090000000000003,9.66,-6.759999999999991,285.59999999999854,upper,PositionState,27864.2,27871.6,74.5,,,,,
31,1696672800.0,27938.7,27948.0,27913.2,27934.4,1349.208,37680743.6068,2023-10-07 10:00:00,4.409e-05,-0.00046,64332.902,56.78,27911.75,27825.88,27868.81,27954.69,27782.94,27997.62,27740.01,65.8,73.13,-7.32,22.93,13.95,17.32,16.25,2988.4714999999997,-94.8,-65.59000000000015,-185.09,-1.86,27905.87,27932.51,20.289999999997235,-151.46000000000276,-1.890000000003056,-28.530000000002474,-13.219999999999999,26.78,8.98,-7.329999999999998,171.75,upper,PositionState,27864.2,27871.6,70.20000000000073,,,,,
32,1696676400.0,27934.4,27997.2,27919.0,27926.1,1674.906,46826030.697,2023-10-07 11:00:00,4.409e-05,-0.000561,64620.257,56.14,27917.15,27831.39,27874.27,27960.03,27788.51,28002.9,27745.63,62.51,71.01,-8.49,24.75,13.32,18.23,17.25,2232.1738571428573,-756.29,-51.82999999999811,-50.25,1.98,27913.37,27929.94,33.93000000000029,-137.59000000000015,3.8400000000001455,-12.729999999999563,-13.86,26.14,11.43,-8.500000000000007,171.52000000000044,upper,PositionState,27864.2,27871.6,61.89999999999782,,,,,
33,1696680000.0,27926.1,27968.6,27923.1,27941.4,1075.702,30061122.3446,2023-10-07 12:00:00,4.409e-05,-0.000591,64481.515,57.1,27921.93,27839.39,27880.66,27963.21,27798.12,28004.48,27756.84,60.43,68.89,-8.45,24.06,12.95,19.07,17.78,1947.738714285714,-284.43,-60.7400000000016,-1.09,1.5,27919.34,27934.52,21.80999999999767,-143.28000000000247,-6.880000000001019,-22.06000000000131,-12.899999999999999,27.1,11.11,-8.46,165.09000000000015,upper,PositionState,27864.2,27871.6,77.20000000000073,,,,,
34,1696683600.0,27941.4,27958.3,27881.0,27919.1,1975.36,55147333.7635,2023-10-07 13:00:00,4.409e-05,-0.000669,64676.836,55.2,27925.24,27843.41,27884.32,27966.15,27802.49,28007.07,27761.57,56.34,66.38,-10.03,22.9,14.96,19.21,17.78,1720.5317142857143,-227.2,-34.779999999998836,1.75,-3.86,27921.32,27928.35,47.05000000000291,-116.60999999999694,9.25,2.220000000001164,-14.799999999999997,25.200000000000003,7.939999999999998,-10.039999999999992,163.65999999999985,upper,PositionState,27864.2,27871.6,54.89999999999782,,,,,
35,1696687200.0,27919.1,27937.3,27895.0,27934.9,1057.683,29525815.1665,2023-10-07 14:00:00,4.409e-05,-0.000554,64820.947,56.31,27929.51,27848.77,27889.14,27969.88,27808.4,28010.25,27768.02,53.75,63.86,-10.1,22.26,14.54,19.33,17.78,1538.2993571428572,-182.23,-45.76000000000204,0.76,-1.37,27926.57,27930.97,34.97999999999956,-126.5,-3.930000000000291,-8.330000000001746,-13.689999999999998,26.310000000000002,7.720000000000002,-10.11,161.47999999999956,upper,PositionState,27864.2,27871.6,70.70000000000073,,,,,
36,1696690800.0,27934.9,27955.6,27883.7,27925.2,1278.381,35694363.5044,2023-10-07 15:00:00,4.409e-05,-0.000498,64916.264,55.4,27932.83,27852.32,27892.57,27973.08,27812.07,28013.33,27771.82,50.34,61.15,-10.81,22.42,13.84,19.64,17.84,1517.8595000000003,-20.43,-32.63000000000102,3.26,0.22,27932.15,27928.66,47.88000000000102,-113.13000000000102,3.459999999999127,6.950000000000728,-14.600000000000001,25.4,8.580000000000002,-10.809999999999995,161.01000000000204,upper,PositionState,27864.2,27871.6,61.0,,,,,
37,1696694400.0,27925.2,27944.8,27914.0,27922.0,749.562,20936406.1923,2023-10-07 16:00:00,-3.952e-05,-0.000681,64739.38,55.08,27934.33,27856.42,27895.37,27973.28,27817.47,28012.24,27778.51,46.84,58.29,-11.45,21.93,13.54,19.93,17.96,1486.8029999999999,-31.05,-26.63000000000102,-2.0,-0.03,27937.3,27925.99,51.279999999998836,-104.52999999999884,3.9900000000016007,15.299999999999272,-14.920000000000002,25.08,8.39,-11.449999999999996,155.80999999999767,upper,PositionState,27864.2,27871.6,57.79999999999927,,,,,
38,1696698000.0,27922.0,27943.0,27880.5,27914.1,1355.845,37841522.1893,2023-10-07 17:00:00,-3.952e-05,-0.000592,64928.762,54.26,27928.08,27866.24,27897.16,27959.0,27835.31,27989.92,27804.39,42.93,55.22,-12.28,20.93,15.36,19.6,17.78,1343.0830714285714,-143.71,-16.93999999999869,-31.92,-3.31,27928.43,27921.23,44.900000000001455,-78.78999999999724,7.130000000001019,14.330000000001746,-15.740000000000002,24.259999999999998,5.57,-12.29,123.68999999999869,upper,PositionState,27864.2,27871.6,49.89999999999782,,,,,
39,1696701600.0,27914.1,27925.6,27838.4,27871.6,2946.253,82118246.5892,2023-10-07 18:00:00,-3.952e-05,-0.000865,64861.659,49.94,27925.4,27864.04,27894.72,27956.08,27833.36,27986.76,27802.68,35.99,51.37,-15.38,19.59,17.46,18.61,17.2,1503.9873571428573,160.9,23.12000000000262,-15.24,-4.44,27920.97,27901.38,84.4800000000032,-38.23999999999796,29.780000000002474,49.37000000000262,-20.060000000000002,19.939999999999998,2.129999999999999,-15.379999999999995,122.72000000000116,upper,,27864.2,27871.6,7.399999999997817,,,,,
40,1696705200.0,27871.6,27901.9,27829.0,27848.3,1958.129,54567928.5625,2023-10-07 19:00:00,-3.952e-05,-0.000735,64902.049,47.7,27923.84,27856.77,27890.3,27957.37,27823.23,27990.91,27789.69,28.28,46.75,-18.47,18.52,17.21,17.54,16.52,1583.454214285714,79.46,42.0,8.5,-2.16,27911.41,27880.15,109.06999999999971,-25.06999999999971,31.850000000002183,63.11000000000058,-22.299999999999997,17.700000000000003,1.3099999999999987,-18.47,134.13999999999942,,,,,,,,,,
41,1696708800.0,27848.3,27908.1,27837.7,27906.3,1043.577,29086601.2495,2023-10-07 20:00:00,-3.952e-05,-0.000566,64906.744,53.32,27925.32,27858.33,27891.82,27958.81,27824.84,27992.3,27791.35,26.54,42.71,-16.16,18.0,16.29,16.65,15.98,1592.9683571428573,9.51,-14.479999999999563,1.11,-0.66,27909.21,27890.61,52.51000000000204,-81.45999999999913,-15.68999999999869,2.9099999999998545,-16.68,23.32,1.7100000000000009,-16.17,133.97000000000116,,,,,,,,,,
42,1696712400.0,27906.3,27939.0,27894.8,27917.5,1043.741,29139990.0951,2023-10-07 21:00:00,-3.952e-05,-0.000529,64681.119,54.34,27927.62,27860.92,27894.27,27960.97,27827.57,27994.32,27794.21,25.78,39.32,-13.54,19.82,15.72,16.28,16.18,1606.2284285714286,13.26,-23.229999999999563,0.87,1.86,27906.55,27901.36,43.470000000001164,-89.93000000000029,-16.139999999999418,-10.950000000000728,-15.659999999999997,24.340000000000003,4.1,-13.54,133.40000000000146,,,,,,,,,,
43,1696716000.0,27917.5,27939.4,27910.0,27939.1,798.696,22306679.7652,2023-10-07 22:00:00,-3.952e-05,-0.000433,64388.322,56.32,27930.39,27866.68,27898.54,27962.25,27834.83,27994.1,27802.98,26.6,36.78,-10.17,19.37,15.34,15.95,16.37,1440.543642857143,-165.68,-40.55999999999767,-3.82,1.75,27908.77,27916.45,23.150000000001455,-104.2699999999968,-22.649999999997817,-30.32999999999811,-13.68,26.32,4.030000000000001,-10.18,127.41999999999825,,,,,,,,,,
