,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
4201,4333,1680300000000.0,28465.8,28603.9,28425.7,28560.0,3001.377,85647656.2863,2023-03-31 22:00:00,-2.597e-05,54073.597,65.06,28438.73,28245.34,28342.04,28535.42,28148.65,28632.12,28051.96,95.34,86.76,8.58,25.81,11.97,28.54,29.2,2733.4286428571427,-383.5,22.95,-175.79,3.62,28404.56,28497.38,PositionState,upper,28560.0,28410.0,0.0,-150.0,43.0,-150.0,-40.88823529411799,-20.13000000000102
4398,4530,1680654600000.0,28234.4,28745.3,28231.5,28657.2,15721.314,448245244.8905,2023-04-05 00:30:00,-8.251e-05,52593.733,73.69,28333.74,28065.14,28199.44,28468.04,27930.84,28602.34,27796.54,66.17,37.54,28.63,40.42,12.68,20.65,20.29,2834.2508571428575,963.2,48.18,268.76,24.34,28238.91,28424.0,PositionState,upper,28657.2,28484.8,0.0,-172.40000000000146,0.0,-218.10000000000218,-121.46153846153945,89.27000000000044
4547,4679,1680922800000.0,27940.5,28065.9,27921.2,28037.7,3324.174,93041128.8385,2023-04-08 03:00:00,5.402e-05,54971.794,66.77,27947.3,27869.66,27908.48,27986.12,27830.84,28024.95,27792.02,11.76,-1.81,13.58,32.53,12.02,16.08,17.3,995.9925714285715,183.63,13.59,78.64,15.67,27909.87,27977.47,PositionState,upper,28037.7,28000.0,0.0,-37.70000000000073,90.79999999999927,-62.60000000000218,8.133333333332363,37.919999999998254
4627,4759,1681066800000.0,28012.0,28273.9,27982.9,28179.2,8047.127,226551034.5437,2023-04-09 19:00:00,6.249e-05,55175.774,75.65,28004.62,27861.67,27933.15,28076.1,27790.2,28147.57,27718.72,19.26,-8.09,27.35,43.48,12.79,24.95,25.14,1724.0415714285716,467.58,25.9,178.85,28.74,27933.37,28066.65,PositionState,upper,28179.2,28219.0,0.0,39.79999999999927,238.29999999999927,-80.90000000000146,98.17999999999957,182.65999999999985
4668,4800,1681140600000.0,28397.2,28580.0,28355.9,28419.2,7740.714,220441389.2973,2023-04-10 15:30:00,-5.131e-05,57896.662,65.94,28340.52,28235.19,28287.85,28393.19,28182.52,28445.85,28129.86,28.31,21.23,7.08,34.38,14.96,23.13,26.49,2535.496142857143,422.45,13.81,67.95,14.7,28285.77,28373.1,PositionState,upper,28419.2,30041.0,0.0,1621.7999999999993,1875.0999999999985,0.0,1315.0063829787225,1743.8199999999997
4723,4855,1681239600000.0,30224.2,30560.5,30172.2,30406.9,13365.89,406322886.7687,2023-04-11 19:00:00,0.0001,59599.014,68.12,30232.15,30058.69,30145.42,30318.88,29971.96,30405.61,29885.23,102.29,106.28,-3.98,32.44,12.79,31.54,38.65,3815.613428571429,599.42,27.52,102.86,13.71,30199.15,30302.24,PositionState,upper,30406.9,30113.0,0.0,-293.90000000000146,0.0,-293.90000000000146,-146.95000000000073,-94.62000000000262
4799,4931,1681376400000.0,30180.9,30370.8,30170.0,30243.6,6965.043,210913527.329,2023-04-13 09:00:00,0.0001,57349.924,67.06,30138.56,29982.15,30060.36,30216.77,29903.94,30294.98,29825.73,46.54,30.36,16.18,35.43,11.51,21.88,19.61,2065.5285,407.0,19.29,33.61,14.7,30089.84,30180.95,PositionState,upper,30243.6,30233.0,0.0,-10.599999999998545,188.40000000000146,-90.5,49.58695652174071,109.38999999999942
4831,4963,1681434000000.0,30739.9,30859.9,30692.9,30782.2,5216.274,160574794.3973,2023-04-14 01:00:00,0.0001,55883.111,76.14,30530.46,30247.64,30389.05,30671.87,30106.23,30813.28,29964.82,90.73,53.1,37.62,41.24,9.09,35.2,38.44,3135.7008571428573,42.36,41.38,262.96,14.85,30413.57,30665.83,PositionState,upper,30782.2,30606.5,0.0,-175.70000000000073,165.70000000000073,-186.70000000000073,-25.70833333333424,32.469999999997526
4962,5094,1681669800000.0,30342.7,30497.0,30301.9,30495.9,2584.12,78566348.1225,2023-04-16 18:30:00,0.0001,56947.633,69.91,30376.53,30259.51,30318.02,30435.05,30201.0,30493.56,30142.49,22.63,5.3,17.32,35.96,17.16,15.33,17.41,1349.661,23.09,18.72,88.5,16.46,30339.87,30410.6,PositionState,upper,30495.9,30306.8,0.0,-189.10000000000218,13.799999999999272,-189.10000000000218,-58.4333333333343,-27.12999999999738
5034,5166,1681799400000.0,29700.3,29728.0,29643.0,29709.5,1717.026,50955864.0902,2023-04-18 06:30:00,0.0001,56663.818,67.4,29610.42,29412.56,29511.49,29709.35,29313.63,29808.28,29214.7,20.79,-22.25,43.04,25.74,20.36,37.06,43.0,2594.5204999999996,31.17,20.85,134.4,5.52,29532.08,29661.18,PositionState,upper,29709.5,30021.8,0.0,312.2999999999993,677.4000000000015,-9.5,344.80000000000007,441.66999999999825
