,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2026,2158,1648735200000.0,46929.5,46930.0,46200.0,46700.0,16175.059,752096922.1124998,2022-03-31 14:00:00,4.928e-05,0.000167,24867.804,38.51,47282.58,46976.48,47129.53,47435.63,46823.42,47588.68,46670.37,-58.36,-33.36,-24.99,15.3,32.09,14.01,17.08,3197.482785714286,1036.52,-45.2,43.81,-19.6,47128.83,46902.48,PositionState,lower,46700.0,45410.5,0.0,1289.5,2309.0,0.0,1342.9791666666667,1624.8199999999997
2147,2279,1649170800000.0,45818.0,45898.0,45660.0,45762.0,3809.087,174331212.339,2022-04-05 15:00:00,0.0001,-7e-06,23141.688,35.2,46644.28,46108.67,46376.47,46912.08,45840.86,47179.89,45573.06,-10.26,89.5,-99.77,20.7,28.65,18.38,17.21,3294.9731428571436,200.77,-64.68,-80.28,-4.03,46444.38,45974.59,PositionState,lower,45762.0,43739.5,0.0,2022.5,2871.5,-275.5,1264.4777777777779,2393.0599999999977
2216,2348,1649419200000.0,43296.0,43401.0,43089.0,43158.0,3412.908,147637658.827,2022-04-08 12:00:00,0.0001,3.8e-05,23821.543,37.31,43665.28,43374.59,43519.93,43810.62,43229.24,43955.97,43083.9,-76.07,-62.21,-13.86,15.27,24.75,20.6,27.69,2255.272285714286,143.75,-38.09,83.19,-5.01,43531.38,43301.55,PositionState,lower,43158.0,43734.5,0.0,-576.5,235.5,-576.5,-113.66666666666667,-121.70999999999913
2362,2494,1649944800000.0,40602.5,40643.0,40279.0,40415.5,9153.965,370179012.477,2022-04-14 14:00:00,9.945e-05,-0.000481,25842.279,38.7,41185.79,40698.35,40942.07,41429.51,40454.62,41673.23,40210.9,37.56,159.05,-121.49,14.75,24.7,24.4,27.09,3242.608142857144,487.61,-55.43,287.09,-7.55,40975.44,40623.38,PositionState,lower,40415.5,40225.5,0.0,190.0,776.0,0.0,442.0833333333333,488.25999999999476
2443,2575,1650236400000.0,39987.0,39988.5,39520.5,39662.0,6723.437,267061490.7185,2022-04-17 23:00:00,5.107e-05,0.0,24641.028,30.19,40375.84,40014.61,40195.22,40556.45,39833.99,40737.07,39653.38,-89.61,-35.93,-53.68,13.73,37.6,18.72,16.49,2521.438214285715,356.27,-56.12,244.58,-11.93,40135.16,39882.06,PositionState,lower,39662.0,39433.5,0.0,228.5,862.0,-123.5,410.5833333333333,534.5099999999948
2555,2687,1650639600000.0,39855.5,39991.5,39284.0,39416.5,12554.965,497572427.0395,2022-04-22 15:00:00,0.0001,-0.000454,26640.309,23.64,40781.72,40197.18,40489.45,41073.99,39904.91,41366.27,39612.63,-368.46,-305.14,-63.32,7.79,39.1,44.46,39.0,4239.0415,756.66,-112.94,18.01,-6.96,40249.94,39756.9,PositionState,lower,39416.5,39683.0,0.0,-266.5,92.5,-272.5,-126.06521739130434,106.88999999999942
2619,2751,1650870000000.0,38628.5,38662.5,38072.0,38448.0,10197.173,391602777.8595,2022-04-25 07:00:00,0.0001,-0.000358,25510.407,28.64,39558.33,38842.05,39200.19,39916.47,38483.91,40274.61,38125.77,-238.08,-152.36,-85.71,11.05,44.08,32.38,26.34,3639.664071428572,411.18,-79.18,233.81,-9.28,38980.5,38645.46,PositionState,lower,38448.0,39056.0,0.0,-608.0,51.5,-608.0,-197.5,-239.45999999999913
2651,2783,1650985200000.0,39258.5,39354.0,38521.0,38545.0,17286.242,674206482.6905,2022-04-26 15:00:00,0.0001,-0.000868,27035.854,24.46,40435.79,39445.78,39940.78,40930.8,38950.77,41425.8,38455.76,-37.57,185.87,-223.44,15.09,35.86,33.65,34.23,4803.794071428571,1104.08,-146.93,852.35,-13.29,40016.38,39106.11,PositionState,lower,38545.0,39103.5,0.0,-558.5,453.5,-558.5,157.58823529411765,305.9100000000035
2756,2888,1651363200000.0,37611.5,37788.0,37450.0,37675.5,4836.207,182029505.9295,2022-05-01 00:00:00,0.0001,-0.000324,25602.502,27.61,38593.29,38029.12,38311.2,38875.37,37747.03,39157.46,37464.95,-223.71,-165.66,-58.05,8.14,38.83,39.07,33.71,3019.032,298.48,-66.92,295.02,-2.56,38175.5,37811.26,PositionState,lower,37675.5,38467.0,0.0,-791.5,0.0,-791.5,-292.875,-400.50999999999476
2821,2953,1651597200000.0,38149.5,38317.0,38050.0,38050.0,2762.597,105479438.9115,2022-05-03 17:00:00,0.0001,2.4e-05,27823.092,36.1,38522.98,38257.2,38390.09,38655.88,38124.31,38788.77,37991.42,-81.95,-38.84,-43.11,10.95,22.96,16.59,15.33,2604.6348571428575,59.88,-35.8,105.9,-1.1,38338.55,38147.58,PositionState,lower,38050.0,38070.5,0.0,-20.5,337.0,-20.5,176.76923076923077,130.02000000000407
2866,2998,1651759200000.0,39005.5,39057.0,38105.0,38207.5,24239.235,934786708.503,2022-05-05 14:00:00,0.0001,1.3e-05,28571.361,25.07,39641.67,38938.39,39290.03,39993.3,38586.76,40344.94,38235.12,5.2,169.12,-163.91,13.71,40.86,37.1,40.41,3516.5776428571435,1604.72,-113.95,651.76,-22.53,39310.05,38730.13,PositionState,lower,38207.5,36067.0,0.0,2140.5,2480.0,0.0,2002.9777777777779,2724.6100000000006
2922,3054,1651960800000.0,34986.5,35319.0,34744.0,35032.5,10603.425,371648160.241,2022-05-07 22:00:00,8.675e-05,0.000298,27611.504,22.83,36055.41,35490.07,35772.74,36338.08,35207.39,36620.76,34924.72,-207.14,-138.4,-68.74,8.3,41.64,36.2,40.4,2623.2387142857147,612.25,-77.92,427.58,-3.71,35696.88,35220.59,PositionState,lower,35032.5,31819.0,0.0,3213.5,4969.0,-429.5,1711.4017857142858,3813.449999999997
3228,3360,1653062400000.0,29130.0,29130.0,28709.0,28888.5,14672.007,424463363.4815,2022-05-20 16:00:00,0.0001,-0.00073,28197.51,30.96,30317.19,29488.29,29902.74,30731.63,29073.85,31146.08,28659.4,-89.02,81.73,-170.75,14.12,34.3,28.76,30.76,6953.561928571428,791.34,-106.75,531.5,-6.73,29932.33,29204.06,PositionState,lower,28888.5,29407.5,0.0,-519.0,0.0,-519.0,-287.6875,-144.9399999999987
3303,3435,1653332400000.0,29850.0,29861.0,29046.0,29059.5,20596.495,605677658.349,2022-05-23 19:00:00,7.361e-05,-0.000566,29465.091,24.11,30390.6,29782.85,30086.73,30694.48,29478.98,30998.35,29175.1,-46.38,85.05,-131.43,12.13,37.85,22.9,23.15,7526.0028571428575,1299.19,-108.13,651.02,-16.53,30101.44,29539.77,PositionState,lower,29059.5,29373.0,0.0,-313.5,112.0,-332.5,-177.1904761904762,309.34000000000015
3365,3497,1653555600000.0,29000.0,29245.5,28861.5,29179.5,9233.375,268483367.6215,2022-05-26 09:00:00,0.0001,-0.00043,27810.308,39.06,29809.23,29389.78,29599.5,30018.96,29180.05,30228.68,28970.33,-71.52,-3.72,-67.79,10.8,29.55,15.53,15.06,4460.030571428571,326.62,-44.22,220.77,-1.94,29591.0,29266.05,PositionState,lower,29179.5,29567.5,0.0,-388.0,385.0,-388.0,27.5625,-126.95999999999913
3398,3530,1653674400000.0,28374.0,28470.0,28256.5,28445.0,15947.91,452548126.8545,2022-05-27 18:00:00,0.0001,-0.00064,28681.795,36.25,29139.79,28695.51,28917.65,29361.93,28473.37,29584.08,28251.23,-181.98,-137.25,-44.73,10.7,30.34,35.17,33.87,12416.291714285715,622.02,-49.75,-80.84,-1.73,28826.33,28521.15,PositionState,lower,28445.0,28811.0,0.0,-366.0,0.0,-418.0,-268.1363636363636,-252.59999999999854
3515,3647,1654095600000.0,31166.0,31215.0,30706.5,30747.5,15557.295,481046455.832,2022-06-01 15:00:00,0.0001,0.000135,29197.822,30.76,31785.12,31266.3,31525.71,32044.53,31006.89,32303.94,30747.48,-72.57,23.42,-95.99,13.7,33.85,25.33,32.69,5337.039857142858,949.36,-81.92,419.79,-6.71,31472.11,31086.9,PositionState,lower,30747.5,30151.5,0.0,596.0,1181.5,0.0,806.7619047619048,1031.2800000000025
