,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,profit_ma
1737,1636329600.0,63264.0,65690.5,63263.5,65195.5,11774.652,761472414.409,2021-11-08 00:00:00,0.00013249,0.000336,18404.486,73.46,63167.89,61088.37,62128.13,64207.65,60048.6,65247.41,59008.84,398.97,28.79,370.18,36.75,14.67,24.07,26.17,3872.5945714285713,646.89,-3067.3700000000026,1879.09,20.23,62362.61,63594.16,-987.8499999999985,-5146.9000000000015,-1601.3399999999965,-2832.8899999999994,3.4599999999999937,43.459999999999994,22.08,370.18,4159.050000000003,PositionState,upper,65195.5,64893.5,0.0,-302.0,3336.5,-302.0,1551.75,0,2613.5099999999948
1997,1640073600.0,48561.5,49318.0,48440.0,48851.5,7701.096,375175997.8165,2021-12-21 08:00:00,0.0001,-0.000153,16791.007,64.96,47998.09,46521.91,47260.0,48736.18,45783.82,49474.27,45045.72,118.6,-157.09,275.7,28.23,15.48,17.68,20.22,7129.8177857142855,75.96,-1591.5,820.29,6.47,47111.22,48159.9,-115.31999999999971,-3067.6800000000003,-691.5999999999985,-1740.2799999999988,-5.040000000000006,34.959999999999994,12.75,275.69,2952.3600000000006,PositionState,upper,48851.5,48134.0,0.0,-717.5,368.5,-717.5,-76.83333333333333,0,314.36999999999534
2012,1640289600.0,51077.5,51141.5,50444.5,50794.0,6033.138,306554924.3435,2021-12-23 20:00:00,0.0001,5e-06,16445.399,70.17,49770.03,47784.26,48777.14,50762.91,46791.38,51755.79,45798.5,627.74,441.16,186.58,35.02,10.96,25.65,22.21,6143.356000000001,-267.35,-2016.8600000000006,172.49,13.93,49123.55,50062.04,-31.089999999996508,-4002.6200000000026,-731.9599999999991,-1670.449999999997,0.1700000000000017,40.17,24.060000000000002,186.57999999999998,3971.530000000006,PositionState,upper,50794.0,49675.5,0.0,-1118.5,306.0,-1118.5,-34.035714285714285,0,196.97000000000116
2035,1640620800.0,51432.5,52119.0,51212.5,51221.0,7666.671,395961632.802,2021-12-27 16:00:00,0.0001,6.5e-05,17325.38599999,61.73,50978.5,50045.14,50511.82,51445.18,49578.45,51911.86,49111.77,409.0,400.53,8.46,29.07,12.06,27.52,32.95,5444.035285714286,346.57,-709.1800000000003,213.86,7.69,50661.66,51080.94,224.1800000000003,-1642.550000000003,-140.05999999999767,-559.3399999999965,-8.270000000000003,31.729999999999997,17.009999999999998,8.470000000000027,1866.7300000000032,PositionState,upper,51221.0,49841.5,0.0,-1379.5,0.0,-1379.5,-631.3333333333334,0,-585.6500000000015
2179,1642694400.0,43253.5,43482.0,42812.0,42915.0,11944.643,514887590.788,2022-01-20 16:00:00,0.0001,9e-06,21478.161,57.59,42706.02,41835.84,42270.93,43141.1,41400.76,43576.19,40965.67,-15.7,-172.02,156.31,26.77,14.31,18.35,20.58,10295.455714285714,104.17,-644.0699999999997,343.45,10.29,42207.05,42671.04,226.09999999999854,-1514.239999999998,-243.95999999999913,-707.9499999999971,-12.409999999999997,27.590000000000003,12.459999999999999,156.32000000000002,1740.3399999999965,PositionState,upper,42915.0,40702.0,0.0,-2213.0,0.0,-2213.0,-1106.5,0,-787.6200000000026
2246,1643659200.0,38385.0,38700.0,38178.5,38440.0,5936.516,228040454.426,2022-01-31 20:00:00,-6.998e-05,-0.00094,20383.819,59.77,38040.25,37248.22,37644.23,38436.26,36852.2,38832.28,36456.19,213.32,183.92,29.39,26.54,14.11,16.83,16.27,8932.002428571428,-523.22,-795.7699999999968,34.21,5.19,37681.22,38067.27,-3.7399999999979627,-1587.800000000003,-372.7300000000032,-758.7799999999988,-10.229999999999997,29.770000000000003,12.43,29.400000000000006,1584.060000000005,PositionState,upper,38440.0,37432.0,0.0,-1008.0,240.5,-1008.0,-58.22727272727273,0,-25.859999999993306
2269,1643990400.0,39479.5,41010.5,39451.5,40709.0,23144.651,932158546.467,2022-02-04 16:00:00,-0.00041531,-0.000745,19857.596,73.75,39002.25,36953.98,37978.11,40026.39,35929.84,41050.52,34905.71,293.38,-11.14,304.52,34.5,10.83,24.29,24.43,14547.038714285716,1276.06,-2730.8899999999994,1243.74,15.35,37838.22,39279.94,-682.6100000000006,-4779.1600000000035,-1429.0599999999977,-2870.779999999999,3.75,43.75,23.67,304.52,4096.550000000003,PositionState,upper,40709.0,43477.0,0.0,2768.0,4204.5,0.0,2276.3815789473683,0,4795.779999999999
2332,1644897600.0,43547.5,43790.5,43367.0,43670.0,5290.125,230466088.442,2022-02-15 04:00:00,0.0001,-0.00068,19254.964,61.03,43119.75,42229.11,42674.43,43565.07,41783.79,44010.39,41338.47,19.76,-145.73,165.5,21.11,14.79,18.46,21.9,8646.755428571429,-339.9,-995.5699999999997,771.8,7.26,42534.38,43167.0,-104.93000000000029,-1886.2099999999991,-503.0,-1135.6200000000026,-8.969999999999999,31.03,6.32,165.48999999999998,1781.2799999999988,PositionState,upper,43670.0,43196.0,0.0,-474.0,854.5,-474.0,279.39285714285717,0,421.9499999999971
2413,1646064000.0,40798.5,41475.0,40690.0,41292.0,23806.142,977720412.4395,2022-02-28 16:00:00,-0.00013808,-0.000528,20586.40199999,66.46,39799.08,38015.33,38907.2,40690.95,37123.46,41582.82,36231.58,355.68,149.68,205.99,30.98,14.46,18.24,21.96,17271.470285714287,781.94,-2384.800000000003,1196.5,12.32,38945.11,40063.76,-601.0500000000029,-4168.540000000001,-1228.239999999998,-2346.8899999999994,-3.5400000000000063,36.459999999999994,16.52,206.0,3567.489999999998,PositionState,upper,41292.0,42519.5,0.0,1227.5,3097.5,0.0,2207.972222222222,0,3039.8899999999994
2464,1646798400.0,41194.5,41878.0,41194.0,41781.5,19090.86,793035054.635,2022-03-09 04:00:00,0.0001,-0.000296,19057.88399999,66.03,40360.31,38325.43,39342.87,41377.75,37307.99,42395.19,36290.55,22.63,-424.24,446.88,30.03,14.89,22.75,24.31,19418.866857142857,486.62,-2438.6299999999974,1642.69,16.79,39244.94,40529.46,-403.75,-4473.510000000002,-1252.0400000000009,-2536.5599999999977,-3.969999999999999,36.03,15.14,446.87,4069.760000000002,PositionState,upper,41781.5,39204.0,0.0,-2577.5,738.0,-2577.5,-268.57142857142856,0,30.889999999999418
2508,1647432000.0,40495.5,41293.0,40240.0,40618.5,20879.474,849922246.687,2022-03-16 12:00:00,0.0001,0.00011,20913.737,62.28,40012.22,38667.43,39339.82,40684.62,37995.03,41357.02,37322.63,228.6,17.86,210.74,37.23,11.23,21.21,18.18,16776.938857142854,199.13,-1278.6800000000003,768.21,7.83,39425.61,40124.77,66.12000000000262,-2623.470000000001,-493.7300000000032,-1192.8899999999994,-7.719999999999999,32.28,25.999999999999996,210.74,2689.590000000004,PositionState,upper,40618.5,41272.0,0.0,653.5,1562.0,-252.5,647.9629629629629,0,1292.7200000000012
2542,1647921600.0,42215.0,43453.0,41991.0,42210.5,27225.549,1160892726.8535,2022-03-22 04:00:00,9.647e-05,-0.000382,22248.346,63.9,41821.15,40977.79,41399.47,42242.83,40556.12,42664.5,40134.44,228.51,228.87,-0.36,34.91,14.35,20.88,25.15,12676.351285714287,995.37,-811.0299999999988,219.7,15.94,41348.05,41809.97,32.330000000001746,-1654.3799999999974,-400.52999999999884,-862.4499999999971,-6.100000000000001,33.9,20.559999999999995,-0.36000000000001364,1686.7099999999991,PositionState,upper,42210.5,46468.5,0.0,4258.0,5704.5,-174.5,2849.3684210526317,0,5056.159999999996
