,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,bol_diff,bb_direction,state,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
94,1696899600.0,27537.2,27595.9,27477.4,27580.0,2967.296,81681595.1244,2023-10-10 01:00:00,9.735e-05,-0.000664,65285.075,45.89,27722.26,27481.6,27601.93,27842.59,27361.27,27962.92,27240.94,-58.5,-74.81,16.31,12.21,24.63,31.2,28.55,5505.028357142857,-323.58,21.93000000000029,-101.7,-2.66,27575.41,27568.78,262.59000000000015,-218.72999999999956,-11.220000000001164,-4.5900000000001455,-24.11,15.89,-12.419999999999998,16.310000000000002,481.3199999999997,lower,PositionState,27530.7,27664.1,-49.29999999999927,,,,,
95,1696903200.0,27580.0,27695.0,27563.8,27664.1,2244.191,62006326.5828,2023-10-10 02:00:00,9.735e-05,-0.000667,64823.418,52.13,27705.95,27509.74,27607.85,27804.05,27411.64,27902.16,27313.54,-46.68,-69.18,22.5,16.99,22.77,30.01,29.19,5005.387357142857,-499.64,-56.25,-120.38,5.73,27584.4,27606.91,139.95000000000073,-252.45999999999913,-57.18999999999869,-79.69999999999709,-17.869999999999997,22.130000000000003,-5.780000000000001,22.500000000000007,392.40999999999985,lower,,27530.7,27664.1,-133.39999999999782,,,,,
105,1696939200.0,27494.7,27518.6,27392.1,27411.0,5899.723,162043621.0251,2023-10-10 12:00:00,2.403e-05,-0.000626,65705.92,34.47,27646.18,27529.72,27587.95,27704.4,27471.5,27762.63,27413.27,-34.76,-28.66,-6.1,16.17,31.95,21.53,26.36,2409.6585,318.37,176.95000000000073,-36.63,-7.26,27587.27,27508.68,293.40000000000146,60.5,97.68000000000029,176.27000000000044,-35.53,4.469999999999999,-15.779999999999998,-6.099999999999998,232.90000000000146,lower,EntryPreparationState,,,,,,,,
106,1696942800.0,27411.0,27464.0,27323.0,27384.0,8098.193,221768629.2925,2023-10-10 13:00:00,2.403e-05,-0.000372,66322.2,33.05,27641.73,27495.32,27568.52,27714.94,27422.11,27788.15,27348.9,-46.95,-32.32,-14.62,14.57,33.63,22.81,26.91,2932.9729999999995,523.31,184.52000000000044,35.04,-4.9,27564.51,27458.81,330.9399999999987,38.11000000000058,74.81000000000131,180.5099999999984,-36.95,3.049999999999997,-19.060000000000002,-14.630000000000003,292.8299999999981,lower,PositionState,27384.0,27273.7,,110.29999999999927,388.5,-69.90000000000146,104.90000000000018,302.52000000000044
107,1696946400.0,27384.0,27619.0,27336.0,27427.6,15721.659,432127671.8429,2023-10-10 14:00:00,2.403e-05,-0.000487,66722.715,37.52,27635.18,27475.03,27555.1,27715.25,27394.95,27795.33,27314.88,-52.48,-36.35,-16.12,21.64,27.72,22.06,26.63,3876.274214285714,943.3,127.5,38.0,11.38,27545.67,27446.32,287.65000000000146,-32.64999999999782,18.720000000001164,118.06999999999971,-32.48,7.520000000000003,-6.079999999999998,-16.129999999999995,320.2999999999993,lower,PositionState,27384.0,27273.7,-43.599999999998545,,,,,
108,1696950000.0,27427.6,27465.0,27329.1,27391.0,8250.143,225990664.5519,2023-10-10 15:00:00,2.403e-05,-0.000518,65347.143,35.39,27628.16,27450.79,27539.47,27716.85,27362.1,27805.53,27273.41,-59.13,-40.91,-18.22,19.83,25.83,21.42,25.72,4253.620428571428,377.34,148.47000000000116,34.76,7.14,27517.45,27424.19,325.84999999999854,-28.900000000001455,33.18999999999869,126.45000000000073,-34.61,5.390000000000001,-6.0,-18.220000000000006,354.75,lower,PositionState,27384.0,27273.7,-7.0,,,,,
109,1696953600.0,27391.0,27499.2,27310.5,27419.7,7885.335,216177446.8005,2023-10-10 16:00:00,3.746e-05,-0.000572,66185.254,38.35,27621.92,27434.21,27528.07,27715.78,27340.35,27809.64,27246.49,-61.38,-45.0,-16.38,19.64,22.97,20.45,24.68,4656.559285714286,402.93,108.36999999999898,22.27,0.85,27493.27,27422.39,296.0799999999981,-79.35000000000218,2.6899999999986903,73.56999999999971,-31.65,8.350000000000001,-3.3299999999999983,-16.380000000000003,375.4300000000003,lower,PositionState,27384.0,27273.7,-35.70000000000073,,,,,
110,1696957200.0,27419.7,27440.6,27331.1,27356.8,4358.6,119272842.6035,2023-10-10 17:00:00,3.746e-05,-0.000426,65827.094,34.6,27613.93,27409.58,27511.75,27716.1,27307.41,27818.27,27205.24,-67.47,-49.49,-17.97,18.37,21.48,19.55,23.92,4882.186142857143,225.62,154.95000000000073,32.18,0.03,27459.55,27396.15,359.2999999999993,-49.38999999999942,39.35000000000218,102.75,-35.4,4.600000000000001,-3.1099999999999994,-17.979999999999997,408.6899999999987,lower,PositionState,27384.0,27273.7,27.200000000000728,,,,,
111,1696960800.0,27356.8,27384.4,27282.3,27344.3,3906.87,106761138.9014,2023-10-10 18:00:00,3.746e-05,-0.000566,66239.75999999,33.89,27606.17,27385.45,27495.81,27716.53,27275.09,27826.89,27164.72,-72.46,-54.09,-18.37,17.25,23.09,19.19,23.49,5088.654428571428,206.46,151.51000000000204,33.06,-4.0,27425.44,27375.41,372.22999999999956,-69.20999999999913,31.110000000000582,81.13999999999942,-36.11,3.8900000000000006,-5.84,-18.36999999999999,441.4399999999987,lower,PositionState,27384.0,27273.7,39.70000000000073,,,,,
112,1696964400.0,27344.3,27411.0,27300.3,27390.6,6770.17,185338155.8773,2023-10-10 19:00:00,3.746e-05,-0.000147,66826.13099999,38.88,27599.5,27372.07,27485.79,27713.22,27258.35,27826.94,27144.64,-71.85,-57.64,-14.21,17.7,21.55,18.52,22.57,5511.047357142857,422.39,95.19000000000233,13.86,0.86,27402.18,27381.48,322.6200000000026,-132.25,-9.119999999998981,11.580000000001746,-31.119999999999997,8.880000000000003,-3.8500000000000014,-14.209999999999994,454.8700000000026,lower,PositionState,27384.0,27273.7,-6.599999999998545,,,,,
