,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,state,bb_direction,enter_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,profit_ma
2452,2584,1677151800000.0,23867.5,23940.2,23634.0,23780.2,18686.554,444179393.4617,2023-02-23 11:30:00,0.0001,51879.891,28.43,24423.45,24038.17,24230.81,24616.09,23845.53,24808.73,23652.89,-26.37,53.66,-80.04,14.11,44.32,27.59,30.96,4453.773,1200.1,-47.43,215.37,-12.42,24240.12,23931.28,PositionState,lower,23780.2,24002.0,0.0,-221.79999999999927,27.700000000000728,-372.59999999999854,-138.57499999999914,6.889999999999418
2505,2637,1677247200000.0,23777.9,23797.7,23688.5,23733.5,2776.628,65895877.0778,2023-02-24 14:00:00,0.0001,52650.298,34.1,23911.83,23816.98,23864.4,23959.25,23769.55,24006.68,23722.13,-32.82,-25.79,-7.02,19.76,25.42,15.75,16.05,2885.4286428571427,18.67,-13.77,19.65,-3.41,23848.97,23783.39,PositionState,lower,23733.5,23145.1,0.0,588.4000000000015,694.5,-70.90000000000146,556.6135135135135,661.7900000000009
2546,2678,1677321000000.0,23006.5,23015.5,22925.5,22926.9,4136.085,94978478.7052,2023-02-25 10:30:00,0.0001,52848.167,31.24,23140.26,23033.81,23087.04,23193.49,22980.58,23246.72,22927.36,-66.6,-68.15,1.54,11.13,34.43,44.36,46.21,1274.0120714285715,253.25,-16.84,29.31,-5.96,23061.42,22981.31,PositionState,lower,22926.9,23040.1,0.0,-113.19999999999709,0.0,-117.09999999999854,-73.91666666666515,-42.61999999999898
2563,2695,1677351600000.0,22979.1,23015.0,22932.2,22941.8,1576.296,36222911.1586,2023-02-25 19:00:00,0.0001,53769.777,38.98,23053.2,22985.59,23019.39,23087.0,22951.78,23120.81,22917.97,-31.35,-34.83,3.48,10.1,25.4,40.15,43.73,1576.0407857142857,36.2,-8.17,-2.77,-4.17,23008.27,22972.6,PositionState,lower,22941.8,23055.8,0.0,-114.0,22.299999999999272,-114.0,-16.442857142857456,-25.270000000000437
2684,2816,1677569400000.0,23345.5,23368.6,23210.0,23223.0,5535.557,128883616.5309,2023-02-28 07:30:00,0.0001,51628.199,33.54,23446.0,23325.0,23385.5,23506.5,23264.5,23567.0,23204.01,-24.94,-8.25,-16.68,16.19,32.44,13.57,14.91,1392.886142857143,262.21,-17.11,61.88,-10.93,23373.08,23292.44,PositionState,lower,23223.0,23354.4,0.0,-131.40000000000146,0.0,-131.40000000000146,-55.35714285714338,-23.62000000000262
2757,2889,1677700800000.0,23350.1,23465.4,23286.2,23405.3,5083.183,118898857.8404,2023-03-01 20:00:00,0.0001,50029.493,36.45,23720.99,23513.36,23617.18,23824.81,23409.55,23928.62,23305.73,-22.65,19.42,-42.07,15.66,27.78,32.82,36.73,4387.890142857143,82.87,-22.29,126.55,-4.51,23603.47,23456.06,PositionState,lower,23405.3,23630.0,0.0,-224.70000000000073,0.0,-224.70000000000073,-99.12500000000045,-124.62999999999738
2816,2948,1677807000000.0,22839.3,22853.4,21905.0,22146.1,50126.105,1118729427.1268,2023-03-03 01:30:00,0.0001,50256.351,12.49,23553.84,22944.19,23249.01,23858.67,22639.36,24163.49,22334.53,-128.37,-26.0,-102.37,7.86,63.6,27.1,28.5,6837.124857142858,3161.89,-116.1,719.62,-30.52,23235.31,22639.16,PositionState,lower,22146.1,22403.1,0.0,-257.0,0.0,-274.1000000000022,-207.59062500000164,258.9300000000003
2850,2982,1677868200000.0,22365.0,22371.4,22184.0,22299.9,5701.968,127075707.3367,2023-03-03 18:30:00,0.0001,52596.617,34.32,22415.53,22363.3,22389.42,22441.65,22337.18,22467.77,22311.06,-65.9,-88.76,22.85,12.72,39.76,46.78,48.77,2964.1504285714286,344.37,-9.42,-2.07,-11.2,22360.56,22338.99,PositionState,lower,22299.9,22346.8,0.0,-46.89999999999782,64.90000000000146,-51.599999999998545,-2.0699999999989815,22.56000000000131
2900,3032,1677958200000.0,22272.5,22281.0,22206.2,22233.9,2070.635,46061828.0932,2023-03-04 19:30:00,2.137e-05,51906.729,29.89,22342.43,22282.87,22312.65,22372.21,22253.09,22401.99,22223.31,-18.31,-10.49,-7.82,9.72,47.85,28.84,24.1,910.5436428571428,83.37,-8.28,32.84,-8.91,22297.89,22262.82,PositionState,lower,22233.9,22302.0,0.0,-68.09999999999854,29.100000000002183,-68.09999999999854,-5.39999999999903,2.209999999999127
2961,3093,1678068000000.0,22373.1,22373.4,22234.4,22333.1,4457.561,99474695.7763,2023-03-06 02:00:00,3.621e-05,50578.839,39.39,22439.31,22376.64,22407.97,22470.64,22345.31,22501.97,22313.98,-3.78,4.04,-7.83,13.26,27.95,13.98,13.81,1880.6616428571429,225.33,-7.88,22.59,-8.08,22405.28,22368.96,PositionState,lower,22333.1,22404.2,0.0,-71.10000000000218,6.69999999999709,-71.10000000000218,-28.077777777779474,-6.380000000001019
3035,3167,1678201200000.0,22300.1,22410.7,21919.0,22203.2,42756.404,946742065.534,2023-03-07 15:00:00,3.779e-05,52636.776,25.75,22414.69,22308.5,22361.59,22467.78,22255.4,22520.87,22202.31,-35.11,-20.31,-14.79,5.55,44.09,24.78,20.22,4758.791428571429,2979.19,-16.66,53.4,-14.34,22337.03,22263.52,PositionState,lower,22203.2,22188.9,0.0,14.299999999999272,189.70000000000073,-111.79999999999927,35.05555555555596,114.27000000000044
3064,3196,1678253400000.0,22027.3,22054.3,21821.7,21944.2,12565.329,275558481.8602,2023-03-08 05:30:00,0.0001,54489.736,31.46,22205.1,22055.86,22130.48,22279.72,21981.24,22354.34,21906.62,-51.33,-40.9,-10.42,8.53,41.82,44.59,47.63,2410.1755714285714,768.26,-19.61,34.24,-12.77,22105.76,22011.1,PositionState,lower,21944.2,22105.6,0.0,-161.39999999999782,0.0,-161.39999999999782,-58.34545454545382,-49.210000000002765
