,Unnamed: 0.1,Unnamed: 0,start_at,open,high,low,close,volume,turnover,date,funding_rate,p_close,oi,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,rsi_buy,dmi_diff,macd_diff,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,profit_max,profit_min,profit_mean,prediction,entry_volume
20,51,183,1620457200000.0,57841.0,58534.0,57685.0,58480.0,820.222,47966582.56,2021-05-08 07:00:00,0.0001,0.001163,4777.85999999,63.06,58081.33,57239.69,57660.51,58502.15,56818.87,58922.96,56398.05,359.91,327.54,32.36,29.74,15.88,24.85,24.53,462.764,-34.5,-819.489999999998,-305.45,4.49,57948.11,58200.99,22.15000000000145,-1661.1299999999974,-279.01000000000204,-531.8899999999994,-6.939999999999998,33.06,13.859999999999998,32.370000000000005,,,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
21,52,184,1620460800000.0,58480.0,59396.0,58480.0,58899.5,1903.186,112096703.807,2021-05-08 08:00:00,0.00067305,0.000711,4613.81,66.79,58261.33,57295.68,57778.51,58744.16,56812.86,59226.98,56330.04,414.22,344.88,69.33,36.63,14.18,26.23,25.51,555.8108571428571,93.04,-1120.989999999998,232.05,12.76,58116.83,58550.24,-155.3399999999965,-2086.6399999999994,-349.26000000000204,-782.6699999999983,-3.2099999999999937,36.790000000000006,22.450000000000003,69.34000000000003,EnterPreparationState,upper,58864.0,0.0,0.0,0.0,0.0,0.0,0.0,0,630.758
22,53,185,1620464400000.0,58899.5,59219.5,58731.5,58864.0,677.708,39892603.712,2021-05-08 09:00:00,0.00067305,0.001244,4749.97599999,66.18,58376.03,57387.74,57881.89,58870.18,56893.6,59364.32,56399.45,449.22,365.75,83.47,34.51,13.36,27.51,26.32,572.8077857142856,16.99,-982.1100000000006,287.29,5.59,58240.11,58707.12,6.180000000000291,-1970.4000000000012,-156.87999999999738,-623.8899999999994,-3.819999999999993,36.18000000000001,21.15,83.47000000000003,PositionState,upper,58864.0,57650.5,0.0,-1213.5,96.5,-1213.5,-225.7142857142857,0,630.758
23,441,573,1621861200000.0,38183.5,38383.5,37377.0,37563.0,3347.577,125745034.851,2021-05-24 13:00:00,0.0001,-0.001077,5421.078,63.54,37503.49,34517.27,36010.38,38996.6,33024.16,40489.71,31531.05,610.13,223.61,386.51,26.26,13.85,27.26,36.57,2322.5092142857143,137.8,-1552.6200000000026,235.19,1.89,36721.33,37569.79,1433.5999999999983,-4538.8399999999965,6.790000000000873,-841.6699999999983,-6.460000000000001,33.54,12.410000000000002,386.52,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
24,442,574,1621864800000.0,37563.0,38015.0,37321.0,37631.5,2825.988,106346167.422,2021-05-24 14:00:00,0.0001,-0.000708,5090.706,63.94,37584.0,34745.54,36164.77,39003.23,33326.32,40422.45,31907.09,655.98,310.09,345.88,24.98,13.57,27.43,35.58,2387.4070714285717,64.89,-1466.7300000000032,-177.07,-2.93,36983.38,37600.64,1371.7300000000032,-4305.18,-30.860000000000586,-648.1200000000026,-6.060000000000002,33.94,11.41,345.89000000000004,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
25,443,575,1621868400000.0,37631.5,38192.5,37304.5,37557.0,2548.692,95721225.444,2021-05-24 15:00:00,0.0001,0.000362,4953.96,63.13,37642.63,34952.09,36297.36,38987.9,33606.82,40333.17,32261.55,678.48,383.76,294.71,24.67,12.72,27.75,34.76,2461.6052142857143,74.19,-1259.6399999999994,-289.19,-0.74,37152.38,37578.82,1430.9000000000017,-3950.18,21.81999999999971,-404.6200000000026,-6.869999999999997,33.13,11.95,294.72,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
26,444,576,1621872000000.0,37557.0,37973.0,36866.0,37324.5,3031.127,113135299.7115,2021-05-24 16:00:00,-0.00017184,-0.000255,4909.76,60.58,37671.15,35119.22,36395.19,38947.12,33843.25,40223.08,32567.29,669.82,440.98,228.84,22.76,14.81,27.28,33.26,2590.676,129.07,-929.3099999999976,-292.54,-4.3,37230.22,37451.66,1622.6200000000026,-3481.25,127.16000000000348,-94.27999999999884,-9.420000000000002,30.58,7.950000000000001,228.84000000000003,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
27,445,577,1621875600000.0,37324.5,37850.0,37200.0,37650.0,1424.768,53642515.2,2021-05-24 17:00:00,-0.00017184,-2.8e-05,4927.068,62.85,37743.95,35285.43,36514.69,38973.21,34056.18,40202.46,32826.92,681.38,489.06,192.32,21.69,14.12,26.84,32.27,2559.3519285714287,-31.32,-1135.3099999999977,-227.62,-2.28,37347.33,37550.83,1323.2099999999991,-3593.82,-99.16999999999824,-302.66999999999825,-7.149999999999999,32.85,7.570000000000002,192.32,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
28,446,578,1621879200000.0,37650.0,38337.0,37410.0,37915.0,1614.114,61199132.31,2021-05-24 18:00:00,-0.00017184,-0.000108,4807.912,64.63,37796.67,35499.44,36648.05,38945.28,34350.82,40093.9,33202.21,703.81,532.01,171.79,23.76,13.17,26.97,31.59,2533.234142857143,-26.11,-1266.949999999997,-296.48,1.94,37535.83,37732.91,1030.2799999999988,-3564.1800000000003,-182.0899999999965,-379.1699999999983,-5.3700000000000045,34.629999999999995,10.590000000000002,171.79999999999995,,,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
29,447,579,1621882800000.0,37915.0,39763.5,37736.0,39557.0,3939.401,155830885.357,2021-05-24 19:00:00,-0.00017184,-0.000893,4639.751,73.21,38184.43,35665.76,36925.1,39443.77,34406.42,40703.11,33147.08,844.34,594.47,249.86,30.11,11.37,28.27,31.02,2725.393071428572,192.15,-2631.900000000001,414.95,10.22,37886.38,38644.95,-113.2300000000032,-5150.580000000002,-912.0500000000028,-1670.6200000000026,3.2099999999999937,43.21,18.74,249.87,EnterPreparationState,upper,38980.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1777.653
